sample	Bladder	Brain	Cloaca	GallBladder	Gill	Heart	Intestine	Kidney	Limb	Liver	Lung	Pancreas	Prostate	Spleen	Stomach
Bladder	1.000000	0.958776	0.975762	0.927343	0.981886	0.954890	0.954168	0.980681	0.996266	0.949459	0.992744	0.989883	0.723679	0.874256	0.967339
Brain	0.958776	1.000000	0.892019	0.966621	0.908185	0.850791	0.850106	0.904886	0.961922	0.842597	0.948640	0.957853	0.777160	0.919671	0.873454
Cloaca	0.975762	0.892019	1.000000	0.857901	0.991652	0.990601	0.991221	0.992943	0.972918	0.988410	0.979306	0.971392	0.641032	0.795203	0.996725
GallBladder	0.927343	0.966621	0.857901	1.000000	0.868842	0.821743	0.825402	0.883034	0.933353	0.819764	0.908464	0.947779	0.674606	0.851583	0.843909
Gill	0.981886	0.908185	0.991652	0.868842	1.000000	0.979313	0.978528	0.986693	0.982007	0.974878	0.986762	0.973167	0.684201	0.826512	0.988030
Heart	0.954890	0.850791	0.990601	0.821743	0.979313	1.000000	0.998718	0.991235	0.950343	0.998302	0.955769	0.951728	0.567024	0.733561	0.996171
Intestine	0.954168	0.850106	0.991221	0.825402	0.978528	0.998718	1.000000	0.992097	0.950177	0.999585	0.953952	0.953029	0.560308	0.729153	0.997169
Kidney	0.980681	0.904886	0.992943	0.883034	0.986693	0.991235	0.992097	1.000000	0.978148	0.990555	0.976365	0.979806	0.618440	0.788145	0.994322
Limb	0.996266	0.961922	0.972918	0.933353	0.982007	0.950343	0.950177	0.978148	1.000000	0.945400	0.991708	0.990616	0.725146	0.880361	0.964265
Liver	0.949459	0.842597	0.988410	0.819764	0.974878	0.998302	0.999585	0.990555	0.945400	1.000000	0.948530	0.948663	0.546199	0.718124	0.995586
Lung	0.992744	0.948640	0.979306	0.908464	0.986762	0.955769	0.953952	0.976365	0.991708	0.948530	1.000000	0.983726	0.736830	0.882071	0.969009
Pancreas	0.989883	0.957853	0.971392	0.947779	0.973167	0.951728	0.953029	0.979806	0.990616	0.948663	0.983726	1.000000	0.685039	0.852378	0.964172
Prostate	0.723679	0.777160	0.641032	0.674606	0.684201	0.567024	0.560308	0.618440	0.725146	0.546199	0.736830	0.685039	1.000000	0.867079	0.605757
Spleen	0.874256	0.919671	0.795203	0.851583	0.826512	0.733561	0.729153	0.788145	0.880361	0.718124	0.882071	0.852378	0.867079	1.000000	0.765701
Stomach	0.967339	0.873454	0.996725	0.843909	0.988030	0.996171	0.997169	0.994322	0.964265	0.995586	0.969009	0.964172	0.605757	0.765701	1.000000
