Bladder	131	208	36	156	66	56	64	371	99	162	65	84	65	52	275	105	91	70	271
Brain	138	325	67	299	167	145	172	811	221	299	107	103	159	148	476	224	252	110	456
Cloaca	128	267	42	35	35	19	49	121	90	54	36	94	95	32	77	51	41	72	304
GallBladder	125	369	96	69	34	33	76	240	144	25	71	171	168	73	29	71	80	115	597
Gill	157	333	70	154	114	119	126	501	154	287	107	104	86	79	459	106	137	104	545
Heart	143	253	55	147	74	77	73	455	130	228	92	112	106	58	367	92	128	83	356
Intestine	131	340	55	48	44	53	109	210	146	45	52	117	94	70	84	57	70	89	540
Kidney	179	298	65	211	103	116	85	524	144	192	56	112	92	71	221	122	157	86	407
Limb	211	411	77	265	113	140	152	649	215	256	109	99	121	95	424	152	151	100	541
Liver	73	264	41	39	29	43	57	99	106	40	61	91	116	48	60	62	41	70	388
Lung	344	440	88	146	99	89	83	485	138	264	96	145	142	82	499	130	139	321	547
Pancreas	252	855	223	148	92	149	164	414	251	66	120	409	448	156	122	134	146	276	1463
Prostate	86	239	45	188	62	126	105	544	142	394	91	85	95	78	549	119	115	91	320
Spleen	101	177	41	115	74	62	63	365	99	219	78	64	69	52	392	75	105	57	332
Stomach	69	179	38	29	24	31	47	127	83	32	55	53	59	45	55	39	44	33	240
