sample	Bladder	Brain	Cloaca	GallBladder	Gill	Heart	Intestine	Kidney	Limb	Liver	Lung	Pancreas	Prostate	Spleen	Stomach
Bladder	1.000000	0.902804	0.809095	0.709514	0.843439	0.303682	0.807302	0.916855	0.931978	0.756655	0.870245	0.806931	0.880075	0.859371	0.768924
Brain	0.902804	1.000000	0.796967	0.745508	0.821166	0.306559	0.809234	0.905922	0.912855	0.775811	0.837459	0.825141	0.856565	0.835598	0.771430
Cloaca	0.809095	0.796967	1.000000	0.745737	0.846371	0.271846	0.890615	0.784630	0.816809	0.830265	0.849246	0.867647	0.807527	0.776549	0.866673
GallBladder	0.709514	0.745508	0.745737	1.000000	0.711378	0.210825	0.800094	0.747107	0.741273	0.804520	0.722975	0.876734	0.637644	0.630463	0.748504
Gill	0.843439	0.821166	0.846371	0.711378	1.000000	0.304394	0.846625	0.818166	0.875462	0.796980	0.928067	0.826999	0.837917	0.820629	0.830473
Heart	0.303682	0.306559	0.271846	0.210825	0.304394	1.000000	0.276792	0.282938	0.286502	0.235150	0.329823	0.265181	0.285894	0.277101	0.244384
Intestine	0.807302	0.809234	0.890615	0.800094	0.846625	0.276792	1.000000	0.810516	0.830214	0.875561	0.845557	0.905623	0.798576	0.779619	0.892433
Kidney	0.916855	0.905922	0.784630	0.747107	0.818166	0.282938	0.810516	1.000000	0.921552	0.785300	0.845965	0.826235	0.867707	0.846948	0.763365
Limb	0.931978	0.912855	0.816809	0.741273	0.875462	0.286502	0.830214	0.921552	1.000000	0.794881	0.872040	0.832971	0.877659	0.879186	0.796150
Liver	0.756655	0.775811	0.830265	0.804520	0.796980	0.235150	0.875561	0.785300	0.794881	1.000000	0.797329	0.889240	0.752211	0.760441	0.852616
Lung	0.870245	0.837459	0.849246	0.722975	0.928067	0.329823	0.845557	0.845965	0.872040	0.797329	1.000000	0.838128	0.834808	0.835441	0.810173
Pancreas	0.806931	0.825141	0.867647	0.876734	0.826999	0.265181	0.905623	0.826235	0.832971	0.889240	0.838128	1.000000	0.771928	0.761540	0.859086
Prostate	0.880075	0.856565	0.807527	0.637644	0.837917	0.285894	0.798576	0.867707	0.877659	0.752211	0.834808	0.771928	1.000000	0.855426	0.789881
Spleen	0.859371	0.835598	0.776549	0.630463	0.820629	0.277101	0.779619	0.846948	0.879186	0.760441	0.835441	0.761540	0.855426	1.000000	0.752940
Stomach	0.768924	0.771430	0.866673	0.748504	0.830473	0.244384	0.892433	0.763365	0.796150	0.852616	0.810173	0.859086	0.789881	0.752940	1.000000
