sample	n	sum	mean	variance	fraction_nonzero
Bladder	2430700	701506327.000000	288.602595	751016.850087	0.999882
Brain	2430700	1168148790.000000	480.581228	883996.554680	0.999963
Cloaca	2430700	484000505.000000	199.119803	2286046.233085	0.999597
GallBladder	2430700	565994637.000000	232.852527	339637.011130	0.999712
Gill	2430700	1094125058.000000	450.127559	3683414.191758	0.999847
Heart	2430700	868549497.000000	357.324843	25080702.992038	0.918026
Intestine	2430700	699794434.000000	287.898315	32210121.203167	0.999727
Kidney	2430700	745602917.000000	306.744114	4339398.601981	0.999906
Limb	2430700	1147926115.000000	472.261536	1906470.792630	0.999941
Liver	2430700	398317869.000000	163.869613	25144515.849546	0.999573
Lung	2430700	877686879.000000	361.084000	1307381.510420	0.999806
Pancreas	2430700	1398702406.000000	575.431936	3906239.475517	0.999900
Prostate	2430700	973845979.000000	400.644250	281714.598750	0.999877
Spleen	2430700	497829833.000000	204.809245	135734.384245	0.999813
Stomach	2430700	455786546.000000	187.512464	3676665.075102	0.999570
