metric	sample_a	sample_b	value
raw_pearson	Bladder	Brain	0.958776
raw_pearson	Bladder	Cloaca	0.975762
raw_pearson	Bladder	GallBladder	0.927343
raw_pearson	Bladder	Gill	0.981886
raw_pearson	Bladder	Heart	0.954890
raw_pearson	Bladder	Intestine	0.954168
raw_pearson	Bladder	Kidney	0.980681
raw_pearson	Bladder	Limb	0.996266
raw_pearson	Bladder	Liver	0.949459
raw_pearson	Bladder	Lung	0.992744
raw_pearson	Bladder	Pancreas	0.989883
raw_pearson	Bladder	Prostate	0.723679
raw_pearson	Bladder	Spleen	0.874256
raw_pearson	Bladder	Stomach	0.967339
raw_pearson	Brain	Cloaca	0.892019
raw_pearson	Brain	GallBladder	0.966621
raw_pearson	Brain	Gill	0.908185
raw_pearson	Brain	Heart	0.850791
raw_pearson	Brain	Intestine	0.850106
raw_pearson	Brain	Kidney	0.904886
raw_pearson	Brain	Limb	0.961922
raw_pearson	Brain	Liver	0.842597
raw_pearson	Brain	Lung	0.948640
raw_pearson	Brain	Pancreas	0.957853
raw_pearson	Brain	Prostate	0.777160
raw_pearson	Brain	Spleen	0.919671
raw_pearson	Brain	Stomach	0.873454
raw_pearson	Cloaca	GallBladder	0.857901
raw_pearson	Cloaca	Gill	0.991652
raw_pearson	Cloaca	Heart	0.990601
raw_pearson	Cloaca	Intestine	0.991221
raw_pearson	Cloaca	Kidney	0.992943
raw_pearson	Cloaca	Limb	0.972918
raw_pearson	Cloaca	Liver	0.988410
raw_pearson	Cloaca	Lung	0.979306
raw_pearson	Cloaca	Pancreas	0.971392
raw_pearson	Cloaca	Prostate	0.641032
raw_pearson	Cloaca	Spleen	0.795203
raw_pearson	Cloaca	Stomach	0.996725
raw_pearson	GallBladder	Gill	0.868842
raw_pearson	GallBladder	Heart	0.821743
raw_pearson	GallBladder	Intestine	0.825402
raw_pearson	GallBladder	Kidney	0.883034
raw_pearson	GallBladder	Limb	0.933353
raw_pearson	GallBladder	Liver	0.819764
raw_pearson	GallBladder	Lung	0.908464
raw_pearson	GallBladder	Pancreas	0.947779
raw_pearson	GallBladder	Prostate	0.674606
raw_pearson	GallBladder	Spleen	0.851583
raw_pearson	GallBladder	Stomach	0.843909
raw_pearson	Gill	Heart	0.979313
raw_pearson	Gill	Intestine	0.978528
raw_pearson	Gill	Kidney	0.986693
raw_pearson	Gill	Limb	0.982007
raw_pearson	Gill	Liver	0.974878
raw_pearson	Gill	Lung	0.986762
raw_pearson	Gill	Pancreas	0.973167
raw_pearson	Gill	Prostate	0.684201
raw_pearson	Gill	Spleen	0.826512
raw_pearson	Gill	Stomach	0.988030
raw_pearson	Heart	Intestine	0.998718
raw_pearson	Heart	Kidney	0.991235
raw_pearson	Heart	Limb	0.950343
