                                 Started job on |	Aug 18 07:15:39
                             Started mapping on |	Aug 18 07:36:34
                                    Finished on |	Aug 18 07:36:58
       Mapping speed, Million of reads per hour |	18.00

                          Number of input reads |	120000
                      Average input read length |	150
                                    UNIQUE READS:
                   Uniquely mapped reads number |	101834
                        Uniquely mapped reads % |	84.86%
                          Average mapped length |	149.17
                       Number of splices: Total |	59791
            Number of splices: Annotated (sjdb) |	59384
                       Number of splices: GT/AG |	59232
                       Number of splices: GC/AG |	438
                       Number of splices: AT/AC |	54
               Number of splices: Non-canonical |	67
                      Mismatch rate per base, % |	0.37%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.47
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.32
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	13586
             % of reads mapped to multiple loci |	11.32%
        Number of reads mapped to too many loci |	18
             % of reads mapped to too many loci |	0.01%
                                  UNMAPPED READS:
  Number of reads unmapped: too many mismatches |	21
       % of reads unmapped: too many mismatches |	0.02%
            Number of reads unmapped: too short |	2639
                 % of reads unmapped: too short |	2.20%
                Number of reads unmapped: other |	8
                     % of reads unmapped: other |	0.01%
                                  CHIMERIC READS:
                       Number of chimeric reads |	2611
                            % of chimeric reads |	2.18%
