factor	motif_id	jaspar_name	hits_p1e-5	hits_p1e-4	hits_p1e-3	hits_p1e-2	best_p
FOXA1	MA0148.5	FOXA1	0	0	0	231	0.00928
GATA3	MA0037.5	Gata3	0	0	0	0	NA
MAX	MA0058.4	MAX	0	0	0	300	0.00965
STAT1	MA0137.4	STAT1	0	0	0	0	NA
OCT4	MA1115.2	POU5F1	0	0	0	0	NA
P53	MA0106.3	TP53	0	0	0	0	NA
NANOG	MA2339.1	Nanog	0	0	0	27	0.00815
HNF4A	MA1494.2,MA0114.5	HNF4A,HNF4A	0	0	0	0	NA
TBP	MA0108.3	TBP	0	0	0	0	NA
FOS	MA0476.2,MA1951.2	FOS,FOS	0	0	0	7	0.00366
MYC	MA0147.4	MYC	0	0	0	600	0.00381
JUN	MA0488.2,MA0489.3	JUN,Jun	0	0	0	0	NA
FOXO1	MA0480.3	Foxo1	0	0	0	254	0.00467
CTCF	MA0139.2,MA1929.2,MA1930.2	CTCF,CTCF,CTCF	345	531	1051	2237	2.31e-09
TCF7	MA0769.3	TCF7	0	0	0	0	NA
SOX2	MA0143.5	SOX2	0	0	0	0	NA
E2F1	MA0024.3	E2F1	0	0	12	327	0.000296
CREB1	MA0018.5	CREB1	0	0	0	0	NA
GATA1	MA0035.5	GATA1	0	0	0	0	NA
KLF3	MA1516.2	KLF3	0	0	39	352	0.000611
