## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --TAGGING_POLICY All --INPUT SortSam_on_dataset_22__Alignment_sorted_in_coordinate_order --OUTPUT /corral4/main/jobs/079/423/79423323/outputs/dataset_8bc8a931-5888-4a82-b505-e5d25e22a061.dat --METRICS_FILE /corral4/main/jobs/079/423/79423323/outputs/dataset_4be98d59-09a1-481e-ab8d-bbe6a7726be7.dat --REMOVE_DUPLICATES true --ASSUME_SORTED true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --VERBOSITY ERROR --QUIET true --VALIDATION_STRINGENCY LENIENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Aug 28 19:27:33 GMT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	272988	55220260	0	900140	178940	38638444	0	0.699606	17291207

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	11209143	11209143
2.0	1.041026	3183617	3183617
3.0	1.042709	858811	858811
4.0	1.042778	284533	284533
5.0	1.042781	145719	145719
6.0	1.042781	99630	99630
7.0	1.042781	77547	77547
8.0	1.042781	62596	62596
9.0	1.042781	51797	51797
10.0	1.042781	44324	44324
11.0	1.042781	37878	37878
12.0	1.042781	33262	33262
13.0	1.042781	29220	29220
14.0	1.042781	25927	25927
15.0	1.042781	23237	23237
16.0	1.042781	20902	20902
17.0	1.042781	18911	18911
18.0	1.042781	17061	17061
19.0	1.042781	15881	15881
20.0	1.042781	14326	14326
21.0	1.042781	13380	13380
22.0	1.042781	12136	12136
23.0	1.042781	11230	11230
24.0	1.042781	10601	10601
25.0	1.042781	9976	9976
26.0	1.042781	9355	9355
27.0	1.042781	8487	8487
28.0	1.042781	8063	8063
29.0	1.042781	7776	7776
30.0	1.042781	7244	7244
31.0	1.042781	6768	6768
32.0	1.042781	6592	6592
33.0	1.042781	6072	6072
34.0	1.042781	5860	5860
35.0	1.042781	5603	5603
36.0	1.042781	5316	5316
37.0	1.042781	5044	5044
38.0	1.042781	4759	4759
39.0	1.042781	4556	4556
40.0	1.042781	4486	4486
41.0	1.042781	4110	4110
42.0	1.042781	4008	4008
43.0	1.042781	3998	3998
44.0	1.042781	3647	3647
45.0	1.042781	3614	3614
46.0	1.042781	3413	3413
47.0	1.042781	3307	3307
48.0	1.042781	3220	3220
49.0	1.042781	3096	3096
50.0	1.042781	2985	2985
51.0	1.042781	2822	2822
52.0	1.042781	2740	2740
53.0	1.042781	2723	2723
54.0	1.042781	2592	2592
55.0	1.042781	2493	2493
56.0	1.042781	2391	2391
57.0	1.042781	2403	2403
58.0	1.042781	2315	2315
59.0	1.042781	2118	2118
60.0	1.042781	2052	2052
61.0	1.042781	2031	2031
62.0	1.042781	1996	1996
63.0	1.042781	1917	1917
64.0	1.042781	1794	1794
65.0	1.042781	1788	1788
66.0	1.042781	1756	1756
67.0	1.042781	1744	1744
68.0	1.042781	1647	1647
69.0	1.042781	1607	1607
70.0	1.042781	1566	1566
71.0	1.042781	1609	1609
72.0	1.042781	1517	1517
73.0	1.042781	1527	1527
74.0	1.042781	1345	1345
75.0	1.042781	1383	1383
76.0	1.042781	1375	1375
77.0	1.042781	1280	1280
78.0	1.042781	1219	1219
79.0	1.042781	1269	1269
80.0	1.042781	1190	1190
81.0	1.042781	1170	1170
82.0	1.042781	1128	1128
83.0	1.042781	1131	1131
84.0	1.042781	1091	1091
85.0	1.042781	1108	1108
86.0	1.042781	1030	1030
87.0	1.042781	1040	1040
88.0	1.042781	975	975
89.0	1.042781	957	957
90.0	1.042781	950	950
91.0	1.042781	969	969
92.0	1.042781	901	901
93.0	1.042781	908	908
94.0	1.042781	897	897
95.0	1.042781	881	881
96.0	1.042781	850	850
97.0	1.042781	848	848
98.0	1.042781	837	837
99.0	1.042781	853	853
100.0	1.042781	813	813
101.0	0	795	795
102.0	0	749	749
103.0	0	728	728
104.0	0	747	747
105.0	0	692	692
106.0	0	699	699
107.0	0	667	667
108.0	0	660	660
109.0	0	636	636
110.0	0	637	637
111.0	0	629	629
112.0	0	624	624
113.0	0	614	614
114.0	0	639	639
115.0	0	571	571
116.0	0	576	576
117.0	0	592	592
118.0	0	597	597
119.0	0	545	545
120.0	0	552	552
121.0	0	540	540
122.0	0	545	545
123.0	0	508	508
124.0	0	496	496
125.0	0	500	500
126.0	0	499	499
127.0	0	496	496
128.0	0	488	488
129.0	0	492	492
130.0	0	461	461
131.0	0	460	460
132.0	0	468	468
133.0	0	429	429
134.0	0	426	426
135.0	0	386	386
136.0	0	393	393
137.0	0	406	406
138.0	0	419	419
139.0	0	381	381
140.0	0	370	370
141.0	0	433	433
142.0	0	399	399
143.0	0	394	394
144.0	0	361	361
145.0	0	358	358
146.0	0	382	382
147.0	0	378	378
148.0	0	332	332
149.0	0	321	321
150.0	0	336	336
151.0	0	357	357
152.0	0	336	336
153.0	0	335	335
154.0	0	322	322
155.0	0	286	286
156.0	0	325	325
157.0	0	326	326
158.0	0	303	303
159.0	0	316	316
160.0	0	271	271
161.0	0	303	303
162.0	0	261	261
163.0	0	298	298
164.0	0	310	310
165.0	0	288	288
166.0	0	267	267
167.0	0	296	296
168.0	0	278	278
169.0	0	275	275
170.0	0	237	237
171.0	0	278	278
172.0	0	278	278
173.0	0	224	224
174.0	0	228	228
175.0	0	247	247
176.0	0	248	248
177.0	0	241	241
178.0	0	218	218
179.0	0	238	238
180.0	0	240	240
181.0	0	211	211
182.0	0	235	235
183.0	0	228	228
184.0	0	221	221
185.0	0	218	218
186.0	0	218	218
187.0	0	226	226
188.0	0	207	207
189.0	0	226	226
190.0	0	243	243
191.0	0	184	184
192.0	0	217	217
193.0	0	185	185
194.0	0	169	169
195.0	0	196	196
196.0	0	205	205
197.0	0	189	189
198.0	0	182	182
199.0	0	177	177
200.0	0	171	171
201.0	0	163	163
202.0	0	196	196
203.0	0	191	191
204.0	0	165	165
205.0	0	174	174
206.0	0	178	178
207.0	0	164	164
208.0	0	190	190
209.0	0	160	160
210.0	0	180	180
211.0	0	148	148
212.0	0	163	163
213.0	0	164	164
214.0	0	181	181
215.0	0	158	158
216.0	0	147	147
217.0	0	163	163
218.0	0	157	157
219.0	0	195	195
220.0	0	178	178
221.0	0	143	143
222.0	0	163	163
223.0	0	146	146
224.0	0	158	158
225.0	0	153	153
226.0	0	142	142
227.0	0	139	139
228.0	0	129	129
229.0	0	147	147
230.0	0	151	151
231.0	0	117	117
232.0	0	123	123
233.0	0	113	113
234.0	0	137	137
235.0	0	110	110
236.0	0	116	116
237.0	0	102	102
238.0	0	135	135
239.0	0	131	131
240.0	0	123	123
241.0	0	117	117
242.0	0	114	114
243.0	0	125	125
244.0	0	120	120
245.0	0	127	127
246.0	0	128	128
247.0	0	108	108
248.0	0	126	126
249.0	0	102	102
250.0	0	97	97
251.0	0	107	107
252.0	0	114	114
253.0	0	107	107
254.0	0	135	135
255.0	0	118	118
256.0	0	108	108
257.0	0	109	109
258.0	0	109	109
259.0	0	101	101
260.0	0	85	85
261.0	0	90	90
262.0	0	108	108
263.0	0	109	109
264.0	0	88	88
265.0	0	95	95
266.0	0	106	106
267.0	0	88	88
268.0	0	79	79
269.0	0	77	77
270.0	0	88	88
271.0	0	90	90
272.0	0	90	90
273.0	0	90	90
274.0	0	87	87
275.0	0	91	91
276.0	0	84	84
277.0	0	88	88
278.0	0	102	102
279.0	0	91	91
280.0	0	80	80
281.0	0	84	84
282.0	0	87	87
283.0	0	81	81
284.0	0	79	79
285.0	0	71	71
286.0	0	80	80
287.0	0	78	78
288.0	0	61	61
289.0	0	63	63
290.0	0	70	70
291.0	0	75	75
292.0	0	84	84
293.0	0	90	90
294.0	0	78	78
295.0	0	87	87
296.0	0	70	70
297.0	0	91	91
298.0	0	59	59
299.0	0	69	69
300.0	0	56	56
301.0	0	68	68
302.0	0	75	75
303.0	0	56	56
