orthogroup	treeness
1003258at2759.faa.mafft.clipkit	0.0
100698at2759.faa.mafft.clipkit	0.0
1010730at2759.faa.mafft.clipkit	0.0
1014314at2759.faa.mafft.clipkit	0.0884
1018517at2759.faa.mafft.clipkit	0.0079
1019762at2759.faa.mafft.clipkit	0.0
1038775at2759.faa.mafft.clipkit	0.0
1041560at2759.faa.mafft.clipkit	0.0
1065019at2759.faa.mafft.clipkit	0.0
1079827at2759.faa.mafft.clipkit	0.0
1094121at2759.faa.mafft.clipkit	0.0
1096688at2759.faa.mafft.clipkit	0.0
1112002at2759.faa.mafft.clipkit	0.0
1129824at2759.faa.mafft.clipkit	0.0
1138059at2759.faa.mafft.clipkit	0.0
1157302at2759.faa.mafft.clipkit	0.0
1161199at2759.faa.mafft.clipkit	0.0
1173229at2759.faa.mafft.clipkit	0.0282
1193442at2759.faa.mafft.clipkit	0.0366
1194691at2759.faa.mafft.clipkit	0.0
1200489at2759.faa.mafft.clipkit	0.0
1217666at2759.faa.mafft.clipkit	0.0
1249159at2759.faa.mafft.clipkit	0.0308
1251252at2759.faa.mafft.clipkit	0.0
1260807at2759.faa.mafft.clipkit	0.0
1264469at2759.faa.mafft.clipkit	0.0
1269244at2759.faa.mafft.clipkit	0.0
1269649at2759.faa.mafft.clipkit	0.0487
1284731at2759.faa.mafft.clipkit	0.0
1287094at2759.faa.mafft.clipkit	0.0
1287401at2759.faa.mafft.clipkit	0.0
1291729at2759.faa.mafft.clipkit	0.0
1304061at2759.faa.mafft.clipkit	0.0
1338131at2759.faa.mafft.clipkit	0.0
1342242at2759.faa.mafft.clipkit	0.0454
1346165at2759.faa.mafft.clipkit	0.0
1346432at2759.faa.mafft.clipkit	0.0412
1355894at2759.faa.mafft.clipkit	0.0
1358374at2759.faa.mafft.clipkit	0.0
1364586at2759.faa.mafft.clipkit	0.0
1370285at2759.faa.mafft.clipkit	0.0
1379600at2759.faa.mafft.clipkit	0.0
1382842at2759.faa.mafft.clipkit	0.0
1405073at2759.faa.mafft.clipkit	0.0527
1421503at2759.faa.mafft.clipkit	0.0
1423847at2759.faa.mafft.clipkit	0.0
1428854at2759.faa.mafft.clipkit	0.0336
1432328at2759.faa.mafft.clipkit	0.0
1434266at2759.faa.mafft.clipkit	0.0
1441854at2759.faa.mafft.clipkit	0.0
1445102at2759.faa.mafft.clipkit	0.0
1455730at2759.faa.mafft.clipkit	0.0
1488235at2759.faa.mafft.clipkit	0.0
1488436at2759.faa.mafft.clipkit	0.0
1504863at2759.faa.mafft.clipkit	0.0264
1513531at2759.faa.mafft.clipkit	0.0
1525971at2759.faa.mafft.clipkit	0.0254
1526152at2759.faa.mafft.clipkit	0.0
1538526at2759.faa.mafft.clipkit	0.0
1545004at2759.faa.mafft.clipkit	0.0
1552706at2759.faa.mafft.clipkit	0.0
156083at2759.faa.mafft.clipkit	0.0143
1620056at2759.faa.mafft.clipkit	0.1126
1626636at2759.faa.mafft.clipkit	0.0
1633672at2759.faa.mafft.clipkit	0.0
176625at2759.faa.mafft.clipkit	0.0
271586at2759.faa.mafft.clipkit	0.0
290630at2759.faa.mafft.clipkit	0.0
296129at2759.faa.mafft.clipkit	0.0
306227at2759.faa.mafft.clipkit	0.0
320059at2759.faa.mafft.clipkit	0.0
324863at2759.faa.mafft.clipkit	0.0
331411at2759.faa.mafft.clipkit	0.0
341721at2759.faa.mafft.clipkit	0.0172
355408at2759.faa.mafft.clipkit	0.0
390348at2759.faa.mafft.clipkit	0.0
39650at2759.faa.mafft.clipkit	0.0
396755at2759.faa.mafft.clipkit	0.0
418107at2759.faa.mafft.clipkit	0.0
453044at2759.faa.mafft.clipkit	0.0518
491869at2759.faa.mafft.clipkit	0.0
570797at2759.faa.mafft.clipkit	0.0256
621827at2759.faa.mafft.clipkit	0.0
664730at2759.faa.mafft.clipkit	0.0495
673132at2759.faa.mafft.clipkit	0.0534
674160at2759.faa.mafft.clipkit	0.0
679771at2759.faa.mafft.clipkit	0.0
720340at2759.faa.mafft.clipkit	0.0
721605at2759.faa.mafft.clipkit	0.0259
734666at2759.faa.mafft.clipkit	0.0
777920at2759.faa.mafft.clipkit	0.0
814241at2759.faa.mafft.clipkit	0.0
836599at2759.faa.mafft.clipkit	0.0
866359at2759.faa.mafft.clipkit	0.0
891751at2759.faa.mafft.clipkit	0.0
919955at2759.faa.mafft.clipkit	0.0
974865at2759.faa.mafft.clipkit	0.0553
975158at2759.faa.mafft.clipkit	0.0
981902at2759.faa.mafft.clipkit	0.0
996662at2759.faa.mafft.clipkit	0.0419
