orthogroup	treeness
1001705at2759.faa.mafft.clipkit	0.0688
1003258at2759.faa.mafft.clipkit	0.0519
100698at2759.faa.mafft.clipkit	0.1088
1010730at2759.faa.mafft.clipkit	0.0505
1014314at2759.faa.mafft.clipkit	0.056
1018517at2759.faa.mafft.clipkit	0.0985
1019762at2759.faa.mafft.clipkit	0.0296
1025450at2759.faa.mafft.clipkit	0.0804
1030907at2759.faa.mafft.clipkit	0.0403
1032689at2759.faa.mafft.clipkit	0.0459
1038775at2759.faa.mafft.clipkit	0.0
1041560at2759.faa.mafft.clipkit	0.0437
1049599at2759.faa.mafft.clipkit	0.0
1051021at2759.faa.mafft.clipkit	0.1048
1053181at2759.faa.mafft.clipkit	0.0
1057950at2759.faa.mafft.clipkit	0.0935
1065019at2759.faa.mafft.clipkit	0.0687
1076134at2759.faa.mafft.clipkit	0.053
1079130at2759.faa.mafft.clipkit	0.0707
1079827at2759.faa.mafft.clipkit	0.081
1085752at2759.faa.mafft.clipkit	0.0
1087488at2759.faa.mafft.clipkit	0.0724
1090038at2759.faa.mafft.clipkit	0.0
1094121at2759.faa.mafft.clipkit	0.0645
1096688at2759.faa.mafft.clipkit	0.0842
1106766at2759.faa.mafft.clipkit	0.0
1107630at2759.faa.mafft.clipkit	0.0753
1108845at2759.faa.mafft.clipkit	0.0
1111142at2759.faa.mafft.clipkit	0.0
1112002at2759.faa.mafft.clipkit	0.0322
1115196at2759.faa.mafft.clipkit	0.081
1128607at2759.faa.mafft.clipkit	0.0518
1129824at2759.faa.mafft.clipkit	0.0848
1138059at2759.faa.mafft.clipkit	0.0814
1157302at2759.faa.mafft.clipkit	0.0759
1161199at2759.faa.mafft.clipkit	0.0859
1173229at2759.faa.mafft.clipkit	0.0
1178688at2759.faa.mafft.clipkit	0.0604
1182451at2759.faa.mafft.clipkit	0.0646
1193442at2759.faa.mafft.clipkit	0.0446
1194691at2759.faa.mafft.clipkit	0.0451
1194797at2759.faa.mafft.clipkit	0.0431
1197019at2759.faa.mafft.clipkit	0.0653
1200489at2759.faa.mafft.clipkit	0.0377
1217666at2759.faa.mafft.clipkit	0.0822
1220881at2759.faa.mafft.clipkit	0.0421
1222562at2759.faa.mafft.clipkit	0.1177
1223488at2759.faa.mafft.clipkit	0.0888
1228942at2759.faa.mafft.clipkit	0.076
1233814at2759.faa.mafft.clipkit	0.0202
1236198at2759.faa.mafft.clipkit	0.0175
1247641at2759.faa.mafft.clipkit	0.0463
1248958at2759.faa.mafft.clipkit	0.0396
1249159at2759.faa.mafft.clipkit	0.1054
1251252at2759.faa.mafft.clipkit	0.0589
1257440at2759.faa.mafft.clipkit	0.0523
1258856at2759.faa.mafft.clipkit	0.0728
1259741at2759.faa.mafft.clipkit	0.065
1260807at2759.faa.mafft.clipkit	0.0518
1264469at2759.faa.mafft.clipkit	0.0557
1266231at2759.faa.mafft.clipkit	0.0
1269244at2759.faa.mafft.clipkit	0.0911
1269649at2759.faa.mafft.clipkit	0.071
1275837at2759.faa.mafft.clipkit	0.1091
1284731at2759.faa.mafft.clipkit	0.0614
1287094at2759.faa.mafft.clipkit	0.0625
1287401at2759.faa.mafft.clipkit	0.0
1291729at2759.faa.mafft.clipkit	0.0531
1304061at2759.faa.mafft.clipkit	0.0269
1309031at2759.faa.mafft.clipkit	0.0669
1312453at2759.faa.mafft.clipkit	0.0547
1314980at2759.faa.mafft.clipkit	0.0
1322299at2759.faa.mafft.clipkit	0.0396
1322642at2759.faa.mafft.clipkit	0.0
1323575at2759.faa.mafft.clipkit	0.0582
1324510at2759.faa.mafft.clipkit	0.0673
1338131at2759.faa.mafft.clipkit	0.0406
1339553at2759.faa.mafft.clipkit	0.0306
1342242at2759.faa.mafft.clipkit	0.0511
1346165at2759.faa.mafft.clipkit	0.0545
1346432at2759.faa.mafft.clipkit	0.1251
1348942at2759.faa.mafft.clipkit	0.0754
1355894at2759.faa.mafft.clipkit	0.0915
1358374at2759.faa.mafft.clipkit	0.0309
1364586at2759.faa.mafft.clipkit	0.0
1370285at2759.faa.mafft.clipkit	0.0443
1370304at2759.faa.mafft.clipkit	0.0594
1377237at2759.faa.mafft.clipkit	0.0
1379600at2759.faa.mafft.clipkit	0.0332
1380409at2759.faa.mafft.clipkit	0.0
1382842at2759.faa.mafft.clipkit	0.0
1395649at2759.faa.mafft.clipkit	0.0
1398309at2759.faa.mafft.clipkit	0.0758
1404162at2759.faa.mafft.clipkit	0.0459
1405073at2759.faa.mafft.clipkit	0.1114
1405146at2759.faa.mafft.clipkit	0.085
1407446at2759.faa.mafft.clipkit	0.0055
1421503at2759.faa.mafft.clipkit	0.0428
1423847at2759.faa.mafft.clipkit	0.0783
142542at2759.faa.mafft.clipkit	0.0
1426075at2759.faa.mafft.clipkit	0.054
1428265at2759.faa.mafft.clipkit	0.1779
1428854at2759.faa.mafft.clipkit	0.0693
1430056at2759.faa.mafft.clipkit	0.0818
1432328at2759.faa.mafft.clipkit	0.0771
1434266at2759.faa.mafft.clipkit	0.055
1440961at2759.faa.mafft.clipkit	0.0486
1441854at2759.faa.mafft.clipkit	0.0771
1442062at2759.faa.mafft.clipkit	0.1227
1445102at2759.faa.mafft.clipkit	0.5495
1450538at2759.faa.mafft.clipkit	0.0679
1454155at2759.faa.mafft.clipkit	0.0566
1455730at2759.faa.mafft.clipkit	0.0
1459797at2759.faa.mafft.clipkit	0.0647
1474000at2759.faa.mafft.clipkit	0.0442
1488235at2759.faa.mafft.clipkit	0.0907
1488436at2759.faa.mafft.clipkit	0.0811
1490022at2759.faa.mafft.clipkit	0.0605
1504863at2759.faa.mafft.clipkit	0.0292
1513531at2759.faa.mafft.clipkit	0.0001
1525971at2759.faa.mafft.clipkit	0.1081
1530008at2759.faa.mafft.clipkit	0.0611
1538526at2759.faa.mafft.clipkit	0.0821
1552706at2759.faa.mafft.clipkit	0.1013
1558822at2759.faa.mafft.clipkit	0.0
156083at2759.faa.mafft.clipkit	0.0
1567796at2759.faa.mafft.clipkit	0.081
1575179at2759.faa.mafft.clipkit	0.1292
1576404at2759.faa.mafft.clipkit	0.1285
1588798at2759.faa.mafft.clipkit	0.0689
1593937at2759.faa.mafft.clipkit	0.0221
160593at2759.faa.mafft.clipkit	0.0444
1617752at2759.faa.mafft.clipkit	0.0926
1620056at2759.faa.mafft.clipkit	0.0577
1623701at2759.faa.mafft.clipkit	0.1205
1626636at2759.faa.mafft.clipkit	0.0
1633672at2759.faa.mafft.clipkit	0.0822
1645187at2759.faa.mafft.clipkit	0.0497
166920at2759.faa.mafft.clipkit	0.0374
176625at2759.faa.mafft.clipkit	0.0279
179362at2759.faa.mafft.clipkit	0.0521
245208at2759.faa.mafft.clipkit	0.0307
257318at2759.faa.mafft.clipkit	0.0316
261328at2759.faa.mafft.clipkit	0.0
261419at2759.faa.mafft.clipkit	0.0
270107at2759.faa.mafft.clipkit	0.0396
271586at2759.faa.mafft.clipkit	0.0474
290630at2759.faa.mafft.clipkit	0.0378
293315at2759.faa.mafft.clipkit	0.0339
296129at2759.faa.mafft.clipkit	0.0508
299766at2759.faa.mafft.clipkit	0.0324
306227at2759.faa.mafft.clipkit	0.0
320059at2759.faa.mafft.clipkit	0.0404
324863at2759.faa.mafft.clipkit	0.0387
325552at2759.faa.mafft.clipkit	0.0501
330169at2759.faa.mafft.clipkit	0.0613
331411at2759.faa.mafft.clipkit	0.0383
341721at2759.faa.mafft.clipkit	0.0473
345441at2759.faa.mafft.clipkit	0.0
355408at2759.faa.mafft.clipkit	0.0499
369837at2759.faa.mafft.clipkit	0.0476
375960at2759.faa.mafft.clipkit	0.04
383503at2759.faa.mafft.clipkit	0.0604
388820at2759.faa.mafft.clipkit	0.0463
390348at2759.faa.mafft.clipkit	0.0566
