Chromosome	UniqueAgeRelatedCpGSites	Length	Density
W	184	6742290	2.7290430996e-05
33	6	477022	1.25780362331e-05
35	13	1321807	9.83502130039e-06
4	77	8011800	9.61082403455e-06
37	3	336161	8.92429520379e-06
39	1	167149	5.98268610641e-06
27	13	6387999	2.03506606685e-06
17	33	16938386	1.94823757116e-06
24	19	11344391	1.67483648968e-06
30	33	22021689	1.498522661e-06
31	7	4714721	1.4847113965e-06
29	5	3496993	1.42979983088e-06
26	60	46055897	1.30276476865e-06
20	18	13899114	1.29504657635e-06
1	115	99062180	1.16088703075e-06
2	141	123451405	1.14214982e-06
5	85	76278832	1.11433274175e-06
25	8	7312786	1.09397430747e-06
15	23	21088201	1.09065728271e-06
14	24	23265108	1.03158773215e-06
3	118	121534940	9.70914207881e-07
6	63	66143299	9.52477438417e-07
13	21	22362767	9.39060895282e-07
11	22	23986915	9.17166713602e-07
7	37	40978052	9.02922374153e-07
28	7	7803721	8.9700797863e-07
12	19	23235100	8.17728350642e-07
10	23	28816175	7.98162837365e-07
19	10	12787533	7.82011667145e-07
8	28	38659334	7.242752811e-07
9	23	33574751	6.85038587479e-07
21	8	13093161	6.11006005349e-07
22	5	8696975	5.7491254143e-07
Z	42	79826082	5.26143823519e-07
16	6	17487702	3.43098252704e-07
18	4	15572589	2.56861591865e-07
23	0	7971722	0
32	0	736907	0
34	0	104925	0
36	0	1784968	0
38	0	251864	0
40	0	337809	0
41	0	123330	0
