group	file_id	file_name	metric	value	status
Fungi	1108845at2759	1108845at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
Fungi	160593at2759	160593at2759.faa.mafft.clipkit.treefile	treeness	0.0444	ok
Fungi	751335at2759	751335at2759.faa.mafft.clipkit.treefile	treeness	0.0479	ok
Fungi	1428854at2759	1428854at2759.faa.mafft.clipkit.treefile	treeness	0.0693	ok
Fungi	345441at2759	345441at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
Fungi	1128607at2759	1128607at2759.faa.mafft.clipkit.treefile	treeness	0.0518	ok
Fungi	956854at2759	956854at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
Fungi	543764at2759	543764at2759.faa.mafft.clipkit.treefile	treeness	0.0548	ok
Fungi	911863at2759	911863at2759.faa.mafft.clipkit.treefile	treeness	0.0589	ok
Fungi	777920at2759	777920at2759.faa.mafft.clipkit.treefile	treeness	0.039	ok
Fungi	261328at2759	261328at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
Fungi	1038775at2759	1038775at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
Fungi	1233814at2759	1233814at2759.faa.mafft.clipkit.treefile	treeness	0.0202	ok
Fungi	1454155at2759	1454155at2759.faa.mafft.clipkit.treefile	treeness	0.0566	ok
Fungi	1459797at2759	1459797at2759.faa.mafft.clipkit.treefile	treeness	0.0647	ok
Fungi	1079130at2759	1079130at2759.faa.mafft.clipkit.treefile	treeness	0.0707	ok
Fungi	858842at2759	858842at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
Fungi	1322642at2759	1322642at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
Fungi	761109at2759	761109at2759.faa.mafft.clipkit.treefile	treeness	0.0382	ok
Fungi	1076134at2759	1076134at2759.faa.mafft.clipkit.treefile	treeness	0.053	ok
Fungi	1407446at2759	1407446at2759.faa.mafft.clipkit.treefile	treeness	0.0055	ok
Fungi	39650at2759	39650at2759.faa.mafft.clipkit.treefile	treeness	0.0462	ok
Fungi	1096688at2759	1096688at2759.faa.mafft.clipkit.treefile	treeness	0.0842	ok
Fungi	996662at2759	996662at2759.faa.mafft.clipkit.treefile	treeness	0.0539	ok
Fungi	1379600at2759	1379600at2759.faa.mafft.clipkit.treefile	treeness	0.0332	ok
Fungi	1364586at2759	1364586at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
Fungi	1257440at2759	1257440at2759.faa.mafft.clipkit.treefile	treeness	0.0523	ok
Fungi	817008at2759	817008at2759.faa.mafft.clipkit.treefile	treeness	0.0381	ok
Fungi	674160at2759	674160at2759.faa.mafft.clipkit.treefile	treeness	0.0233	ok
Fungi	1442062at2759	1442062at2759.faa.mafft.clipkit.treefile	treeness	0.1227	ok
Fungi	1112002at2759	1112002at2759.faa.mafft.clipkit.treefile	treeness	0.0322	ok
Fungi	450058at2759	450058at2759.faa.mafft.clipkit.treefile	treeness	0.076	ok
