cluster_number,consensus_annotation
1,"(2Z,6E)-farnesyl diphosphate synthase"
2,"1,2-phenylacetyl-CoA epoxidase, subunit A"
3,"1,2-phenylacetyl-CoA epoxidase, subunit B"
4,"1,2-phenylacetyl-CoA epoxidase, subunit C"
5,"1,2-phenylacetyl-CoA epoxidase, subunit E"
6,"1,4-alpha-glucan branching enzyme GlgB"
7,"1,4-dihydroxy-2-naphthoate octaprenyltransferase"
8,"1,4-dihydroxy-2-naphthoyl-CoA synthase"
9,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
10,1-deoxy-D-xylulose 5-phosphate reductoisomerase
11,1-deoxy-D-xylulose-5-phosphate synthase
12,1-deoxyxylulose-5-phosphate synthase YajO
13,10 kDa chaperonin
14,16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
15,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
16,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"
17,"2,4-dienoyl-CoA reductase"
18,2-alkyl-3-oxoalkanoate reductase
19,2-aminoadipate transaminase
20,2-haloacrylate reductase
21,2-hydroxypropyl-CoM lyase
22,2-isopropylmalate synthase
23,2-methylcitrate dehydratase 2
24,2-methylcitrate synthase
25,2-methylisocitrate lyase
26,"2-oxo-hept-4-ene-1,7-dioate hydratase"
27,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
28,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase"
29,23S rRNA (uracil(747)-C(5))-methyltransferase RlmC
30,23S rRNA (uracil-C(5))-methyltransferase RlmCD
31,3'-5' exonuclease DinG
32,"3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase"
33,3-dehydroquinate synthase
34,3-hydroxybenzoate 4-monooxygenase
35,3-hydroxybutyryl-CoA dehydrogenase
36,3-isopropylmalate dehydratase large subunit
37,3-isopropylmalate dehydratase small subunit
38,3-isopropylmalate dehydrogenase
39,3-ketoacyl-CoA thiolase FadI
40,3-methyl-2-oxobutanoate dehydrogenase subunit alpha
41,3-methyl-2-oxobutanoate dehydrogenase subunit beta
42,3-methyl-2-oxobutanoate hydroxymethyltransferase
43,3-oxoacyl-[acyl-carrier-protein] reductase FabG
44,3-oxoacyl-[acyl-carrier-protein] synthase 3
45,"3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase"
46,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
47,3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
48,3-phosphoshikimate 1-carboxyvinyltransferase
49,30S ribosomal protein S1
50,30S ribosomal protein S10
51,30S ribosomal protein S11
52,30S ribosomal protein S12
53,30S ribosomal protein S13
54,30S ribosomal protein S14
55,30S ribosomal protein S15
56,30S ribosomal protein S17
57,30S ribosomal protein S18 1
58,30S ribosomal protein S19
59,30S ribosomal protein S2
60,30S ribosomal protein S20
61,30S ribosomal protein S3
62,30S ribosomal protein S4
63,30S ribosomal protein S6
64,30S ribosomal protein S7
65,30S ribosomal protein S8
66,30S ribosomal protein S9
67,"4,4'-diaponeurosporen-aldehyde dehydrogenase"
68,"4,4'-diapophytoene desaturase (4,4'-diaponeurosporene-forming)"
69,4-aminobutyrate aminotransferase
70,4-chlorobenzoyl coenzyme A dehalogenase-2
71,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
72,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
73,4-hydroxy-3-methylbut-2-enyl diphosphate reductase 2
74,4-hydroxy-tetrahydrodipicolinate reductase
75,4-hydroxy-tetrahydrodipicolinate synthase
76,5-formyltetrahydrofolate cyclo-ligase
77,50S ribosomal protein L1
78,50S ribosomal protein L10
79,50S ribosomal protein L11
80,50S ribosomal protein L13
81,50S ribosomal protein L14
82,50S ribosomal protein L15
83,50S ribosomal protein L16
84,50S ribosomal protein L18
85,50S ribosomal protein L19
86,50S ribosomal protein L2
87,50S ribosomal protein L21
88,50S ribosomal protein L22
89,50S ribosomal protein L23
90,50S ribosomal protein L24
91,50S ribosomal protein L27
92,50S ribosomal protein L28
93,50S ribosomal protein L29
94,50S ribosomal protein L3
95,50S ribosomal protein L31 type B
96,50S ribosomal protein L33 2
97,50S ribosomal protein L34
98,50S ribosomal protein L35
99,50S ribosomal protein L36
100,50S ribosomal protein L4
101,50S ribosomal protein L5
102,50S ribosomal protein L6
103,50S ribosomal protein L7/L12
104,50S ribosomal protein L9
105,"6,7-dimethyl-8-ribityllumazine synthase"
106,6-deoxy-6-sulfogluconolactonase
107,"6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating"
108,60 kDa chaperonin 1
109,[Ribosomal protein S5]-alanine N-acetyltransferase
110,ABC transporter glutamine-binding protein GlnH
111,Acetoin utilization protein AcuC
112,Acetolactate synthase isozyme 2 large subunit
113,Acetolactate synthase large subunit IlvB1
114,Acetolactate synthase small subunit
115,Acetyl-CoA:oxalate CoA-transferase
116,Acetyl-coenzyme A synthetase
117,Acetylglutamate kinase
118,Acetylornithine aminotransferase
119,Acetyltransferase
120,Aconitate hydratase A
121,Acyl carrier protein
122,Acyl-CoA dehydrogenase
123,Acyl-CoA:acyl-CoA alkyltransferase
124,Acyl-coenzyme A thioesterase PaaI
125,Adaptive-response sensory-kinase SasA
126,Adenine DNA glycosylase
127,Adenosine deaminase
128,Adenosylhomocysteinase
129,Adenylate kinase
130,Adenylosuccinate lyase
131,Adenylosuccinate synthetase
132,Alanine dehydrogenase
133,Alanine racemase
134,Alanine--tRNA ligase
135,Alcohol dehydrogenase
136,"Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase 1"
137,Alpha-maltose-1-phosphate synthase
138,Amidophosphoribosyltransferase
