gene	variance_log2_tpm	mad_log2_tpm	cluster0_median	cluster1_median	delta_cluster1_minus_cluster0	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9
SERPINB4	33.0356	1.44727	11.7071	0.672933	-11.0342	11.7071	0.358439	0.69516	11.4584	0.980523	11.8815	0.650707	10.6184	12.0657
S100A7A	28.4313	2.06584	10.6409	0.430388	-10.2105	10.6409	0.293524	0.567053	11.341	0.528426	10.9048	0.33235	9.27516	10.2971
S100A9	28.2731	0.44182	13.866	3.91636	-9.94965	13.866	3.05883	3.61022	13.9097	4.398	13.7787	4.2225	13.7109	14.1527
SPRR2A	27.3301	0.978389	10.3717	0.396301	-9.97537	10.5773	0.22555	0.567053	10.9142	1.0438	10.1472	0.14225	10.3717	9.93582
S100A8	27.2264	0.363651	13.4281	3.78232	-9.64579	13.4281	2.84896	3.56901	13.5649	3.99563	13.4035	4.09708	13.3795	13.7432
S100A7	26.5947	0.63748	12.8466	3.07619	-9.77044	12.3873	2.70663	2.1049	12.8466	3.83498	13.0248	3.44575	12.6811	12.8668
PI3	21.8489	1.18023	10.2313	1.5275	-8.70381	9.98385	0.839722	1.11726	10.9814	1.93775	9.80112	2.02039	10.2313	10.4987
DEFB4A	20.8248	2.50627	8.75563	0.171766	-8.58386	10.1524	0	0.270654	9.0157	0.339608	7.64613	0.0728775	8.083	8.75563
SPRR2B	18.919	0.833769	8.73121	0.548655	-8.18255	8.73121	0.154214	0.185955	9.19735	0.914343	8.92111	0.911356	8.62904	8.36358
SPRR2F	18.8569	2.10063	8.15626	0.143803	-8.01246	9.07894	0.0791665	0.350655	9.47863	0	8.15626	0.208439	7.37799	7.383
KRT6C	18.5171	2.07999	9.8493	2.39711	-7.45219	11.7655	3.69582	2.55673	9.68548	2.2375	9.8493	0.911356	10.5616	9.72876
TCN1	18.2567	2.15683	8.26662	0.100735	-8.16589	8.26662	0.0791665	0.185955	8.55836	0.122303	7.16865	0.0728775	7.3485	9.32548
HEPHL1	17.9423	1.83584	9.59087	1.72617	-7.8647	10.2834	0.64531	1.5146	9.87756	1.93775	9.59087	1.98306	8.44755	9.14301
RHCG	16.0885	0.916584	8.64182	0.921651	-7.72017	8.91594	0.420558	0.350655	8.90991	1.42274	8.00405	1.59488	7.99935	8.64182
SERPINB3	14.6337	1.19944	11.4155	4.08239	-7.33314	11.1941	3.9953	3.45599	11.6533	4.5474	11.5462	4.16948	10.4538	11.4155
KRT16	14.1323	1.18653	12.794	5.63241	-7.16155	13.4938	6.97533	6.04293	12.794	5.13907	12.3073	5.2219	13.1789	12.6264
SPRR2D	12.1811	0.997789	9.41727	2.93414	-6.48313	9.75889	2.35551	1.90743	10.1554	4.57978	9.41727	3.51277	9.15765	9.19779
TMPRSS11D	11.5114	2.39629	6.92778	0.542949	-6.38483	7.89924	0.696424	0.0959714	7.41493	0.695368	5.50296	0.39053	6.07383	6.92778
KRT6A	10.8035	0.719818	13.8606	7.71298	-6.14767	14.1989	8.43317	8.42148	13.8606	7.00448	13.4791	6.91698	14.0981	13.5489
SPRR2G	10.3416	1.33238	9.84155	3.90295	-5.9386	10.0399	2.07561	3.22079	9.84155	4.58511	9.89464	5.40417	9.68995	8.70751
LTF	10.2631	3.21171	7.42784	1.19559	-6.23226	7.42784	0.358439	0.921591	7.91683	1.46958	4.1333	3.69119	6.11692	8.89709
AKR1B10	10.235	0.37	8.20691	2.3596	-5.84731	8.26921	1.89047	1.28953	8.20691	2.82873	8.1908	3.21568	8.20432	8.5608
IFI27	10.2174	1.35611	9.30326	2.83083	-6.47243	8.09696	2.61661	2.39634	8.83824	4.31065	9.30326	3.04505	9.45308	9.43331
ATP12A	10.1976	1.54462	8.43379	2.45869	-5.9751	7.75318	3.56441	3.85617	9.11829	1.21851	8.48493	1.35297	7.57367	8.43379
G25746	10.1712	1.23976	0.568706	6.55759	5.98888	0.568706	6.30296	6.67209	0.110439	6.91635	1.32046	6.44309	0.0806981	0.823688
DCD	10.0992	0.426452	0	4.98062	4.98062	0.18657	5.78532	0.426452	0	4.17592	0	7.57975	0	6.15363
LCE3E	10.0983	0.739833	7.20188	1.30846	-5.89342	7.64291	1.23498	0.755185	7.20188	1.93775	7.09154	1.38194	7.68574	6.94591
LCE3D	9.77427	0.745414	8.64875	2.37269	-6.27607	8.64875	1.95486	2.08164	8.31897	3.87032	8.66303	2.66373	8.73656	7.99115
GDA	9.72838	1.155	7.12843	1.53689	-5.59154	7.55084	0.154214	2.5735	7.6774	2.98199	7.12843	0.500292	6.5224	7.11704
