tree	mean_patristic_distance
1001705at2759.faa.mafft.clipkit.treefile	median: 1.7778
1003258at2759.faa.mafft.clipkit.treefile	median: 1.7108
100698at2759.faa.mafft.clipkit.treefile	median: 1.1565
1010730at2759.faa.mafft.clipkit.treefile	median: 1.1903
1014314at2759.faa.mafft.clipkit.treefile	median: 1.8885
1018517at2759.faa.mafft.clipkit.treefile	median: 0.8937
1019762at2759.faa.mafft.clipkit.treefile	median: 2.332
1025450at2759.faa.mafft.clipkit.treefile	median: 1.5249
1030907at2759.faa.mafft.clipkit.treefile	median: 2.3084
1032689at2759.faa.mafft.clipkit.treefile	median: 1.6274
1038775at2759.faa.mafft.clipkit.treefile	median: 1.0688
1041560at2759.faa.mafft.clipkit.treefile	median: 1.1976
1049599at2759.faa.mafft.clipkit.treefile	median: 1.5708
1051021at2759.faa.mafft.clipkit.treefile	median: 2.1517
1053181at2759.faa.mafft.clipkit.treefile	median: 1.2492
1057950at2759.faa.mafft.clipkit.treefile	median: 2.1689
1065019at2759.faa.mafft.clipkit.treefile	median: 1.1187
1076134at2759.faa.mafft.clipkit.treefile	median: 1.0889
1079130at2759.faa.mafft.clipkit.treefile	median: 0.965
1079827at2759.faa.mafft.clipkit.treefile	median: 0.5737
1085752at2759.faa.mafft.clipkit.treefile	median: 3.0574
1087488at2759.faa.mafft.clipkit.treefile	median: 1.9305
1090038at2759.faa.mafft.clipkit.treefile	median: 1.948
1094121at2759.faa.mafft.clipkit.treefile	median: 2.2254
1096688at2759.faa.mafft.clipkit.treefile	median: 0.948
1106766at2759.faa.mafft.clipkit.treefile	median: 1.0757
1107630at2759.faa.mafft.clipkit.treefile	median: 1.6113
1108845at2759.faa.mafft.clipkit.treefile	median: 1.0996
1111142at2759.faa.mafft.clipkit.treefile	median: 2.8694
1112002at2759.faa.mafft.clipkit.treefile	median: 1.326
1115196at2759.faa.mafft.clipkit.treefile	median: 1.6767
1128607at2759.faa.mafft.clipkit.treefile	median: 0.8416
1129824at2759.faa.mafft.clipkit.treefile	median: 1.885
1138059at2759.faa.mafft.clipkit.treefile	median: 0.9342
1157302at2759.faa.mafft.clipkit.treefile	median: 0.3507
1161199at2759.faa.mafft.clipkit.treefile	median: 2.4324
1173229at2759.faa.mafft.clipkit.treefile	median: 2.1098
1178688at2759.faa.mafft.clipkit.treefile	median: 1.7845
1182451at2759.faa.mafft.clipkit.treefile	median: 2.0627
1193442at2759.faa.mafft.clipkit.treefile	median: 1.4565
1194691at2759.faa.mafft.clipkit.treefile	median: 1.3806
1194797at2759.faa.mafft.clipkit.treefile	median: 1.3636
1197019at2759.faa.mafft.clipkit.treefile	median: 1.0418
1200489at2759.faa.mafft.clipkit.treefile	median: 1.3829
1217666at2759.faa.mafft.clipkit.treefile	median: 1.1255
1220881at2759.faa.mafft.clipkit.treefile	median: 1.3804
1222562at2759.faa.mafft.clipkit.treefile	median: 1.4444
1223488at2759.faa.mafft.clipkit.treefile	median: 1.9337
1228942at2759.faa.mafft.clipkit.treefile	median: 1.215
1233814at2759.faa.mafft.clipkit.treefile	median: 1.2534
1236198at2759.faa.mafft.clipkit.treefile	median: 0.8681
1247641at2759.faa.mafft.clipkit.treefile	median: 2.4803
1248958at2759.faa.mafft.clipkit.treefile	median: 1.7608
1249159at2759.faa.mafft.clipkit.treefile	median: 1.9519
1251252at2759.faa.mafft.clipkit.treefile	median: 1.761
1257440at2759.faa.mafft.clipkit.treefile	median: 1.2669
1258856at2759.faa.mafft.clipkit.treefile	median: 2.3177
1259741at2759.faa.mafft.clipkit.treefile	median: 1.7588
1260807at2759.faa.mafft.clipkit.treefile	median: 1.276
1264469at2759.faa.mafft.clipkit.treefile	median: 1.7913
1266231at2759.faa.mafft.clipkit.treefile	median: 0.8259
1269244at2759.faa.mafft.clipkit.treefile	median: 2.8148
1269649at2759.faa.mafft.clipkit.treefile	median: 0.8936
1275837at2759.faa.mafft.clipkit.treefile	median: 0.8092
1284731at2759.faa.mafft.clipkit.treefile	median: 1.531
1287094at2759.faa.mafft.clipkit.treefile	median: 1.7599
1287401at2759.faa.mafft.clipkit.treefile	median: 0.922
1291729at2759.faa.mafft.clipkit.treefile	median: 1.3844
1304061at2759.faa.mafft.clipkit.treefile	median: 1.0509
1309031at2759.faa.mafft.clipkit.treefile	median: 1.7218
1312453at2759.faa.mafft.clipkit.treefile	median: 2.1243
1314980at2759.faa.mafft.clipkit.treefile	median: 1.8734
1322299at2759.faa.mafft.clipkit.treefile	median: 1.7835
1322642at2759.faa.mafft.clipkit.treefile	median: 1.0623
1323575at2759.faa.mafft.clipkit.treefile	median: 1.3938
1324510at2759.faa.mafft.clipkit.treefile	median: 1.9878
1338131at2759.faa.mafft.clipkit.treefile	median: 0.8906
1339553at2759.faa.mafft.clipkit.treefile	median: 3.6684
1342242at2759.faa.mafft.clipkit.treefile	median: 2.0972
1346165at2759.faa.mafft.clipkit.treefile	median: 1.593
1346432at2759.faa.mafft.clipkit.treefile	median: 1.8077
1348942at2759.faa.mafft.clipkit.treefile	median: 1.9728
1355894at2759.faa.mafft.clipkit.treefile	median: 1.3914
1358374at2759.faa.mafft.clipkit.treefile	median: 1.0338
1364586at2759.faa.mafft.clipkit.treefile	median: 1.818
1370285at2759.faa.mafft.clipkit.treefile	median: 2.7845
1370304at2759.faa.mafft.clipkit.treefile	median: 1.9805
1377237at2759.faa.mafft.clipkit.treefile	median: 1.7868
1379600at2759.faa.mafft.clipkit.treefile	median: 2.5775
1380409at2759.faa.mafft.clipkit.treefile	median: 2.0548
1382842at2759.faa.mafft.clipkit.treefile	median: 1.9036
1395649at2759.faa.mafft.clipkit.treefile	median: 1.6165
1398309at2759.faa.mafft.clipkit.treefile	median: 1.3808
1404162at2759.faa.mafft.clipkit.treefile	median: 2.3643
1405073at2759.faa.mafft.clipkit.treefile	median: 0.5819
