tree	mean_patristic_distance
1003258at2759.faa.mafft.clipkit.treefile	median: 1.8787
100698at2759.faa.mafft.clipkit.treefile	median: 0.6587
1010730at2759.faa.mafft.clipkit.treefile	median: 1.5162
1014314at2759.faa.mafft.clipkit.treefile	median: 0.6113
1018517at2759.faa.mafft.clipkit.treefile	median: 0.5698
1019762at2759.faa.mafft.clipkit.treefile	median: 1.7461
1038775at2759.faa.mafft.clipkit.treefile	median: 1.1672
1041560at2759.faa.mafft.clipkit.treefile	median: 1.0904
1065019at2759.faa.mafft.clipkit.treefile	median: 1.4283
1079827at2759.faa.mafft.clipkit.treefile	median: 0.3351
1094121at2759.faa.mafft.clipkit.treefile	median: 0.8915
1096688at2759.faa.mafft.clipkit.treefile	median: 0.9075
1112002at2759.faa.mafft.clipkit.treefile	median: 1.3827
1129824at2759.faa.mafft.clipkit.treefile	median: 1.3047
1138059at2759.faa.mafft.clipkit.treefile	median: 0.7914
1157302at2759.faa.mafft.clipkit.treefile	median: 0.4522
1161199at2759.faa.mafft.clipkit.treefile	median: 1.3698
1173229at2759.faa.mafft.clipkit.treefile	median: 1.3391
1193442at2759.faa.mafft.clipkit.treefile	median: 0.8234
1194691at2759.faa.mafft.clipkit.treefile	median: 0.8374
1200489at2759.faa.mafft.clipkit.treefile	median: 1.7463
1217666at2759.faa.mafft.clipkit.treefile	median: 0.6234
1249159at2759.faa.mafft.clipkit.treefile	median: 0.834
1251252at2759.faa.mafft.clipkit.treefile	median: 1.1634
1260807at2759.faa.mafft.clipkit.treefile	median: 1.3713
1264469at2759.faa.mafft.clipkit.treefile	median: 1.8046
1269244at2759.faa.mafft.clipkit.treefile	median: 1.667
1269649at2759.faa.mafft.clipkit.treefile	median: 0.5923
1284731at2759.faa.mafft.clipkit.treefile	median: 1.3605
1287094at2759.faa.mafft.clipkit.treefile	median: 1.2372
1287401at2759.faa.mafft.clipkit.treefile	median: 0.394
1291729at2759.faa.mafft.clipkit.treefile	median: 1.7554
1304061at2759.faa.mafft.clipkit.treefile	median: 0.6188
1338131at2759.faa.mafft.clipkit.treefile	median: 0.5155
1342242at2759.faa.mafft.clipkit.treefile	median: 1.7408
1346165at2759.faa.mafft.clipkit.treefile	median: 1.7818
1346432at2759.faa.mafft.clipkit.treefile	median: 1.0087
1355894at2759.faa.mafft.clipkit.treefile	median: 0.5569
1358374at2759.faa.mafft.clipkit.treefile	median: 1.1792
1364586at2759.faa.mafft.clipkit.treefile	median: 1.5199
1370285at2759.faa.mafft.clipkit.treefile	median: 1.8495
1379600at2759.faa.mafft.clipkit.treefile	median: 1.3755
1382842at2759.faa.mafft.clipkit.treefile	median: 1.1202
1405073at2759.faa.mafft.clipkit.treefile	median: 0.3466
1421503at2759.faa.mafft.clipkit.treefile	median: 0.554
1423847at2759.faa.mafft.clipkit.treefile	median: 0.9568
1428854at2759.faa.mafft.clipkit.treefile	median: 1.3568
1432328at2759.faa.mafft.clipkit.treefile	median: 0.824
1434266at2759.faa.mafft.clipkit.treefile	median: 1.9919
1441854at2759.faa.mafft.clipkit.treefile	median: 0.8289
1445102at2759.faa.mafft.clipkit.treefile	median: 0.7092
1455730at2759.faa.mafft.clipkit.treefile	median: 0.6394
1488235at2759.faa.mafft.clipkit.treefile	median: 0.8697
1488436at2759.faa.mafft.clipkit.treefile	median: 0.8767
1504863at2759.faa.mafft.clipkit.treefile	median: 0.687
1513531at2759.faa.mafft.clipkit.treefile	median: 1.3163
1525971at2759.faa.mafft.clipkit.treefile	median: 0.8759
1526152at2759.faa.mafft.clipkit.treefile	median: 1.7136
1538526at2759.faa.mafft.clipkit.treefile	median: 1.0953
1545004at2759.faa.mafft.clipkit.treefile	median: 0.6169
1552706at2759.faa.mafft.clipkit.treefile	median: 0.88
156083at2759.faa.mafft.clipkit.treefile	median: 0.0938
1620056at2759.faa.mafft.clipkit.treefile	median: 0.8135
