metric	value
encode_search_url	https://www.encodeproject.org/search/?type=Experiment&searchTerm=AFGR&format=json&limit=all
encode_search_total	699
encode_graph_count	699
atac_experiment_count	100
bam_file_rows	200
grch38_bam_rows	200
panel_url	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20130606_g1k_3202_samples_ped_population.txt
panel_header	FamilyID SampleID FatherID MotherID Sex Population Superpopulation
panel_data_rows	3202
panel_unique_ids	0
bam_rows_with_1000g_match	0
distinct_matched_1000g_ids	0
