metric	value
panel_url	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20130606_g1k_3202_samples_ped_population.txt
panel_header	FamilyID|SampleID|FatherID|MotherID|Sex|Population|Superpopulation
panel_rows	3202
panel_unique_samples	3202
afgr_atac_experiments	100
afgr_bam_metadata_rows	200
matched_1000g_individuals	83
selected_filtered_grch38_bams	83
selected_unique_md5s	83
selected_submitted_names_with_filter_marker	83
population_counts	ESN:17;GWD:17;LWK:16;MSL:16;YRI:17
superpopulation_counts	AFR:83
unmatched_afgr_atac_experiments	17
unmatched_experiment_ids	ENCSR024WOD;ENCSR105SCQ;ENCSR122NDR;ENCSR214EIV;ENCSR233HSC;ENCSR275LCF;ENCSR315QWI;ENCSR408IVU;ENCSR422RPD;ENCSR424KQH;ENCSR509JPT;ENCSR512YXO;ENCSR641KNU;ENCSR902CFR;ENCSR939EVW;ENCSR954BDA;ENCSR960KGO
md5_file_line_count	83
md5_file_md5sum	1127bd47e06e7c19e8f0d5b5458a244a
