comparison	stratum	N	prob_outcome_given_predictor0	prob_outcome_given_predictor1	diff
C_to_Tplus1	Tprev=0	125902	0.151606	0.208708	0.057102
C_to_Tplus1	Tprev=1	22898	0.149127	0.182994	0.033867
T_to_Cplus1	Cprev=0	140862	0.046146	0.094805	0.048658
T_to_Cplus1	Cprev=1	7938	0.043080	0.088070	0.044990
C_to_Tplus2	Tprev=0	125386	0.154448	0.146701	-0.007747
C_to_Tplus2	Tprev=1	22814	0.154017	0.146240	-0.007778
T_to_Cplus2	Cprev=0	140303	0.053744	0.051982	-0.001762
T_to_Cplus2	Cprev=1	7897	0.052648	0.052168	-0.000480
triplet	Tprev	Tcur	Tnext	Ccur	count
triplet	0	0	0	0	86237
triplet	0	0	0	1	3884
triplet	0	0	1	0	15388
triplet	0	0	1	1	1015
triplet	0	1	0	0	15667
triplet	0	1	0	1	696
triplet	0	1	1	0	2822
triplet	0	1	1	1	193
triplet	1	0	0	0	14909
triplet	1	0	0	1	1485
triplet	1	0	1	0	2639
triplet	1	0	1	1	335
triplet	1	1	0	0	2733
triplet	1	1	0	1	283
triplet	1	1	1	0	453
triplet	1	1	1	1	61
