sample	tf	role	total_fragments	union_open_fragments	union_closed_fragments	intersection_open_fragments	intersection_closed_fragments	malformed_lines	chromosomes	columns_min	columns_max
TF1.control1	TF1	control	37039899	428897	36611002	330865	36709034	0	165	7	7
TF1.control2	TF1	control	45007567	518210	44489357	402564	44605003	0	169	7	7
TF1.rep1	TF1	chip	30262780	1139589	29123191	909163	29353617	0	163	7	7
TF1.rep2	TF1	chip	34212511	1192484	33020027	951594	33260917	0	161	7	7
TF2.control1	TF2	control	26894612	347156	26547456	270648	26623964	0	157	7	7
TF2.control2	TF2	control	26693947	343914	26350033	269069	26424878	0	161	7	7
TF2.rep1	TF2	chip	9520602	391494	9129108	319651	9200951	0	147	7	7
TF2.rep2	TF2	chip	18620491	739407	17881084	613678	18006813	0	159	7	7
TF3.control1	TF3	control	23274203	434503	22839700	345041	22929162	0	157	7	7
TF3.control2	TF3	control	13216643	223761	12992882	177333	13039310	0	154	7	7
TF3.rep1	TF3	chip	15298277	672706	14625571	580734	14717543	0	155	7	7
TF3.rep2	TF3	chip	17189525	1150891	16038634	1001893	16187632	0	155	7	7
TF4.control1	TF4	control	28277779	360601	27917178	275168	28002611	0	166	7	7
TF4.control2	TF4	control	23754574	321221	23433353	245623	23508951	0	167	7	7
TF4.rep1	TF4	chip	26225809	1083934	25141875	842631	25383178	0	147	7	7
TF4.rep2	TF4	chip	19481343	817846	18663497	636288	18845055	0	143	7	7
TF5.control	TF5	control	16452140	153100	16299040	114507	16337633	0	164	7	7
TF5.rep1	TF5	chip	16135021	1530579	14604442	1339139	14795882	0	157	7	7
TF5.rep2	TF5	chip	14755327	337111	14418216	284223	14471104	0	160	7	7
TF6.control	TF6	control	16833124	325169	16507955	259766	16573358	0	153	7	7
TF6.rep1	TF6	chip	8156838	644550	7512288	569309	7587529	0	143	7	7
TF6.rep2	TF6	chip	5302061	260978	5041083	222863	5079198	0	141	7	7
