                                 Started job on |	Aug 03 08:43:32
                             Started mapping on |	Aug 03 08:53:19
                                    Finished on |	Aug 03 08:54:15
       Mapping speed, Million of reads per hour |	7.71

                          Number of input reads |	120000
                      Average input read length |	150
                                    UNIQUE READS:
                   Uniquely mapped reads number |	103065
                        Uniquely mapped reads % |	85.89%
                          Average mapped length |	149.47
                       Number of splices: Total |	60296
            Number of splices: Annotated (sjdb) |	59622
                       Number of splices: GT/AG |	59692
                       Number of splices: GC/AG |	433
                       Number of splices: AT/AC |	54
               Number of splices: Non-canonical |	117
                      Mismatch rate per base, % |	0.45%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.39
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.32
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	13781
             % of reads mapped to multiple loci |	11.48%
        Number of reads mapped to too many loci |	77
             % of reads mapped to too many loci |	0.06%
                                  UNMAPPED READS:
  Number of reads unmapped: too many mismatches |	5
       % of reads unmapped: too many mismatches |	0.00%
            Number of reads unmapped: too short |	2163
                 % of reads unmapped: too short |	1.80%
                Number of reads unmapped: other |	8
                     % of reads unmapped: other |	0.01%
                                  CHIMERIC READS:
                       Number of chimeric reads |	1618
                            % of chimeric reads |	1.35%
