key	value
pca_implementation	numpy.linalg.svd
numpy_version	2.2.2
transform	log10(x+1)
features_centered	true
features_scaled	false
original_sample_records	222
original_unique_primary_ids	199
metadata_sample_records	222
metadata_unique_primary_ids	199
excluded_collision_id_count	21
excluded_collision_ids	id113,id154,id162,id171,id173,id177,id223,id444,id457,id463,id464,id495,id564,id602,id630,id724,id847,id849,id885,id918,id956
fitted_sample_count	178
original_gene_count	2456
zero_variance_genes_removed	0
fitted_gene_count	2456
components_requested	100
explained_variance_denominator	total centered variance across complete fitted feature space
total_centered_variance	88.628821663659551
pc1_explained_variance_ratio	0.55971150241111767
pc1_explained_variance_percent	55.971150241111765
