metric	value
counts_all_genes	63677
counts_all_samples	30
prefiltered_genes_count_gt_10_any_30	20130
fit_samples	12
fit_genes_nonzero_related_groups	20129
de_genes_after_thresholds	679
mapped_foreground_unique_symbols	656
unmapped_de_genes	23
enrichr_rows	955
target_term	TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312
odds_ratio	5.8124059018368
target_Overlap	8/49
target_P-value	0.00017631176650592472
target_Adjusted P-value	0.1683777370131581
target_Combined Score	50.238116425078296
target_Genes	BTG2;CDKN1A;PCNA;RGCC;CCNE2;CCNE1;PLK2;BAX
