key	value
matrix_features	1000
matrix_cells	2455
assigned_cells	2455
non_targeting_control_cells	500
raw_msigdb_pathway_genes	200
pathway_genes_present_after_aliasing	29
usable_pathway_genes_with_control_variance	29
pathway_genes_present	STAT1,ISG15,IFIT1,IFIT2,IFIT3,MX1,MX2,OAS2,OAS3,CXCL10,CXCL11,IRF7,BST2,STAT2,EIF2AK2,IDO1,TRIM14,CD40,TRIM25,CD69,TRIM26,TRIM21,CCL7,CD74,IL6,CCL5,B2M,CD38,CD86
unresolved_pathway_genes	ADAR,APOL6,ARID5B,ARL4A,AUTS2,BANK1,BATF2,BPGM,BTG1,C1R,C1S,CASP1,CASP3,CASP4,CASP7,CASP8,CCL2,CD274,CDKN1A,CFB,CFH,CIITA,CMKLR1,CMPK2,CMTR1,CSF2RB,CXCL9,DDX60,DHX58,EIF4E3,EPSTI1,FAS,FCGR1A,FGL2,FPR1,GBP4,GBP6,GCH1,GPR18,GZMA,HELZ2,HERC6,HIF1A,HLA-A,HLA-B,HLA-DMA,HLA-DQA1,HLA-DRB1,HLA-G,ICAM1,IFI27,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFITM2,IFITM3,IFNAR2,IL10RA,IL15,IL15RA,IL18BP,IL2RB,IL4R,IL7,IRF1,IRF2,IRF4,IRF5,IRF8,IRF9,ISG20,ISOC1,ITGB7,JAK2,KLRK1,LAP3,LATS2,LCP2,LGALS3BP,LY6E,LYSMD2,MARCHF1,MT2A,MTHFD2,MVP,MYD88,NAMPT,NCOA3,NFKB1,NFKBIA,NLRC5,NMI,NOD1,NUP93,OASL,OGFR,P2RY14,PARP12,PARP14,PDE4B,PELI1,PFKP,PIM1,PLA2G4A,PLSCR1,PML,PNP,PNPT1,PSMA2,PSMA3,PSMB10,PSMB2,PSMB8,PSMB9,PSME1,PSME2,PTGS2,PTPN1,PTPN2,PTPN6,RAPGEF6,RBCK1,RIGI,RIPK1,RIPK2,RNF213,RNF31,RSAD2,RTP4,SAMD9L,SAMHD1,SECTM1,SELP,SERPING1,SLAMF7,SLC25A28,SOCS1,SOCS3,SOD2,SP110,SPPL2A,SRI,SSPN,ST3GAL5,ST8SIA4,STAT3,STAT4,TAP1,TAPBP,TDRD7,TMT1B,TNFAIP2,TNFAIP3,TNFAIP6,TNFSF10,TOR1B,TRAFD1,TXNIP,UBE2L6,UPP1,USP18,VAMP5,VAMP8,VCAM1,WARS1,XAF1,XCL1,ZBP1,ZNFX1
targets_tested	40
selected_target	STAT1
