common_genes	18472
missing_query_labels	endostyle_csg,epidermal_neural,epidermis,mesodermal_notochord,muscular_somites,neural_like,putative_neuro_endo,somite,tailbud,tailbud_neural
same_score	0.900793566
best_score	0.900793566
query_label	best_reference	best_corr	same_corr	second_reference	second_corr
endoderm	endoderm	0.421585647	0.421585647	neural	0.419368487
endostyle_csg	endoderm	0.404668919	nan	neural	0.394767742
epidermal_neural	neural	0.438052506	nan	endoderm	0.253137822
epidermis	neural	0.073746658	nan	endoderm	-0.022548263
mesodermal_notochord	neural	0.417413045	nan	endoderm	0.342175148
muscular_somites	neural	0.431477170	nan	endoderm	0.325968517
neural	neural	0.479207920	0.479207920	endoderm	0.272147446
neural_like	neural	0.233177560	nan	endoderm	0.116939364
putative_neuro_endo	neural	0.261096186	nan	endoderm	0.199806267
somite	neural	0.456399182	nan	endoderm	0.362217493
tailbud	neural	0.404783492	nan	endoderm	0.292284376
tailbud_neural	neural	0.246670250	nan	endoderm	0.144779888
