kind	label	count
broad	endoderm	1065
broad	epidermal_neural1	108
broad	epidermal_neural2	99
broad	epidermis_1	3189
broad	epidermis_2	6546
broad	mesodermal_other	1520
broad	mesodermal_somites	182
broad	neural	1737
broad	neural_like1	30
broad	neural_like2	110
cell_type	DiMes	38
cell_type	HyTh	245
cell_type	endoderm	842
cell_type	endostyle_csg	223
cell_type	epidermal_neural1	108
cell_type	epidermal_neural2	99
cell_type	epidermis_1	3189
cell_type	epidermis_2	6546
cell_type	mesodermal_notochord	409
cell_type	muscular_somites	182
cell_type	neural	1243
cell_type	neural_like1	30
cell_type	neural_like2	110
cell_type	putative_neuro_endo	166
cell_type	somite	666
cell_type	tailbud	279
cell_type	tailbud_neural	211
