GroupBy(target_gene_name)	mean(ifn_score)	median(ifn_score)	count(ifn_score)
ATP27	0.5797357228597	0.56803741455078	50
ATP49	0.52916393152873	0.52381490071615	50
ATP9	0.562125831604	0.53778603871663	50
CCL8	0.5716649983724	0.5672020594279	50
CD103	0.57842053222656	0.56236279805501	50
CD149	0.59380311711629	0.60135173797607	50
CD39	0.53180773925781	0.525510597229	50
CD69	0.60484775797526	0.62271073659261	50
CD83	0.58556346384684	0.59495944976807	50
CD92	0.54169679641724	0.52257703145345	50
HOXA1	0.59409556452433	0.58659572601318	50
HOXB5	0.57532191340129	0.57631301879883	50
IL6	0.60696778361003	0.5855583190918	50
ISG15	-0.13745809300741	-0.14599294662476	50
MAPK1	0.56093222427368	0.55020370483398	50
MAPK2	0.61020944722493	0.58923269907633	50
Non-Targeting	0.58967620137533	0.58562571207682	500
RPL27	0.62503389231364	0.59956258138021	50
SLC2A1	0.5676242980957	0.5561892191569	50
SOX28	0.57820972824097	0.56520748138428	50
STAT1	-2.0066853006681	-2.6254756132762	5
TRIM20	0.59551724243164	0.60002829233805	50
TRIM23	0.58871745554606	0.59213727315267	50
TRIM33	0.56982670338949	0.5771848042806	50
TRIM5	0.60314031473796	0.60424156188965	50
ZNF101	0.60465011850993	0.59793523152669	50
ZNF115	0.576932665507	0.56224613189697	50
ZNF122	0.56252908579508	0.57852261861165	50
ZNF159	0.60134620157878	0.59773667653402	50
ZNF20	0.581939965566	0.55845476786296	50
ZNF205	0.61352664057414	0.63074200948079	50
ZNF209	0.60435255686442	0.59496822357178	50
ZNF264	0.58090462112427	0.54142265319824	50
ZNF271	0.56936106109619	0.55999476114909	50
ZNF315	0.54386985397339	0.52030321756999	50
ZNF324	0.5812020517985	0.5739839553833	50
ZNF326	0.58377557118734	0.5947120030721	50
ZNF329	0.57711291122437	0.58160603841146	50
ZNF359	0.58376986567179	0.57515023549398	50
ZNF361	0.59386474355062	0.59587211608887	50
ZNF90	0.60500259399414	0.60036729176839	50
