GroupBy(field-1)	mean(field-4)	median(field-4)	count(field-4)
ATP9	-0.087385951935	-0.097275685	20
ATP27	0.006378218255	0.01463831875	20
ATP49	0.028225458375	0.019171928	20
CCL8	-0.020317406682	-0.01735357865	20
CD39	-0.03837983145	-0.04053735	20
CD69	0.002711075135	0.016457421	20
CD83	-0.00728101799635	-0.0260375015	20
CD92	0.02501845843805	0.0175920855	20
CD103	0.044647688835	0.051659352	20
CD149	-0.00510961409	-0.0181592945	20
HOXA1	-0.022560376815	-0.027888367	20
HOXB5	-0.00315063478	-0.01128471425	20
IL6	0.01223542372	0.0013939927	20
ISG15	-0.02489738605	-0.0258749135	20
MAPK1	0.01412472276	0.0055702087	20
MAPK2	-0.003035041068	-0.00341200068	20
RPL27	-0.02997990495	-0.020526886	20
SLC2A1	0.01684849366	0.0350788195	20
SOX28	-0.003995776625	0.021059786	20
STAT1	0.03950025234	0.03800693	20
TRIM5	-0.01305382082	-0.009305539	20
TRIM20	-0.0914160827	-0.096124652	20
TRIM23	-0.12328667835	-0.127914035	20
TRIM33	-0.07075055617495	-0.06818317	20
ZNF20	-0.0236995392	-0.0207003375	20
ZNF90	0.0010190809	0.012539706	20
ZNF101	0.02759786903	0.029554424	20
ZNF115	0.00822578739	0.011998217	20
ZNF122	0.026621804995	0.026945303	20
ZNF159	-0.02247962539	0.00090144585	20
ZNF205	0.023473266685	0.022651108	20
ZNF209	-0.009587395458	-0.00187466108	20
ZNF264	-0.00011535612	-0.01561019	20
ZNF271	0.0076643142	-0.0065241155	20
ZNF315	0.004282699025	0.01375204225	20
ZNF324	-0.016044866385	-0.0114167245	20
ZNF326	-0.0399203000808	-0.050511188	20
ZNF329	-0.001974883615	0.009198106	20
ZNF359	0.0202479515	0.0141955115	20
ZNF361	-0.0512565523	-0.0541214565	20
