GroupBy(target_gene_name)	mean(ifn_score)	median(ifn_score)	count(ifn_score)
Non-Targeting	0.5751471244812	0.5804126739502	500
STAT1	0.65429056803385	0.65915768941243	5
ISG15	0.56028443272909	0.56485137939453	50
CD103	0.6130794245402	0.58877226511637	50
ZNF326	0.51719386164347	0.52405986785889	50
RPL27	0.54250837453206	0.57762266794841	50
SOX28	0.58848258336385	0.59517548878988	50
TRIM23	0.47026601664225	0.56918023427327	50
ZNF20	0.56738642501831	0.58953221638997	50
IL6	0.57280747350057	0.58717466990153	50
HOXB5	0.5380983098348	0.49849007924398	50
CD92	0.57043959554036	0.54624201456706	50
ZNF264	0.55790710322062	0.55709673563639	50
ATP27	0.60091370773315	0.5972022374471	50
ZNF115	0.59129322179159	0.57387294769287	50
ZNF205	0.57167326990763	0.56966444651286	50
CD39	0.56217299524943	0.58713213602702	50
MAPK2	0.55438924153646	0.55088806152344	50
ZNF122	0.59770458730062	0.58893184661865	50
MAPK1	0.57500062815348	0.55686791737874	50
ZNF361	0.52701812998454	0.55480219523112	50
ZNF329	0.53901119359334	0.54056987762451	50
TRIM20	0.50667065819105	0.57803885142008	50
CD83	0.60813667933146	0.64474709828695	50
ZNF159	0.54290665690104	0.55083344777425	50
CCL8	0.54430090967814	0.58479480743408	50
ZNF324	0.57777549489339	0.56480890909831	50
HOXA1	0.56669542948405	0.54580307006836	50
TRIM33	0.5122483625412	0.56032002766927	50
ZNF209	0.54245669809977	0.54197196960449	50
ATP9	0.50256915950775	0.57169812520345	50
ZNF359	0.57597674179077	0.59202117919922	50
ZNF315	0.59951553726196	0.62147286732992	50
TRIM5	0.54750466791789	0.55985075632731	50
CD69	0.58574403508504	0.59522266387939	50
CD149	0.57046546554565	0.58486893971761	50
ZNF90	0.56863384628296	0.58603763580322	50
ATP49	0.58733364613851	0.59476547241211	50
SLC2A1	0.56626714070638	0.55954043070475	50
ZNF271	0.56535002263387	0.57286224365234	50
ZNF101	0.57212032826742	0.55986658732096	50
