id	target_gene_name
guide_001	Non-Targeting
guide_002	Non-Targeting
guide_003	Non-Targeting
guide_004	Non-Targeting
guide_005	Non-Targeting
guide_006	Non-Targeting
guide_007	Non-Targeting
guide_008	Non-Targeting
guide_009	Non-Targeting
guide_010	Non-Targeting
guide_011	STAT1
guide_012	ISG15
guide_013	CD103
guide_014	ZNF326
guide_015	RPL27
guide_016	SOX28
guide_017	TRIM23
guide_018	ZNF20
guide_019	IL6
guide_020	HOXB5
guide_021	CD92
guide_022	ZNF264
guide_023	ATP27
guide_024	ZNF115
guide_025	ZNF205
guide_026	CD39
guide_027	MAPK2
guide_028	ZNF122
guide_029	MAPK1
guide_030	ZNF361
guide_031	ZNF329
guide_032	TRIM20
guide_033	CD83
guide_034	ZNF159
guide_035	CCL8
guide_036	ZNF324
guide_037	HOXA1
guide_038	TRIM33
guide_039	ZNF209
guide_040	ATP9
guide_041	ZNF359
guide_042	ZNF315
guide_043	TRIM5
guide_044	CD69
guide_045	CD149
guide_046	ZNF90
guide_047	ATP49
guide_048	SLC2A1
guide_049	ZNF271
guide_050	ZNF101
