GroupBy(field-1)	mean(field-4)
ATP9	-0.087385951935
ATP27	0.006378218255
ATP49	0.028225458375
CCL8	-0.020317406682
CD39	-0.03837983145
CD69	0.002711075135
CD83	-0.00728101799635
CD92	0.02501845843805
CD103	0.044647688835
CD149	-0.00510961409
HOXA1	-0.022560376815
HOXB5	-0.00315063478
IL6	0.01223542372
ISG15	-0.02489738605
MAPK1	0.01412472276
MAPK2	-0.003035041068
RPL27	-0.02997990495
SLC2A1	0.01684849366
SOX28	-0.003995776625
STAT1	0.03950025234
TRIM5	-0.01305382082
TRIM20	-0.0914160827
TRIM23	-0.12328667835
TRIM33	-0.07075055617495
ZNF20	-0.0236995392
ZNF90	0.0010190809
ZNF101	0.02759786903
ZNF115	0.00822578739
ZNF122	0.026621804995
ZNF159	-0.02247962539
ZNF205	0.023473266685
ZNF209	-0.009587395458
ZNF264	-0.00011535612
ZNF271	0.0076643142
ZNF315	0.004282699025
ZNF324	-0.016044866385
ZNF326	-0.0399203000808
ZNF329	-0.001974883615
ZNF359	0.0202479515
ZNF361	-0.0512565523
