GroupBy(field-1)	mean(field-4)	median(field-4)	count(field-4)
ATP27	-0.009785045215	-0.015100149	20
ATP49	-0.018111066225	-0.0173584965	20
ATP9	0.0119501447665	0.011999648015	20
CCL8	-0.003798230818	0.00460771082	20
CD103	0.00612717811	0.0190259825	20
CD149	-0.01082686215	-0.022440744	20
CD39	-0.022911652165	-0.0164031655	20
CD69	0.00990272864	0.00467241405	20
CD83	-0.004926790755	-0.0050263361	20
CD92	0.00033390377	-0.0048404828	20
HOXA1	2.21888e-05	0.0078961115	20
HOXB5	0.010059566885	0.0123828155	20
IL6	0.020245514615	0.00285808015	20
ISG15	-1.0261223075	-1.0431986	20
MAPK1	-0.015640861146	-0.00157551801	20
MAPK2	0.0159390657	0.0178454395	20
RPL27	0.008795594492	-0.00080601808	20
SLC2A1	0.011876946005	0.0154496035	20
SOX28	-0.012904836455	-0.00729060635	20
STAT1	-4.38268187	-4.60523985	20
TRIM20	0.017976934725	0.0227443075	20
TRIM23	0.001952236945	-0.00744854705	20
TRIM33	0.00546428783	0.0085239075	20
TRIM5	-0.001773077615	-0.00986210415	20
ZNF101	-0.005975340099	0.00121637251	20
ZNF115	0.002332741825	0.00330347675	20
ZNF122	0.0155206949103	0.0072873808	20
ZNF159	-0.00977026752	0.0027852339	20
ZNF20	0.010472559225	0.012617507	20
ZNF205	0.015587361065	0.014716397	20
ZNF209	0.007142154205	0.0037618547	20
ZNF264	-0.0065379949805	0.000133100345	20
ZNF271	-0.008420735325	0.007363294	20
ZNF315	-0.003910398305	0.005754509	20
ZNF324	0.01611128874	0.0076257279	20
ZNF326	-0.008064565	-0.011702863	20
ZNF329	-0.0010911892	0.016728731	20
ZNF359	-0.00851520365	-0.001195866	20
ZNF361	0.006808498118	0.0182811555	20
ZNF90	0.033398710655	0.033394689	20
