gene	log2_fold_change	p_value	fdr
MTATP6P1	1.41781808559931	1.67834547213002e-07	0.00023983556796737984
CDKL5	0.846996819787717	1.72562246727683e-06	0.001232957252869295
UFD1	-0.806141675834671	3.51284151360004e-06	0.00139850336167149
MS4A4E	0.793084434951365	3.91463502217352e-06	0.00139850336167149
MTND1P23	-3.30965407450686	5.59668971525332e-06	0.0015995339206193986
FOSB	1.06973447921749	8.96113032567867e-06	0.0020419810272229097
CLTA	-0.648679795778775	1.00027062215258e-05	0.0020419810272229097
TSGA10	0.584157725262159	9.26514980503006e-05	0.01467708496450631
BLOC1S1	-0.694132619673327	9.51257705988323e-05	0.01467708496450631
ACTG1	-0.75322518395485	0.0001097857923263	0.01467708496450631
IFI16	-0.699839154125348	0.0001129796603286	0.01467708496450631
H1-2	-1.76672991777464	0.0001288514582927	0.01534406115835569
DNAJC21	-0.664387095789338	0.0001445333973594	0.015887555755890966
KDM6B	0.715899199060324	0.0001794998809626	0.01737678740586564
SIRT2	0.522762063643131	0.0001824015472974	0.01737678740586564
ZNHIT1	-0.669543266463972	0.0002137690238749	0.019092245944827006
P2RX7	0.617221051506542	0.0002346493566232	0.019724348859679577
MT-ND4L	0.695250026177893	0.0002823272542902	0.022413647021149764
PFN1	-0.610878631631376	0.0003324499892418	0.025003738664554326
GAPDH	-0.607821204209622	0.0003616411030966	0.02583925681625207
FXR2	0.585746320141725	0.0004275034294135	0.027430150939489972
MAP3K11	0.506283420640982	0.0004587328059523	0.027430150939489972
FGFR1OP2	-0.635280314236472	0.0004842478180997	0.027430150939489972
PRR11	0.540635998886285	0.0004845930050969	0.027430150939489972
S100A4	-0.84792403530965	0.000494333288414	0.027430150939489972
TSPAN10	0.605059903069352	0.0004990790233917	0.027430150939489972
NR4A2	0.896378354811548	0.0005214008932579	0.02759562505427923
NDUFA13	-0.66753589862385	0.0006087404623888	0.027942737228309023
TMEM212	0.530108760877317	0.0006130211910189	0.027942737228309023
CERCAM	0.545310345973359	0.0006170937718879	0.027942737228309023
TXNL1	-0.584913625642753	0.0006469449504611	0.027942737228309023
MTND2P28	0.680492542133671	0.0006482112811697	0.027942737228309023
TXN	-0.62178713100724	0.0006590394357291	0.027942737228309023
CD63	-0.64468812252925	0.0006747074449214	0.027942737228309023
COX6A1	-0.563067464822974	0.0006843917445702	0.027942737228309023
OPHN1	0.554011905809578	0.0007317564296385	0.028478971770489685
PRELID1	-0.575977869503432	0.0007373841536096	0.028478971770489685
POMP	-0.607858722026417	0.0007654920561573	0.0287865302170732
PTPN6	-0.553850062767967	0.0008190882808584	0.030012234701196246
SHKBP1	-0.517299452093034	0.0009941151594481	0.034818555317391184
HBA1	-1.83760702015351	0.0009989928397572	0.034818555317391184
CHMP5	-0.595683161608484	0.0011057106291423	0.03762048783438921
THOC5	0.469214965251871	0.0011528066361363	0.03773151827633353
GABRD	0.479396093937119	0.0011617822282426	0.03773151827633353
DYNLRB1	-0.551380895022805	0.0013355391775401	0.04241078854899562
RBX1	-0.596195329871951	0.0014260020165095	0.04260804102423365
SERF2	-0.544361915611336	0.0014719674332494	0.04260804102423365
TAF2	0.502286243357992	0.0014754895487054	0.04260804102423365
ATP5MF	-0.56531190072063	0.0014757631809789	0.04260804102423365
CFL1	-0.508234058802702	0.0014908341855925	0.04260804102423365
ZFP36	0.624378743853861	0.0016050565844663	0.044973056062791034
MED12	0.458100883790623	0.0018724228485247	0.05145562020272686
COX8A	-0.496752830905341	0.0019792189558248	0.0527574208165408
EMP3	-0.594179592656857	0.0019936324171401	0.0527574208165408
MLLT6-1	0.481383023337979	0.0021124337551821	0.05488486974827674
TNFAIP3	0.862458379094501	0.0022454292269562	0.05515467573475378
TMEM59	-0.486074302025369	0.0022532894801781	0.05515467573475378
