cell_type	best_z_column	best_z_score	best_rank_column	best_rank_score
cortex	cortex	2.418972	cortex	8.954545
endodermis	endodermis	2.663056	endodermis	9.000000
epidermis	epidermis	1.909001	epidermis	8.400000
meristems	meristems	0.800408	epidermis	6.563107
pericycle	pericycle	2.746457	pericycle	8.964286
phloem	phloem	2.976996	phloem	9.000000
provascular	provascular	2.209536	provascular	9.000000
root_cap	root_cap	2.329616	root_cap	8.883333
root_hair	root_hair	2.794319	root_hair	8.987654
xylem	xylem	2.664674	xylem	8.985714
