kind	column_a	column_b	total_marker_zscore
original			23.513036
swap	epidermis	meristems	21.170149
swap	meristems	provascular	20.237980
swap	meristems	root_hair	20.017272
swap	cortex	meristems	19.858261
swap	meristems	pericycle	19.685412
swap	meristems	phloem	19.433305
swap	epidermis	root_hair	19.314690
swap	endodermis	meristems	19.106295
swap	epidermis	root_cap	19.052179
swap	meristems	root_cap	19.014081
swap	provascular	xylem	18.832306
swap	meristems	xylem	18.786925
swap	root_cap	xylem	18.722108
swap	cortex	epidermis	18.713939
swap	cortex	root_cap	18.605756
swap	endodermis	provascular	18.498173
swap	pericycle	provascular	18.478406
swap	cortex	root_hair	18.345521
swap	cortex	endodermis	18.300172
swap	epidermis	provascular	18.214139
swap	epidermis	xylem	18.202162
swap	root_cap	root_hair	18.104724
swap	endodermis	epidermis	18.095389
swap	epidermis	phloem	18.033091
swap	endodermis	root_cap	17.975211
swap	provascular	root_cap	17.975154
swap	cortex	xylem	17.879419
swap	epidermis	pericycle	17.846853
swap	endodermis	xylem	17.813243
swap	pericycle	root_cap	17.812144
swap	cortex	provascular	17.790043
swap	pericycle	xylem	17.663739
swap	phloem	provascular	17.600225
swap	phloem	root_cap	17.515762
swap	cortex	pericycle	17.469625
swap	pericycle	phloem	17.404756
swap	endodermis	root_hair	17.402158
swap	endodermis	pericycle	17.375691
swap	provascular	root_hair	17.374658
swap	pericycle	root_hair	17.370864
swap	root_hair	xylem	17.340347
swap	cortex	phloem	17.317179
swap	phloem	xylem	17.139014
swap	phloem	root_hair	17.087160
swap	endodermis	phloem	16.980571
