column	cell_type	n_overlap	mean_zscore	mean_rank	top1_frac
cortex	cortex	22	2.418972	8.954545	0.954545
endodermis	cortex	22	-0.029213	4.727273	0.000000
epidermis	cortex	22	-0.246600	4.636364	0.000000
meristems	cortex	22	-0.237811	4.863636	0.000000
pericycle	cortex	22	-0.565134	2.909091	0.000000
phloem	cortex	22	-0.464060	2.636364	0.000000
provascular	cortex	22	-0.854101	0.954545	0.000000
root_cap	cortex	22	-0.218940	3.636364	0.000000
root_hair	cortex	22	0.376638	6.545455	0.045455
xylem	cortex	22	-0.179751	5.136364	0.000000
cortex	endodermis	39	-0.101622	5.358974	0.000000
endodermis	endodermis	39	2.663056	9.000000	1.000000
epidermis	endodermis	39	-0.418169	3.282051	0.000000
meristems	endodermis	39	-0.434879	4.461538	0.000000
pericycle	endodermis	39	-0.353669	4.333333	0.000000
phloem	endodermis	39	-0.546184	1.846154	0.000000
provascular	endodermis	39	-0.177146	3.692308	0.000000
root_cap	endodermis	39	-0.240243	3.820513	0.000000
root_hair	endodermis	39	-0.229253	4.615385	0.000000
xylem	endodermis	39	-0.161891	4.589744	0.000000
cortex	epidermis	65	-0.224523	4.323077	0.000000
endodermis	epidermis	65	-0.427420	3.430769	0.000000
epidermis	epidermis	65	1.909001	8.400000	0.646154
meristems	epidermis	65	-0.061581	3.646154	0.169231
pericycle	epidermis	65	-0.570229	2.938462	0.000000
phloem	epidermis	65	-0.253760	4.723077	0.015385
provascular	epidermis	65	-0.392658	2.430769	0.046154
root_cap	epidermis	65	-0.082758	5.123077	0.000000
root_hair	epidermis	65	0.379540	5.538462	0.123077
xylem	epidermis	65	-0.275612	4.446154	0.000000
cortex	meristems	103	-0.197584	3.951456	0.067961
endodermis	meristems	103	-0.508397	2.679612	0.000000
epidermis	meristems	103	0.428103	6.563107	0.067961
meristems	meristems	103	0.800408	6.339806	0.300971
pericycle	meristems	103	0.206016	5.271845	0.087379
phloem	meristems	103	0.058020	4.718447	0.116505
provascular	meristems	103	-0.023243	4.563107	0.077670
root_cap	meristems	103	-0.757123	2.359223	0.000000
root_hair	meristems	103	0.641162	5.980583	0.271845
xylem	meristems	103	-0.647361	2.572816	0.009709
cortex	pericycle	56	-0.312848	3.678571	0.000000
endodermis	pericycle	56	-0.374163	3.678571	0.000000
epidermis	pericycle	56	-0.440496	2.910714	0.000000
meristems	pericycle	56	-0.486774	3.589286	0.000000
pericycle	pericycle	56	2.746457	8.964286	0.964286
phloem	pericycle	56	-0.089706	5.428571	0.035714
provascular	pericycle	56	-0.216043	4.357143	0.000000
root_cap	pericycle	56	-0.341698	2.964286	0.000000
root_hair	pericycle	56	-0.271180	5.107143	0.000000
xylem	pericycle	56	-0.213550	4.321429	0.000000
cortex	phloem	107	-0.335829	3.728972	0.000000
endodermis	phloem	107	-0.346228	2.523364	0.000000
epidermis	phloem	107	-0.340187	3.663551	0.000000
meristems	phloem	107	-0.360347	3.785047	0.000000
pericycle	phloem	107	-0.295120	4.785047	0.000000
phloem	phloem	107	2.976996	9.000000	1.000000
provascular	phloem	107	-0.355976	4.373832	0.000000
root_cap	phloem	107	-0.322296	3.803738	0.000000
root_hair	phloem	107	-0.315034	4.271028	0.000000
xylem	phloem	107	-0.305980	5.065421	0.000000
cortex	provascular	15	-0.240382	4.200000	0.000000
endodermis	provascular	15	0.034876	4.866667	0.000000
epidermis	provascular	15	-0.787701	1.666667	0.000000
meristems	provascular	15	-0.241868	4.400000	0.000000
pericycle	provascular	15	0.137406	5.733333	0.000000
phloem	provascular	15	-0.370302	3.333333	0.000000
provascular	provascular	15	2.209536	9.000000	1.000000
root_cap	provascular	15	-0.310258	4.066667	0.000000
root_hair	provascular	15	-0.715843	2.200000	0.000000
xylem	provascular	15	0.284536	5.533333	0.000000
cortex	root_cap	180	0.060248	5.422222	0.005556
endodermis	root_cap	180	-0.304909	3.800000	0.000000
epidermis	root_cap	180	-0.139482	4.688889	0.016667
meristems	root_cap	180	-0.611808	2.783333	0.000000
pericycle	root_cap	180	-0.283121	4.016667	0.022222
phloem	root_cap	180	-0.368366	3.172222	0.027778
provascular	root_cap	180	-0.688471	2.044444	0.000000
root_cap	root_cap	180	2.329616	8.883333	0.894444
root_hair	root_cap	180	-0.055625	4.905556	0.022222
xylem	root_cap	180	0.061917	5.283333	0.011111
cortex	root_hair	81	-0.330862	3.987654	0.000000
endodermis	root_hair	81	-0.424250	3.111111	0.000000
epidermis	root_hair	81	0.125434	7.271605	0.000000
meristems	root_hair	81	-0.542199	2.074074	0.000000
pericycle	root_hair	81	-0.330216	4.629630	0.000000
phloem	root_hair	81	-0.339527	3.567901	0.012346
provascular	root_hair	81	-0.418680	2.222222	0.000000
root_cap	root_hair	81	-0.228753	5.555556	0.000000
root_hair	root_hair	81	2.794319	8.987654	0.987654
xylem	root_hair	81	-0.305265	3.592593	0.000000
cortex	xylem	70	-0.370220	3.257143	0.000000
endodermis	xylem	70	-0.210172	4.228571	0.000000
epidermis	xylem	70	-0.461586	3.742857	0.000000
meristems	xylem	70	-0.613668	2.714286	0.000000
pericycle	xylem	70	-0.224615	4.342857	0.000000
phloem	xylem	70	-0.426372	2.614286	0.014286
provascular	xylem	70	-0.091055	5.157143	0.000000
root_cap	xylem	70	0.141444	6.442857	0.000000
root_hair	xylem	70	-0.408431	3.514286	0.000000
xylem	xylem	70	2.664674	8.985714	0.985714
