mode	upstream	downstream	filter	corr_type	n_genes	genes_with_bins	row_argmax	greedy	corr_matrix_rows_semicolon_sep
promoter	2000	2000	all_nonconstant	spearman	28948	20372	5;5;5;0;0;0;3;6	4;1;5;0;6;3;7;2	0.664059,0.669839,0.590914,0.643394,0.647114,0.675541,0.646612,0.595736;0.669355,0.675833,0.600177,0.652865,0.653735,0.677549,0.656188,0.605669;0.681899,0.683158,0.622760,0.670357,0.681093,0.685774,0.668178,0.625959;0.677260,0.665700,0.606393,0.658322,0.651824,0.670643,0.655686,0.613929;0.665125,0.661956,0.611238,0.659395,0.644234,0.664114,0.663596,0.620423;0.667876,0.657869,0.611295,0.666364,0.645507,0.660441,0.659049,0.625121;0.656406,0.647581,0.632727,0.661616,0.639082,0.650924,0.657030,0.648461;0.628363,0.620370,0.625745,0.625733,0.607805,0.625851,0.629213,0.620776
promoter	2000	2000	all_nonconstant	logpearson	28948	20372	5;5;5;5;5;5;5;5	4;5;1;6;0;3;7;2	0.617469,0.626908,0.559293,0.596457,0.606582,0.640029,0.599182,0.556967;0.624125,0.634119,0.566209,0.605339,0.613514,0.643391,0.608212,0.564860;0.623779,0.628507,0.572441,0.609401,0.624686,0.638077,0.607269,0.570084;0.617257,0.611407,0.556946,0.596444,0.597891,0.623268,0.594332,0.557519;0.618955,0.619967,0.571251,0.608464,0.603729,0.628922,0.611686,0.572191;0.610983,0.605612,0.563092,0.604457,0.594290,0.614615,0.598807,0.567762;0.592608,0.587937,0.568936,0.592866,0.580117,0.596550,0.588480,0.575472;0.593423,0.589384,0.586500,0.588414,0.578251,0.599710,0.590429,0.576979
promoter	2000	2000	protein_coding	spearman	17499	20372	5;5;5;0;0;0;3;0	5;1;4;0;6;3;7;2	0.586078,0.596883,0.419794,0.538167,0.544005,0.607780,0.545255,0.430230;0.581136,0.593918,0.417422,0.539918,0.539834,0.596102,0.547505,0.429949;0.583440,0.583300,0.438123,0.553639,0.575898,0.587967,0.547494,0.445990;0.600454,0.571095,0.429158,0.553970,0.535463,0.581036,0.547455,0.447855;0.574523,0.565081,0.439096,0.555646,0.520300,0.568902,0.564362,0.459185;0.575273,0.549482,0.437030,0.567444,0.516854,0.554498,0.550286,0.469123;0.540754,0.517802,0.468895,0.547494,0.492392,0.524217,0.534852,0.505794;0.514690,0.492979,0.482851,0.502002,0.456968,0.503493,0.508407,0.473177
promoter	2000	2000	protein_coding	logpearson	17499	20372	5;5;5;0;0;0;3;0	5;1;4;0;6;3;7;2	0.539805,0.551513,0.395371,0.496271,0.505144,0.564248,0.500745,0.401095;0.541269,0.554968,0.395430,0.502401,0.507021,0.559922,0.507469,0.403205;0.539941,0.541702,0.411823,0.512608,0.534417,0.548257,0.504786,0.417322;0.545833,0.522986,0.397354,0.503700,0.491863,0.534788,0.496245,0.410948;0.532715,0.526171,0.412121,0.514023,0.487607,0.532336,0.520042,0.426594;0.525779,0.505056,0.405589,0.517314,0.478044,0.512091,0.501261,0.430488;0.489694,0.472025,0.427685,0.496364,0.452680,0.480289,0.483555,0.458313;0.482582,0.467057,0.459168,0.474795,0.438235,0.479690,0.478643,0.449021
promoter	2000	2000	top2000	spearman	2000	20372	5;5;4;0;0;3;7;2	5;1;4;0;6;3;7;2	0.228555,0.274003,0.115888,0.158668,0.230635,0.292274,0.187825,0.071828;0.210104,0.253123,0.094929,0.150463,0.204744,0.253158,0.178543,0.056555;0.203570,0.205354,0.114764,0.161671,0.267258,0.217364,0.156644,0.075521;0.229530,0.161397,0.097926,0.159060,0.156525,0.179457,0.139668,0.079181;0.205987,0.187781,0.125915,0.186095,0.152460,0.191897,0.196061,0.113129;0.180521,0.109096,0.118595,0.203203,0.105429,0.112485,0.143521,0.142858;0.113142,0.035328,0.173578,0.167768,0.035079,0.043692,0.102528,0.210448;0.114955,0.047559,0.225742,0.121483,0.020426,0.064008,0.105199,0.168088
promoter	2000	2000	top2000	logpearson	2000	20372	5;5;4;0;5;0;7;2	5;1;4;0;6;3;7;2	0.302411,0.359254,0.137452,0.198873,0.287627,0.386610,0.236900,0.099109;0.281081,0.332849,0.112810,0.192006,0.267331,0.343255,0.223211,0.081968;0.266967,0.288019,0.123720,0.192239,0.311614,0.302551,0.195278,0.097335;0.267243,0.227476,0.105311,0.177337,0.206490,0.251226,0.172235,0.096465;0.219552,0.212972,0.114629,0.181552,0.166304,0.224725,0.202113,0.109832;0.176050,0.130739,0.096501,0.173514,0.116324,0.139383,0.141827,0.118550;0.083475,0.029362,0.135783,0.122672,0.025556,0.042325,0.085846,0.166363;0.097947,0.054647,0.206272,0.100575,0.029932,0.075664,0.097433,0.156528
promoter	2000	2000	top5000	spearman	5000	20372	5;5;4;0;6;3;7;2	5;1;4;0;6;3;7;2	0.233786,0.281458,0.127016,0.170735,0.235748,0.299213,0.198784,0.092611;0.222097,0.271665,0.114438,0.168204,0.221763,0.272265,0.195652,0.083958;0.230077,0.244125,0.152270,0.196551,0.292382,0.255660,0.194431,0.115684;0.253973,0.200746,0.123871,0.189100,0.192743,0.219374,0.179752,0.113571;0.230456,0.225377,0.152233,0.214024,0.191087,0.230239,0.230774,0.144960;0.219396,0.168595,0.153668,0.233833,0.162303,0.176327,0.195056,0.173674;0.165832,0.116893,0.214504,0.208609,0.115435,0.128885,0.170345,0.247713;0.141741,0.096090,0.231288,0.136796,0.069452,0.113744,0.139317,0.179326
promoter	2000	2000	top5000	logpearson	5000	20372	5;5;4;0;5;3;7;2	5;1;4;0;6;3;7;2	0.303957,0.354654,0.167908,0.230434,0.296278,0.377001,0.250620,0.146068;0.283936,0.333473,0.143824,0.219889,0.276903,0.340364,0.238318,0.127686;0.284589,0.307400,0.170878,0.238878,0.327933,0.318544,0.230930,0.153606;0.291577,0.261088,0.149362,0.223813,0.241456,0.281412,0.214781,0.146793;0.251327,0.248762,0.159867,0.227827,0.209636,0.258026,0.241104,0.160959;0.229752,0.195074,0.153788,0.233105,0.183602,0.204394,0.204005,0.174919;0.151781,0.114220,0.189447,0.188639,0.113923,0.127514,0.159741,0.217289;0.139684,0.106662,0.231040,0.142684,0.089365,0.125886,0.144669,0.188369
promoter	5000	1000	all_nonconstant	spearman	28948	20379	5;5;5;0;0;0;3;6	4;1;5;0;6;3;7;2	0.659998,0.665072,0.586554,0.638415,0.641543,0.671341,0.642597,0.591645;0.665614,0.671557,0.595969,0.648270,0.648494,0.673708,0.652571,0.601812;0.679487,0.680028,0.620202,0.667277,0.677582,0.683007,0.665761,0.623617;0.673651,0.660787,0.601792,0.653470,0.646151,0.666355,0.651594,0.609669;0.661342,0.657039,0.606746,0.654941,0.638739,0.659669,0.659923,0.616753;0.664371,0.653090,0.606979,0.662212,0.640161,0.656238,0.655445,0.621688;0.652458,0.642542,0.628613,0.657369,0.634032,0.646397,0.653239,0.645580;0.623456,0.613835,0.620348,0.619780,0.601161,0.619989,0.623951,0.616174
promoter	5000	1000	all_nonconstant	logpearson	28948	20379	5;5;5;5;5;5;5;5	4;5;1;6;0;3;7;2	0.610562,0.619816,0.553659,0.589558,0.600061,0.633751,0.592561,0.551350;0.617529,0.627344,0.560855,0.598657,0.607149,0.637459,0.601946,0.559459;0.618023,0.622805,0.568064,0.603581,0.619096,0.633221,0.601933,0.565542;0.610514,0.604559,0.551310,0.589543,0.591371,0.617235,0.587768,0.551802;0.612846,0.613701,0.565947,0.602168,0.597921,0.623397,0.605700,0.566896;0.605105,0.599700,0.558046,0.598366,0.588752,0.609456,0.593132,0.562701;0.586961,0.582338,0.563902,0.587023,0.575049,0.591641,0.582979,0.570536;0.586652,0.582254,0.579826,0.581194,0.571804,0.593231,0.583372,0.570569
