mode	upstream	downstream	filter	measure	n_genes	genes_with_bins	row_argmax	greedy	corr_matrix_rows_semicolon_sep
promoter	2000	0	all_nonconstant	row_z_pearson	20292	20371	1;1;4;0;6;3;7;2	5;1;4;0;6;3;7;2	0.009517,0.240315,-0.151068,-0.158220,0.051825,0.232397,-0.077944,-0.172792;0.015997,0.398960,-0.222128,-0.181178,0.054426,0.243587,-0.016140,-0.252478;-0.052030,0.025298,-0.059544,-0.042628,0.389237,-0.002977,-0.130378,-0.128236;0.210749,0.058139,-0.169326,-0.016555,0.019776,0.158296,-0.058204,-0.179455;-0.000803,0.036996,-0.073902,0.049930,-0.074906,-0.017675,0.267460,-0.061313;0.056807,-0.135024,-0.079306,0.336394,-0.042789,-0.105920,0.056858,0.043743;-0.119058,-0.259202,0.178377,0.131573,-0.100867,-0.235289,-0.007799,0.358254;-0.056279,-0.204960,0.338910,-0.058151,-0.215606,-0.157527,0.020031,0.211560
promoter	2000	0	all_nonconstant	row_rank_pearson	20292	20371	5;1;4;0;6;3;7;2	5;1;4;0;6;3;7;2	0.032264,0.245930,-0.158227,-0.181519,0.068486,0.246045,-0.081652,-0.198435;0.027042,0.356567,-0.215912,-0.191766,0.074554,0.250477,-0.026697,-0.263439;-0.031547,0.059198,-0.076686,-0.049885,0.341236,0.037043,-0.134970,-0.135690;0.189723,0.060961,-0.153429,-0.044660,0.048631,0.153367,-0.081522,-0.169651;-0.022035,-0.002887,-0.026101,0.055972,-0.118931,-0.038461,0.224824,-0.008785;0.056775,-0.153230,-0.043402,0.306921,-0.070155,-0.157763,0.045305,0.096020;-0.133923,-0.292942,0.247777,0.153126,-0.120561,-0.280247,0.031541,0.363626;-0.075834,-0.192393,0.305934,-0.026065,-0.194357,-0.153204,0.048301,0.218892
promoter	2000	0	all_nonconstant	row_log_z_pearson	20292	20371	1;1;4;0;6;3;7;2	5;1;4;0;6;3;7;2	0.021933,0.260702,-0.159364,-0.174996,0.060093,0.237003,-0.086302,-0.184219;0.023538,0.412590,-0.237777,-0.199322,0.073756,0.267938,-0.024028,-0.278812;-0.038101,0.051406,-0.074081,-0.043204,0.387363,0.009583,-0.136575,-0.140035;0.222282,0.067607,-0.175570,-0.027695,0.031918,0.164093,-0.074710,-0.193024;-0.006476,0.043370,-0.079283,0.053655,-0.082136,-0.006050,0.267687,-0.067146;0.061585,-0.135699,-0.087797,0.342216,-0.047922,-0.105305,0.062851,0.040056;-0.137217,-0.283865,0.208541,0.142439,-0.109595,-0.253615,0.006925,0.369395;-0.066865,-0.220639,0.341199,-0.050332,-0.219667,-0.167467,0.030005,0.232316
promoter	2000	0	protein_coding	row_z_pearson	17452	20371	1;1;4;0;6;3;7;2	5;1;4;0;6;3;7;2	0.014723,0.241915,-0.154607,-0.157658,0.053237,0.227929,-0.080575,-0.167556;0.023608,0.409979,-0.229084,-0.184329,0.051227,0.247168,-0.012069,-0.256354;-0.047114,0.023386,-0.061732,-0.039906,0.404405,-0.017079,-0.139275,-0.127712;0.222984,0.065730,-0.180226,-0.017194,0.015784,0.165367,-0.050970,-0.186042;-0.008207,0.039655,-0.067849,0.043915,-0.083066,-0.011905,0.278785,-0.061831;0.057737,-0.143014,-0.077720,0.344386,-0.046246,-0.106917,0.055678,0.050807;-0.132588,-0.262153,0.184305,0.133683,-0.094106,-0.230573,-0.013727,0.351432;-0.060418,-0.213152,0.346097,-0.057224,-0.227327,-0.159362,0.025769,0.216552
promoter	2000	0	protein_coding	row_rank_pearson	17452	20371	1;1;4;0;6;3;7;2	5;1;4;0;6;3;7;2	0.032446,0.247496,-0.156777,-0.180954,0.070847,0.245525,-0.082609,-0.196667;0.032338,0.363234,-0.218913,-0.193180,0.070209,0.254000,-0.020988,-0.266422;-0.023701,0.055140,-0.078291,-0.044901,0.356382,0.022854,-0.145103,-0.132457;0.203303,0.068206,-0.164966,-0.042957,0.046514,0.155950,-0.078620,-0.173509;-0.026664,-0.005106,-0.019873,0.049295,-0.125850,-0.036326,0.233215,-0.006913;0.052202,-0.160459,-0.041660,0.312129,-0.071028,-0.158251,0.041807,0.102349;-0.147527,-0.291747,0.251624,0.149154,-0.114922,-0.270983,0.023573,0.355602;-0.077965,-0.196955,0.308802,-0.024425,-0.206137,-0.156864,0.057573,0.222339
promoter	2000	0	protein_coding	row_log_z_pearson	17452	20371	1;1;4;0;6;3;7;2	5;1;4;0;6;3;7;2	0.026216,0.263514,-0.162253,-0.175936,0.062216,0.233967,-0.088172,-0.180096;0.032449,0.424547,-0.245567,-0.203085,0.070746,0.271294,-0.018731,-0.282861;-0.031873,0.049815,-0.076456,-0.039821,0.402946,-0.004593,-0.146031,-0.139184;0.237491,0.074820,-0.187622,-0.028887,0.028564,0.171543,-0.069232,-0.200513;-0.012773,0.045850,-0.073390,0.048127,-0.091088,-0.002203,0.281037,-0.067895;0.062951,-0.144370,-0.086984,0.352613,-0.052552,-0.107780,0.061923,0.046954;-0.152436,-0.286473,0.214696,0.143051,-0.102590,-0.247736,0.000133,0.362733;-0.072917,-0.228249,0.348416,-0.049933,-0.231168,-0.168231,0.035319,0.237424
promoter	2000	0	top2000	row_z_pearson	1944	20371	1;1;4;0;6;3;7;2	5;1;4;0;6;3;7;2	0.016652,0.289475,-0.179803,-0.203455,0.122154,0.191044,-0.026143,-0.183068;0.021597,0.441335,-0.243695,-0.202046,0.121162,0.176702,0.052790,-0.258970;-0.032999,0.052515,-0.142317,-0.093778,0.500948,-0.015398,-0.134194,-0.162479;0.278423,0.013372,-0.137718,-0.036384,0.026606,0.170444,-0.103535,-0.188612;-0.000903,0.070511,-0.098631,0.029070,-0.081076,0.019207,0.301215,-0.090326;0.003593,-0.223026,-0.027384,0.363502,-0.100706,-0.119389,0.040806,0.136076;-0.160107,-0.328090,0.247810,0.231757,-0.223170,-0.238964,-0.036988,0.409345;-0.063745,-0.224506,0.372317,-0.002045,-0.300941,-0.132362,0.025237,0.208003
promoter	2000	0	top2000	row_rank_pearson	1944	20371	1;1;4;0;6;3;7;2	5;1;4;0;6;3;7;2	0.033904,0.294407,-0.193313,-0.230312,0.189414,0.249700,-0.032438,-0.254499;0.039282,0.364638,-0.241006,-0.208958,0.172758,0.203418,0.041533,-0.275300;0.000540,0.128929,-0.178312,-0.106972,0.431044,0.074034,-0.116730,-0.198568;0.243962,0.045586,-0.135745,-0.039417,0.066254,0.144493,-0.127376,-0.162697;-0.020711,-0.003197,-0.023267,0.036019,-0.136029,-0.056910,0.253584,0.009808;0.020602,-0.224843,0.011141,0.340528,-0.145317,-0.207397,0.013810,0.198310;-0.158077,-0.321517,0.276225,0.207530,-0.245693,-0.250350,-0.021735,0.393219;-0.100028,-0.235706,0.359754,0.044856,-0.301802,-0.149710,0.049139,0.225335
promoter	2000	0	top2000	row_log_z_pearson	1944	20371	1;1;4;0;6;3;7;2	5;1;4;0;6;3;7;2	0.022325,0.337279,-0.207451,-0.226606,0.159600,0.228672,-0.028072,-0.229664;0.035794,0.456720,-0.278046,-0.218018,0.183214,0.206174,0.040228,-0.295426;-0.000633,0.128420,-0.186084,-0.101335,0.496107,0.031777,-0.142760,-0.199714;0.300194,0.033062,-0.170128,-0.037054,0.068855,0.167590,-0.121023,-0.204939;-0.002525,0.055315,-0.101123,0.053488,-0.097985,-0.032036,0.339581,-0.055940;0.023807,-0.250589,-0.030743,0.394704,-0.120102,-0.181082,0.048312,0.180819;-0.181130,-0.357238,0.274192,0.226346,-0.240647,-0.239743,-0.032914,0.415113;-0.089372,-0.252312,0.402107,-0.008582,-0.318440,-0.129084,0.023269,0.216709
promoter	2000	0	top5000	row_z_pearson	4858	20371	1;1;4;0;6;3;7;2	5;1;4;0;6;3;7;2	0.005323,0.273459,-0.152712,-0.162883,0.097999,0.175418,-0.057597,-0.156681;0.024907,0.430316,-0.222193,-0.183991,0.088626,0.168971,0.011601,-0.221876;-0.042396,0.042100,-0.102649,-0.057012,0.471329,-0.018042,-0.160125,-0.160926;0.254469,0.023292,-0.174675,-0.011469,0.022274,0.165884,-0.051886,-0.178649;0.011685,0.050102,-0.073005,0.052108,-0.098404,-0.034098,0.272798,-0.045724;0.021611,-0.211124,-0.040167,0.351951,-0.069203,-0.120548,0.050645,0.103346;-0.167314,-0.310160,0.230162,0.165775,-0.162487,-0.209120,-0.021655,0.369508;-0.049840,-0.191896,0.328636,-0.056144,-0.272510,-0.097592,0.044288,0.173734
