record	representation	metric	features	target	nearest	nearest_score	runner_up	runner_up_score	hungarian
method	mean_cell_log	pearson	250	PABPC1	guide18	0.643651770764135	guide5	0.34414139804704086	guide18
method	mean_cell_log	pearson	250	NUDT21	guide13	0.722448622081737	guide19	0.6398919027794673	guide13
method	mean_cell_log	pearson	250	LEO1	guide14	0.404889151338641	guide18	0.13549573392843228	guide10
method	mean_cell_log	gene_scaled_pearson	250	PABPC1	guide18	0.58488585103964	guide5	0.20007804727825018	guide18
method	mean_cell_log	gene_scaled_pearson	250	NUDT21	guide13	0.6879461585838866	guide19	0.5998660961017338	guide13
method	mean_cell_log	gene_scaled_pearson	250	LEO1	guide1	0.6399916586577544	guide11	0.6286211355860629	guide8
method	mean_cell_log	spearman	250	PABPC1	guide18	0.6302673642778287	guide5	0.31847434358949744	guide18
method	mean_cell_log	spearman	250	NUDT21	guide13	0.6643256372101953	guide19	0.6117905246483942	guide13
method	mean_cell_log	spearman	250	LEO1	guide14	0.39720174722795576	guide20	0.1545490327845247	guide10
method	mean_cell_log	pearson	500	PABPC1	guide18	0.6269559224867586	guide5	0.23968761629930171	guide18
method	mean_cell_log	pearson	500	NUDT21	guide13	0.7130380688255555	guide19	0.6148757985583182	guide13
method	mean_cell_log	pearson	500	LEO1	guide14	0.3620321368470082	guide20	0.14557700200298385	guide14
method	mean_cell_log	gene_scaled_pearson	500	PABPC1	guide18	0.637028057480699	guide15	0.24861688193313883	guide18
method	mean_cell_log	gene_scaled_pearson	500	NUDT21	guide13	0.6783706692772591	guide19	0.5735143829527909	guide13
method	mean_cell_log	gene_scaled_pearson	500	LEO1	guide11	0.5792427354038143	guide1	0.5330539897292049	guide15
method	mean_cell_log	spearman	500	PABPC1	guide18	0.595731438925756	guide15	0.21638620954483834	guide18
method	mean_cell_log	spearman	500	NUDT21	guide13	0.633515750063	guide19	0.5581169524678098	guide13
method	mean_cell_log	spearman	500	LEO1	guide14	0.36597035988143944	guide20	0.17874301897207587	guide10
method	mean_cell_log	pearson	1000	PABPC1	guide18	0.6046239025093464	guide16	0.22636056992693787	guide18
method	mean_cell_log	pearson	1000	NUDT21	guide13	0.708731086784625	guide19	0.6050988534309834	guide13
method	mean_cell_log	pearson	1000	LEO1	guide14	0.3223907113735908	guide20	0.1487603924504881	guide14
