section	target	reference_guide	feature_count	query_guide	rank	score	global_assignment
cross_signature	PABPC1	PABPC1-I1	250	guide18	1	0.6238481408267145	guide18
cross_signature	PABPC1	PABPC1-I1	250	guide5	2	0.3300626454876363	
cross_signature	PABPC1	PABPC1-I1	250	guide16	3	0.3082444223263252	
cross_signature	PABPC1	PABPC1-I1	250	guide17	4	0.2803104981666425	
cross_signature	PABPC1	PABPC1-I1	250	guide4	5	0.26898934572671807	
cross_signature	NUDT21	NUDT21-I3	250	guide13	1	0.7415390060857202	guide13
cross_signature	NUDT21	NUDT21-I3	250	guide19	2	0.6479760140774553	
cross_signature	NUDT21	NUDT21-I3	250	guide27	3	0.4635841486939682	
cross_signature	NUDT21	NUDT21-I3	250	guide12	4	0.43526480509762455	
cross_signature	NUDT21	NUDT21-I3	250	guide16	5	0.3985785731620464	
cross_signature	LEO1	LEO1-I2	250	guide14	1	0.4138246570516507	guide10
cross_signature	LEO1	LEO1-I2	250	guide12	2	0.158001867223702	
cross_signature	LEO1	LEO1-I2	250	guide8	3	0.14998432900146128	
cross_signature	LEO1	LEO1-I2	250	guide28	4	0.14265548131834285	
cross_signature	LEO1	LEO1-I2	250	guide18	5	0.14050335818041995	
cross_signature	PABPC1	PABPC1-I1	500	guide18	1	0.6243074184056719	guide18
cross_signature	PABPC1	PABPC1-I1	500	guide16	2	0.2499619208687607	
cross_signature	PABPC1	PABPC1-I1	500	guide5	3	0.24141834340312188	
cross_signature	PABPC1	PABPC1-I1	500	guide15	4	0.20546630105553126	
cross_signature	PABPC1	PABPC1-I1	500	guide12	5	0.19837428775751864	
cross_signature	NUDT21	NUDT21-I3	500	guide13	1	0.7251669074663373	guide13
cross_signature	NUDT21	NUDT21-I3	500	guide19	2	0.624875194387857	
cross_signature	NUDT21	NUDT21-I3	500	guide27	3	0.43386712481998485	
cross_signature	NUDT21	NUDT21-I3	500	guide12	4	0.41396011327141535	
cross_signature	NUDT21	NUDT21-I3	500	guide16	5	0.3647009749164482	
cross_signature	LEO1	LEO1-I2	500	guide14	1	0.38010553471062136	guide14
cross_signature	LEO1	LEO1-I2	500	guide9	2	0.14924543114231542	
cross_signature	LEO1	LEO1-I2	500	guide20	3	0.14241385100596934	
cross_signature	LEO1	LEO1-I2	500	guide17	4	0.13328371832080407	
cross_signature	LEO1	LEO1-I2	500	guide12	5	0.12493076133212637	
cross_signature	PABPC1	PABPC1-I1	1000	guide18	1	0.6068760981573837	guide18
cross_signature	PABPC1	PABPC1-I1	1000	guide16	2	0.2206846253446526	
cross_signature	PABPC1	PABPC1-I1	1000	guide15	3	0.2094221906376687	
cross_signature	PABPC1	PABPC1-I1	1000	guide5	4	0.19552666425064674	
cross_signature	PABPC1	PABPC1-I1	1000	guide13	5	0.19404804470544668	
cross_signature	NUDT21	NUDT21-I3	1000	guide13	1	0.7056950047464307	guide13
