                                 Started job on |	Aug 16 20:39:01
                             Started mapping on |	Aug 16 20:45:39
                                    Finished on |	Aug 16 20:46:05
       Mapping speed, Million of reads per hour |	89.29

                          Number of input reads |	644838
                      Average input read length |	91
                                    UNIQUE READS:
                   Uniquely mapped reads number |	97479
                        Uniquely mapped reads % |	15.12%
                          Average mapped length |	88.01
                       Number of splices: Total |	8671
            Number of splices: Annotated (sjdb) |	0
                       Number of splices: GT/AG |	8396
                       Number of splices: GC/AG |	43
                       Number of splices: AT/AC |	2
               Number of splices: Non-canonical |	230
                      Mismatch rate per base, % |	4.41%
                         Deletion rate per base |	0.05%
                        Deletion average length |	1.93
                        Insertion rate per base |	0.05%
                       Insertion average length |	1.76
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	44479
             % of reads mapped to multiple loci |	6.90%
        Number of reads mapped to too many loci |	352
             % of reads mapped to too many loci |	0.05%
                                  UNMAPPED READS:
  Number of reads unmapped: too many mismatches |	0
       % of reads unmapped: too many mismatches |	0.00%
            Number of reads unmapped: too short |	502508
                 % of reads unmapped: too short |	77.93%
                Number of reads unmapped: other |	20
                     % of reads unmapped: other |	0.00%
                                  CHIMERIC READS:
                       Number of chimeric reads |	0
                            % of chimeric reads |	0.00%
