species	tissue	marker_molecules	markers_detected	detected_markers
human	liver	0	0	NA
human	heart	0	0	NA
human	testis	0	0	NA
human	kidney	0	0	NA
human	bone_marrow	12106	6	FCER1G,HBA1,HBA2,HBB,S100A8,S100A9
human	spleen	1	1	CD74
human	cortex	0	0	NA
human	retina	0	0	NA
human	lung	0	0	NA
human	skin	1	1	KRT1
mouse	liver	5	1	TTR
mouse	heart	13	6	ACTC1,DES,MYH6,RYR2,TNNI3,TNNT2
mouse	testis	0	0	NA
mouse	kidney	3	2	LRP2,PODXL
mouse	bone_marrow	1	1	CSF1R
mouse	spleen	4	2	CD74,H2-AA
mouse	cortex	9	3	GAD1,SNAP25,SYT1
mouse	retina	5	1	PDE6A
mouse	lung	4113	9	AGER,CLDN18,EPCAM,KRT19,SCGB1A1,SFTPA1,SFTPB,SFTPC,SFTPD
mouse	skin	85	7	COL1A1,COL1A2,KRT10,KRT14,KRT17,KRT5,KRTDAP
pig	liver	65	3	APOA1,APOA2,CYP2E1
pig	heart	3	2	MYL3,TNNI3
pig	testis	227	9	ACRV1,DDX4,PIWIL1,PRM1,PRM2,SYCP3,TEX101,TNP1,TNP2
pig	kidney	0	0	NA
pig	bone_marrow	4	2	FCER1G,TYROBP
pig	spleen	20	6	CD3D,CD3E,CD74,HLA-DRA,NKG7,TYROBP
pig	cortex	0	0	NA
pig	retina	0	0	NA
pig	lung	4	3	KRT19,SFTPC,SFTPD
pig	skin	38	3	COL1A1,COL1A2,KRT10
