species	tissue	marker_molecules	markers_detected	detected_markers
human	liver	0	0	NA
human	heart	0	0	NA
human	testis	0	0	NA
human	kidney	0	0	NA
human	bone_marrow	71005	7	FCER1G,HBA1,HBA2,HBB,S100A8,S100A9,TYROBP
human	spleen	20	2	CD74,TYROBP
human	cortex	0	0	NA
human	retina	0	0	NA
human	lung	0	0	NA
human	skin	6	1	KRT1
mouse	liver	24	3	APOA2,CYP2E1,TTR
mouse	heart	91	7	ACTC1,DES,MYH6,PLN,RYR2,TNNI3,TNNT2
mouse	testis	3	1	PRM1
mouse	kidney	21	3	LRP2,PODXL,SLC12A3
mouse	bone_marrow	2	2	CSF1R,LST1
mouse	spleen	35	3	CD74,H2-AA,LST1
mouse	cortex	63	5	CAMK2A,GAD1,NEFM,SNAP25,SYT1
mouse	retina	14	3	PDE6A,RHO,SAG
mouse	lung	22559	9	AGER,CLDN18,EPCAM,KRT19,SCGB1A1,SFTPA1,SFTPB,SFTPC,SFTPD
mouse	skin	401	7	COL1A1,COL1A2,KRT10,KRT14,KRT17,KRT5,KRTDAP
pig	liver	355	5	APOA1,APOA2,CYP2E1,FGB,SERPINA1
pig	heart	25	6	DES,MYL2,MYL3,RYR2,TNNI3,TNNT2
pig	testis	1468	9	ACRV1,DDX4,PIWIL1,PRM1,PRM2,SYCP3,TEX101,TNP1,TNP2
pig	kidney	2	1	NPHS1
pig	bone_marrow	7	2	FCER1G,TYROBP
pig	spleen	109	7	CD3D,CD3E,CD74,CD79A,HLA-DRA,NKG7,TYROBP
pig	cortex	5	2	NEFL,TUBB3
pig	retina	0	0	NA
pig	lung	11	4	EPCAM,KRT19,SFTPC,SFTPD
pig	skin	299	4	COL1A1,COL1A2,KRT10,KRT17
