metric	value
requested_read_limit	250000
reads_processed	250000
bus_records	134719
mapped_bus_counts	134719
cross_species_ambiguous_bus_records	1001
bus_version	1
bus_barcode_length	16
bus_umi_length	12
raw_unique_barcodes	600
barcodes_with_species_molecules	600
confident_singlets_human	53
confident_singlets_mouse	150
confident_singlets_pig	298
kallisto_stderr	[bus] Note: Strand option was not specified; setting it to --fr-stranded for specified technology [index] k-mer length: 31 [index] number of targets: 491,755 [index] number of k-mers: 292,865,080 [quant] running in paired-end mode [quant] will process sample 1: r1.subset.fq.gz r2.subset.fq.gz [quant] finding pseudoalignments for the reads ... done [quant] processed 250,000 reads, 134,719 reads pseudoaligned
