metric	value
requested_read_limit	0
reads_processed	1471997
bus_records	793533
mapped_bus_counts	793533
cross_species_ambiguous_bus_records	5995
bus_version	1
bus_barcode_length	16
bus_umi_length	12
raw_unique_barcodes	600
barcodes_with_species_molecules	600
confident_singlets_human	51
confident_singlets_mouse	150
confident_singlets_pig	300
kallisto_stderr	[bus] Note: Strand option was not specified; setting it to --fr-stranded for specified technology [index] k-mer length: 31 [index] number of targets: 491,755 [index] number of k-mers: 292,865,080 [quant] running in paired-end mode [quant] will process sample 1: r1.subset.fq.gz r2.subset.fq.gz [quant] finding pseudoalignments for the reads ... [progress] 1M reads processed (53.9% mapped) done [quant] processed 1,471,997 reads, 793,533 reads pseudoaligned
