barcode_integer	human_molecules	mouse_molecules	pig_molecules	total	dominant	dominant_fraction	assignment
915326855	6	3883	4	3893	mouse	0.997431	mouse
3907853886	2	2472	3	2477	mouse	0.997981	mouse
1358877527	1	1761	5	1767	mouse	0.996604	mouse
2221364107	18	6	1414	1438	pig	0.983310	pig
1535857619	3	1134	2	1139	mouse	0.995610	mouse
2475613475	1	982	1	984	mouse	0.997967	mouse
2287421932	14	5	946	965	pig	0.980311	pig
547022863	941	0	0	941	human	1.000000	human
682428684	2	935	2	939	mouse	0.995740	mouse
1221625371	936	0	0	936	human	1.000000	human
930134489	911	0	0	911	human	1.000000	human
1227166217	14	10	875	899	pig	0.973304	pig
3499294455	856	0	0	856	human	1.000000	human
68642532	8	10	805	823	pig	0.978129	pig
748634206	2	811	2	815	mouse	0.995092	mouse
739696370	3	775	0	778	mouse	0.996144	mouse
890570163	1	755	6	762	mouse	0.990814	mouse
1560623625	3	747	1	751	mouse	0.994674	mouse
2061279278	731	0	0	731	human	1.000000	human
3890703528	698	0	0	698	human	1.000000	human
2111642417	5	673	0	678	mouse	0.992625	mouse
368647693	666	0	0	666	human	1.000000	human
1169984029	665	0	0	665	human	1.000000	human
4203526956	664	0	0	664	human	1.000000	human
750040985	650	0	0	650	human	1.000000	human
1626943467	2	638	0	640	mouse	0.996875	mouse
621730915	13	6	620	639	pig	0.970266	pig
1962110775	1	611	0	612	mouse	0.998366	mouse
325091399	0	595	3	598	mouse	0.994983	mouse
491968427	7	6	585	598	pig	0.978261	pig
794114086	597	0	0	597	human	1.000000	human
69274580	342	251	0	593	human	0.576728	unassigned
791074797	0	589	3	592	mouse	0.994932	mouse
1459919855	9	5	575	589	pig	0.976231	pig
571284409	1	583	0	584	mouse	0.998288	mouse
4100234996	0	571	1	572	mouse	0.998252	mouse
726472980	567	0	0	567	human	1.000000	human
2306414916	565	1	0	566	human	0.998233	human
1029246335	5	5	554	564	pig	0.982270	pig
1296344551	1	553	8	562	mouse	0.983986	mouse
897281970	549	1	2	552	human	0.994565	human
3498354438	327	221	0	548	human	0.596715	unassigned
3184479776	8	5	531	544	pig	0.976103	pig
100710164	543	0	0	543	human	1.000000	human
2035215864	3	4	527	534	pig	0.986891	pig
1698625335	1	526	2	529	mouse	0.994329	mouse
3501757618	329	198	0	527	human	0.624288	unassigned
1748950091	9	7	506	522	pig	0.969349	pig
1356897469	8	3	510	521	pig	0.978887	pig
1605938493	0	511	4	515	mouse	0.992233	mouse
1145089869	8	6	496	510	pig	0.972549	pig
1887366714	509	0	0	509	human	1.000000	human
1189836875	2	12	488	502	pig	0.972112	pig
3549875536	9	7	486	502	pig	0.968127	pig
2989186809	296	203	0	499	human	0.593186	unassigned
3723152547	1	493	2	496	mouse	0.993952	mouse
915337889	491	0	0	491	human	1.000000	human
245141781	4	2	484	490	pig	0.987755	pig
2421114501	3	483	2	488	mouse	0.989754	mouse
3143583693	487	1	0	488	human	0.997951	human
2263914110	485	0	0	485	human	1.000000	human
2840514257	481	0	0	481	human	1.000000	human
2849175656	473	0	0	473	human	1.000000	human
2832689996	6	0	463	469	pig	0.987207	pig
540757957	1	463	0	464	mouse	0.997845	mouse
2882349155	1	463	0	464	mouse	0.997845	mouse
