barcode_integer	human_molecules	mouse_molecules	pig_molecules	total	dominant	dominant_fraction	assignment
915326855	33	21262	25	21320	mouse	0.997280	mouse
3907853886	15	13404	10	13429	mouse	0.998138	mouse
1358877527	13	9344	25	9382	mouse	0.995950	mouse
2221364107	83	55	8513	8651	pig	0.984048	pig
1535857619	17	6560	22	6599	mouse	0.994090	mouse
547022863	5537	1	4	5542	human	0.999098	human
1221625371	5499	0	3	5502	human	0.999455	human
2287421932	69	57	5361	5487	pig	0.977037	pig
2475613475	20	5352	6	5378	mouse	0.995165	mouse
1227166217	67	54	5199	5320	pig	0.977256	pig
930134489	5295	0	3	5298	human	0.999434	human
3499294455	5118	0	3	5121	human	0.999414	human
682428684	12	5082	19	5113	mouse	0.993937	mouse
68642532	31	53	4611	4695	pig	0.982109	pig
748634206	18	4518	15	4551	mouse	0.992749	mouse
2061279278	4471	1	1	4473	human	0.999553	human
739696370	8	4372	8	4388	mouse	0.996354	mouse
890570163	5	4316	11	4332	mouse	0.996307	mouse
368647693	4076	0	0	4076	human	1.000000	human
3890703528	4029	4	8	4041	human	0.997030	human
4203526956	4003	0	2	4005	human	0.999501	human
1560623625	10	3967	6	3983	mouse	0.995983	mouse
1169984029	3848	1	2	3851	human	0.999221	human
750040985	3779	0	4	3783	human	0.998943	human
621730915	70	36	3617	3723	pig	0.971528	pig
2111642417	12	3633	9	3654	mouse	0.994253	mouse
1626943467	11	3519	8	3538	mouse	0.994630	mouse
100710164	3480	0	0	3480	human	1.000000	human
69274580	2072	1344	2	3418	human	0.606202	unassigned
325091399	2	3401	7	3410	mouse	0.997361	mouse
726472980	3398	0	2	3400	human	0.999412	human
2306414916	3394	1	3	3398	human	0.998823	human
1029246335	49	40	3291	3380	pig	0.973669	pig
1962110775	5	3351	7	3363	mouse	0.996432	mouse
1459919855	56	30	3257	3343	pig	0.974275	pig
794114086	3337	0	1	3338	human	0.999700	human
897281970	3330	1	3	3334	human	0.998800	human
491968427	40	20	3265	3325	pig	0.981955	pig
2035215864	31	25	3180	3236	pig	0.982695	pig
791074797	2	3202	9	3213	mouse	0.996576	mouse
1887366714	3179	0	1	3180	human	0.999686	human
571284409	8	3159	8	3175	mouse	0.994961	mouse
4100234996	5	3081	10	3096	mouse	0.995155	mouse
1605938493	5	3005	13	3023	mouse	0.994046	mouse
2989186809	1762	1253	7	3022	human	0.583058	unassigned
3184479776	35	29	2943	3007	pig	0.978716	pig
3498354438	1814	1184	0	2998	human	0.605070	unassigned
915337889	2991	2	0	2993	human	0.999332	human
1748950091	42	31	2910	2983	pig	0.975528	pig
1189836875	38	37	2901	2976	pig	0.974798	pig
2263914110	2961	0	1	2962	human	0.999662	human
1356897469	44	39	2860	2943	pig	0.971797	pig
3501757618	1801	1126	6	2933	human	0.614047	unassigned
1296344551	10	2854	37	2901	mouse	0.983799	mouse
397855652	1909	965	6	2880	human	0.662847	unassigned
3723152547	9	2862	5	2876	mouse	0.995132	mouse
3549875536	40	33	2760	2833	pig	0.974232	pig
2849175656	2824	0	0	2824	human	1.000000	human
2832689996	38	17	2760	2815	pig	0.980462	pig
1145089869	40	30	2730	2800	pig	0.975000	pig
1521527799	2760	0	0	2760	human	1.000000	human
245141781	26	29	2691	2746	pig	0.979971	pig
3215120526	34	25	2678	2737	pig	0.978444	pig
2882349155	6	2637	7	2650	mouse	0.995094	mouse
1698625335	3	2639	4	2646	mouse	0.997354	mouse
888444635	2604	0	2	2606	human	0.999233	human
3143583693	2597	1	1	2599	human	0.999230	human
2840514257	2596	0	2	2598	human	0.999230	human
1887402423	3	2579	4	2586	mouse	0.997293	mouse
2919835775	1567	1015	1	2583	human	0.606659	unassigned
517400836	7	2569	5	2581	mouse	0.995351	mouse
1191780680	34	21	2524	2579	pig	0.978674	pig
3506996178	2570	0	1	2571	human	0.999611	human
1312863636	38	25	2501	2564	pig	0.975429	pig
3781118016	45	21	2490	2556	pig	0.974178	pig
2421114501	9	2526	7	2542	mouse	0.993706	mouse
641647286	7	2509	7	2523	mouse	0.994451	mouse
4139026696	44	28	2446	2518	pig	0.971406	pig
540757957	8	2484	6	2498	mouse	0.994396	mouse
2967771062	5	2462	9	2476	mouse	0.994346	mouse
1367906100	6	2455	5	2466	mouse	0.995539	mouse
897128193	26	30	2399	2455	pig	0.977189	pig
485147203	4	2438	10	2452	mouse	0.994290	mouse
2849014642	1597	850	4	2451	human	0.651571	unassigned
180571543	3	2426	8	2437	mouse	0.995486	mouse
3184330481	20	11	2387	2418	pig	0.987179	pig
2508419500	28	26	2348	2402	pig	0.977519	pig
2873023878	2396	0	0	2396	human	1.000000	human
4109291984	31	31	2303	2365	pig	0.973784	pig
4253993082	2	2350	10	2362	mouse	0.994920	mouse
1544895340	1451	890	3	2344	human	0.619027	unassigned
1491633715	6	2308	3	2317	mouse	0.996116	mouse
2236273123	40	13	2250	2303	pig	0.976987	pig
3608113580	2300	0	2	2302	human	0.999131	human
1175382301	23	19	2258	2300	pig	0.981739	pig
3606009665	1371	922	3	2296	human	0.597125	unassigned
920724612	1400	887	1	2288	human	0.611888	unassigned
2698845252	4	2268	6	2278	mouse	0.995610	mouse
4025414879	7	2264	5	2276	mouse	0.994728	mouse
2023298509	1399	870	2	2271	human	0.616028	unassigned
1191751550	1380	884	6	2270	human	0.607930	unassigned
2508263655	25	19	2225	2269	pig	0.980608	pig
3921187193	2268	0	0	2268	human	1.000000	human
3928012564	1334	923	3	2260	human	0.590265	unassigned
4046151476	22	25	2201	2248	pig	0.979093	pig
2086365242	9	2218	13	2240	mouse	0.990179	mouse
3020341554	2234	1	3	2238	human	0.998213	human
1535713525	34	21	2172	2227	pig	0.975303	pig
3121307794	24	21	2170	2215	pig	0.979684	pig
