gene	count
ABHD17A	0
ABI1	0
ABTB1	8
ACAP2	0
ACER3	0
ACP1	25
ACSL6	7
ACTB	30
ACTG1	0
ACTN1	0
ACTR2	0
ACTR3	3
ADAM10	1
ADAM17	1
ADAR	8
ADD1	3
ADD3	0
ADIPOR1	107
ADSL	0
AFF4	0
AGFG1	1
AGO2	5
AHCTF1	0
AK3	3
AKAP13	0
AKAP8L	3
AKAP9	0
AKIRIN1	3
AKIRIN2	1
AKT3	0
ALDH2	0
ALDOA	0
AMD1	0
ANAPC16	2
ANAPC5	1
ANK2	0
ANKLE2	1
ANKRD11	0
ANKRD12	0
ANKRD13A	1
ANP32A	1
ANP32B	35
ANXA11	0
ANXA5	0
ANXA7	4
AP1M1	0
AP1S2	0
AP2A1	8
AP2M1	11
AP2S1	17
AP3S1	0
APH1A	0
APLP2	0
APOL1	0
ARF1	13
ARF4	2
ARF5	0
ARFGAP2	0
ARGLU1	2
ARHGAP4	0
ARHGAP45	0
ARHGDIA	0
ARHGDIB	3
ARHGEF12	10
ARID1A	0
ARID1B	0
ARID4B	0
ARIH1	0
ARL2	0
ARL6IP1	11
ARL6IP5	0
ARMC10-1	0
ARPC1B	0
ARPC2	1
ARPC3	4
ARPC4	2
ARPC5	0
ARPP19	0
ASAH1	0
ASAP1	4
ASB8	0
ATE1	0
ATF4	0
ATG12	0
ATG2A	1
ATL1	5
ATP11B	0
ATP1A1	0
ATP5F1B	8
ATP5F1D	2
ATP5F1E	174
ATP5ME	2
ATP5MF	2
ATP5MG	10
ATP5MJ	2
ATP5MK	3
ATP5PF	0
ATP6AP2	0
ATP6V0B	1
ATP6V0C	33
ATP6V0D1	0
ATP6V0E1	1
ATP6V1D	6
ATP6V1F	0
ATP6V1G1	1
ATP7A	3
ATP9B	1
ATRX	2
ATXN2	0
ATXN7	0
AZIN1	0
B2M	73
B2M-1	5
B4GALT1	2
BACH1	1
BAG1	52
BAX	0
BAZ1A	0
BAZ2B	0
BBLN	0
BCAP31	0
BECN1	2
BEND7	0
BIN2	0
BIRC2	9
BIRC6	0
BLOC1S1	1
BLOC1S6	2
BLTP1	0
BNIP2	0
BNIP3L	165
BOD1L1	0
BORCS7	0
BPTF	4
BRAF	0
BRD4	6
BRI3	1
BRIP1	3
BRK1	6
BROX	2
BRWD1	0
BSDC1	1
BSG	72
BTF3	68
BTG1	3
BTK	0
BUD31	0
C11orf58	7
C15orf40	1
C19orf53	1
C1GALT1	0
C21orf62	1
C2CD3	5
C2orf68	1
C4orf3	0
C6orf62	9
C9orf78	117
CAB39	0
CACUL1	0
CALM1	0
CALM2	6
CALM3	3
CAMLG	0
CAP1	0
CAPN1	0
CAPNS1	2
CAPZA1	0
CAPZA2	1
CAPZB	0
CARD16	0
CARD8	0
CARHSP1	7
CASP4	1
CAST	0
CBL	0
CBX3	1
CCDC157	0
CCDC186	0
CCDC30	0
CCDC57	0
CCDC82	0
CCL5	2
CCL5-1	2
CCM2	0
CCND3	1
CCNDBP1	40
CCNI	33
CCNL1	2
CCNY	0
CCPG1	0
CD164	0
CD37	0
CD46	0
CD47	0
CD55	5
CD63	0
CD74	2
CD82	3
CDC37	0
CDC42	4
CDC42SE1	1
CDC42SE2	2
CDKL5	0
CDKN1B	0
CDKN2D	21
CDS2	0
CDV3	2
CEACAM22P	0
CELF2	4
CERCAM	0
CERT1	0
CFL1	4
CFLAR	0
CGGBP1	3
CHCHD2	4
CHD1	1
CHD2	0
CHD4	0
CHD9	0
CHFR	0
CHMP1B	1
CHMP2A	3
CHMP2B	0
CHMP4B	1
CHMP5	1
CHST12	4
CHURC1	0
CIR1	2
CIRBP	1
CKLF	0
CLEC2B	0
CLINT1	0
CLIP1	0
CLK1	0
CLTA	1
CLTC	0
CMBL	2
CMC2	0
CMIP	0
CMTM6	0
CNBP	4
CNN2	0
CNPY3	0
COA1	0
COMMD6	2
COPA	1
COPE	4
COPS2	1
COQ10B	1
CORO1A	0
COTL1	1
COX17	1
COX4I1	0
COX5B	0
COX6A1	3
COX6B1	3
COX7A2	1
COX7B	2
COX7C	6
COX8A	1
CPEB4	1
CPT1A	1
CRBN	0
CREB1	0
CREBRF	0
CSDE1	12
CSK	1
CSNK1A1	3
CSNK1D	0
CSNK1G2	0
CSNK2A1	0
CTBS	0
CTCF	0
CTDSP1	0
CTDSP2	3
CTSC	0
CTSS	1
CTSZ	3
CUL3	2
CUL4B	0
CUX1	0
CXCR4	4
CYB561A3	1
CYB5R3	10
CYB5R4	0
CYBA	0
CYBC1	0
CYLD	0
CYP20A1	0
CYRIB	0
CYTH2	0
DAD1	0
DAPP1	0
DAZAP2	3
DBI	0
DBNL	0
DCAKD	0
DCP2	2
DCUN1D1	18
DCUN1D2	1
DDX17	2
DDX21	1
DDX3X	5
DDX5	1
DDX6	3
DEK	0
DESI1	1
DGKH	1
DGKZ	0
DHRS7	0
DIAPH1	0
DNAJA1	10
DNAJB1	2
DNAJB6	2
DNAJC21	1
DNAJC7	0
DNM1	0
DNM2	3
DR1	1
DRAP1	4
DSG3	0
DUSP1	2
DYNLL1	30
DYNLL2	0
