gene	count
ABHD17A	1
ABI1	11
ABTB1	21
ACAP2	28
ACER3	32
ACP1	0
ACSL6	37
ACTB	364
ACTG1	20
ACTN1	71
ACTR2	51
ACTR3	52
ADAM10	16
ADAM17	40
ADAR	39
ADD1	5
ADD3	5
ADIPOR1	4
ADSL	11
AFF4	6
AGFG1	11
AGO2	9
AHCTF1	15
AK3	34
AKAP13	9
AKAP8L	1
AKAP9	11
AKIRIN1	11
AKIRIN2	6
AKT3	7
ALDH2	71
ALDOA	1
AMD1	3
ANAPC16	6
ANAPC5	6
ANK2	34
ANKLE2	25
ANKRD11	18
ANKRD12	39
ANKRD13A	16
ANP32A	93
ANP32B	1
ANXA11	17
ANXA5	6
ANXA7	10
AP1M1	40
AP1S2	4
AP2A1	8
AP2M1	7
AP2S1	4
AP3S1	8
APH1A	1
APLP2	23
APOL1	35
ARF1	21
ARF4	11
ARF5	8
ARFGAP2	12
ARGLU1	12
ARHGAP4	3
ARHGAP45	8
ARHGDIA	6
ARHGDIB	58
ARHGEF12	5
ARID1A	16
ARID1B	2
ARID4B	40
ARIH1	11
ARL2	1
ARL6IP1	6
ARL6IP5	17
ARMC10-1	15
ARPC1B	33
ARPC2	74
ARPC3	46
ARPC4	17
ARPC5	65
ARPP19	2
ASAH1	50
ASAP1	23
ASB8	5
ATE1	4
ATF4	5
ATG12	2
ATG2A	38
ATL1	139
ATP11B	15
ATP1A1	11
ATP5F1B	3
ATP5F1D	19
ATP5F1E	86
ATP5ME	6
ATP5MF	0
ATP5MG	29
ATP5MJ	17
ATP5MK	11
ATP5PF	3
ATP6AP2	6
ATP6V0B	44
ATP6V0C	2
ATP6V0D1	22
ATP6V0E1	16
ATP6V1D	18
ATP6V1F	6
ATP6V1G1	11
ATP7A	8
ATP9B	30
ATRX	11
ATXN2	16
ATXN7	38
AZIN1	10
B2M	281
B2M-1	589
B4GALT1	8
BACH1	29
BAG1	7
BAX	4
BAZ1A	22
BAZ2B	33
BBLN	2
BCAP31	8
BECN1	4
BEND7	20
BIN2	11
BIRC2	8
BIRC6	2
