gene	count
ABHD17A	93
ABI1	56
ABTB1	35
ACAP2	229
ACER3	188
ACP1	45
ACSL6	180
ACTB	4924
ACTG1	1005
ACTN1	113
ACTR2	417
ACTR3	191
ADAM10	126
ADAM17	424
ADAR	212
ADD1	59
ADD3	86
ADIPOR1	56
ADSL	89
AFF4	104
AGFG1	120
AGO2	37
AHCTF1	72
AK3	347
AKAP13	255
AKAP8L	44
AKAP9	128
AKIRIN1	76
AKIRIN2	154
AKT3	94
ALDH2	685
ALDOA	424
AMD1	69
ANAPC16	166
ANAPC5	128
ANK2	342
ANKLE2	186
ANKRD11	196
ANKRD12	299
ANKRD13A	48
ANP32A	135
ANP32B	178
ANXA11	105
ANXA5	377
ANXA7	83
AP1M1	205
AP1S2	377
AP2A1	50
AP2M1	97
AP2S1	205
AP3S1	59
APH1A	63
APLP2	795
APOL1	231
ARF1	260
ARF4	83
ARF5	153
ARFGAP2	95
ARGLU1	147
ARHGAP4	80
ARHGAP45	83
ARHGDIA	214
ARHGDIB	407
ARHGEF12	31
ARID1A	99
ARID1B	116
ARID4B	172
ARIH1	102
ARL2	34
ARL6IP1	85
ARL6IP5	215
ARMC10-1	264
ARPC1B	775
ARPC2	704
ARPC3	833
ARPC4	185
ARPC5	428
ARPP19	46
ASAH1	596
ASAP1	120
ASB8	33
ATE1	29
ATF4	218
ATG12	72
ATG2A	77
ATL1	847
ATP11B	74
ATP1A1	204
ATP5F1B	176
ATP5F1D	248
ATP5F1E	1321
ATP5ME	213
ATP5MF	196
ATP5MG	654
ATP5MJ	393
ATP5MK	179
ATP5PF	121
ATP6AP2	254
ATP6V0B	288
ATP6V0C	270
ATP6V0D1	196
ATP6V0E1	163
ATP6V1D	118
ATP6V1F	258
ATP6V1G1	269
ATP7A	56
ATP9B	275
ATRX	128
ATXN2	85
ATXN7	116
AZIN1	69
B2M	3190
B2M-1	3986
B4GALT1	108
BACH1	299
BAG1	61
BAX	120
BAZ1A	102
BAZ2B	217
BBLN	62
BCAP31	81
BECN1	35
BEND7	118
BIN2	101
BIRC2	47
BIRC6	87
BLOC1S1	123
BLOC1S6	405
BLTP1	103
BNIP2	208
BNIP3L	125
BOD1L1	183
BORCS7	182
BPTF	101
BRAF	98
BRD4	94
BRI3	658
BRIP1	297
BRK1	194
BROX	41
BRWD1	48
BSDC1	34
BSG	85
BTF3	511
BTG1	745
BTK	225
BUD31	74
C11orf58	227
C15orf40	380
C19orf53	116
C1GALT1	33
C21orf62	315
C2CD3	977
C2orf68	182
C4orf3	146
C6orf62	85
C9orf78	102
CAB39	32
CACUL1	44
CALM1	428
CALM2	569
CALM3	123
CAMLG	34
CAP1	282
CAPN1	49
CAPNS1	179
CAPZA1	187
CAPZA2	205
CAPZB	253
CARD16	232
CARD8	38
CARHSP1	37
CASP4	130
CAST	415
CBL	29
CBX3	118
CCDC157	58
CCDC186	62
CCDC30	72
CCDC57	250
CCDC82	42
CCL5	228
CCL5-1	228
CCM2	77
CCND3	80
CCNDBP1	65
CCNI	414
CCNL1	521
CCNY	104
CCPG1	58
CD164	160
CD37	304
CD46	145
CD47	82
CD55	390
CD63	434
CD74	2124
CD82	408
CDC37	98
CDC42	749
CDC42SE1	50
CDC42SE2	119
CDKL5	283
CDKN1B	45
CDKN2D	217
CDS2	62
CDV3	223
CEACAM22P	107
CELF2	226
CERCAM	212
CERT1	100
CFL1	900
CFLAR	279
CGGBP1	60
CHCHD2	307
CHD1	286
CHD2	138
CHD4	50
CHD9	66
CHFR	124
CHMP1B	88
CHMP2A	124
CHMP2B	82
CHMP4B	171
CHMP5	23
CHST12	586
CHURC1	95
CIR1	97
CIRBP	130
CKLF	135
CLEC2B	131
CLINT1	85
CLIP1	178
CLK1	120
CLTA	113
CLTC	101
CMBL	129
CMC2	47
CMIP	110
CMTM6	251
CNBP	264
CNN2	84
CNPY3	172
COA1	44
COMMD6	250
COPA	171
COPE	154
COPS2	44
COQ10B	69
CORO1A	361
COTL1	1137
COX17	75
COX4I1	634
COX5B	242
COX6A1	195
COX6B1	256
COX7A2	220
COX7B	257
COX7C	483
COX8A	239
CPEB4	87
CPT1A	72
CRBN	79
CREB1	32
CREBRF	118
CSDE1	355
CSK	123
CSNK1A1	226
CSNK1D	88
CSNK1G2	54
CSNK2A1	182
CTBS	61
CTCF	43
CTDSP1	99
CTDSP2	58
CTSC	186
CTSS	2797
CTSZ	330
CUL3	76
CUL4B	94
CUX1	134
CXCR4	414
CYB561A3	285
CYB5R3	42
CYB5R4	105
CYBA	1264
CYBC1	42
CYLD	182
CYP20A1	122
CYRIB	259
CYTH2	222
DAD1	104
DAPP1	77
DAZAP2	380
DBI	214
DBNL	87
DCAKD	82
DCP2	94
DCUN1D1	22
DCUN1D2	369
DDX17	304
DDX21	351
DDX3X	290
DDX5	864
DDX6	116
DEK	211
DESI1	74
DGKH	34
DGKZ	66
DHRS7	64
DIAPH1	191
DNAJA1	121
DNAJB1	197
DNAJB6	132
DNAJC21	100
DNAJC7	233
DNM1	36
DNM2	76
DR1	76
DRAP1	137
DSG3	146
DUSP1	836
DYNLL1	89
DYNLL2	29
DYNLRB1	44
DYNLT3	18
DYRK1A	70
E2F3P2	43
EEF1A1	5411
EEF2	498
EHBP1L1	103
EHD1	56
EIF1	2619
EIF1B	115
EIF2AK1	30
EIF3I	126
EIF4A1	880
EIF4A2	127
EIF4B	231
EIF4EBP2	78
EIF4G2	315
EIF4G3	55
EIF4H	130
EIF5	241
EIF5A	172
ELAPOR1	241
ELAVL1	83
ELF1	142
ELF2	79
ELMO1	25
ELOB	361
EMC10	106
EMC3	54
EMD	47
EMP3	715
ENO1	354
ENSA	83
EP300	177
EPB41	59
EPN1	84
EPS15	80
ERBIN	110
ERICH1	90
ERN1	113
ETV6	79
EVI2B	472
EWSR1	148
EXOC7	31
FAAP20	61
FAM107B	129
FAM120AOS	159
FAM133B	324
FAM177A1	51
FAM204A	75
FAM241A	144
FAM32A	67
FAM50A	47
FAM89B	36
FAU	1553
FAUP4	75
FAXC	169
FBRS	37
FBXL20	37
FBXL3	43
FBXO11	67
FBXO48	251
FBXO7	70
FBXO9	47
FBXW7	80
FEM1A	431
FERMT3	125
FGFR1OP2	71
FIS1	87
FKBP1A	358
FKBP8	70
FLNA	308
FLOT2	37
FMN1	178
FMNL1	346
FNBP1	142
FNIP1	86
FOS	915
FOSB	278
FOXN3	123
FOXO3	136
FOXP1	123
FTH1	9843
FTL	7552
FUS	226
FXR1	67
FXR2	26
FXYD5	187
FYTTD1	44
G3BP2	93
GABARAP	649
GABARAPL2	91
GABRD	77
GALNT1	57
GAPDH	1237
GAPVD1	44
GASK1A	710
GATAD2A	83
GATD1	175
GBF1	105
GCC2	131
GGNBP2	125
GHITM	173
GIT2	48
GLRX5	30
GLTP	142
GMFG	382
GNA13	95
GNAI2	603
GNAI3	120
GNAS	523
GNB1	175
GNB2	232
GNB5	129
GNG5	326
GNL3L	144
GNPTG	143
GOLGA2	59
GOLGA4	116
GOLGB1	214
GOLM2	42
GOSR1	108
GPATCH2L	61
GPBP1	103
GPBP1L1	49
GPCPD1	475
GPSM2	108
GPX1	736
GPX4	243
GRB2	317
GRIPAP1	154
GRK2	158
GRK3	124
GRK6	89
GSK3B	44
GSPT1	37
GSTK1	143
GSTO1	233
GTDC1	108
GTF2I	37
GTPBP4	381
GUK1	153
GYPC	40
H1-2	20
H2AC18	147
H2AC19	147
H2AZ1	137
H2AZ2	104
H3-3A	2175
H3-3B	1036
HADHB	71
HAPSTR1	181
HAT1	25
HBA1	59
HBA2	154
HBB	218
HBP1	104
HCLS1	228
HCST	310
HDGF	88
HECTD1	90
HELZ	85
HERC1	39
HIF1A	264
HINT1	251
HIPK1	72
HIPK3	82
HLA-A-3	502
HLA-A-6	502
HLA-B-1	132
HLA-B-2	772
HLA-B-3	603
HLA-B-5	1216
HLA-DQA1-2	685
HLA-DQA1-4	235
HLA-E	224
HLA-E-1	365
HLA-E-2	292
HMGB1	534
HMGB1P6	61
HMGB2	88
HMGN1	100
HMGN2	166
HNRNPA2B1	556
HNRNPA3	391
HNRNPC	307
HNRNPD	186
HNRNPDL	255
HNRNPF	107
HNRNPH2	81
HNRNPH3	95
HNRNPK	428
HNRNPM	158
HNRNPU	356
HNRNPUL1	287
HOOK3	115
HP1BP3	107
HPCAL1	321
HPS1	43
HSD17B12	149
HSP90AA1	558
HSP90AB1	324
HSPA4L	229
HSPA9	153
HYCC2	103
ICAM3	151
IDH2	59
IDS	186
IER2	550
IFI16	53
IFITM2	147
IFRD1	40
IGBP1	84
IGF2R	222
IK	74
IL2RG	44
INTS6	21
IRAG2	39
IRAK4	22
IRF1	508
IRF2	27
IRF9	80
IRS2	279
ISCA1	24
ISCU	65
ISG20L2	202
IST1	61
ITGA1	207
ITGAL	169
ITM2B	861
ITPR2	48
ITSN2	117
JAK1	146
JARID2	170
JMJD1C	383
JOSD1	51
JTB	137
JUNB	801
JUND	1761
KAT6A	93
KCMF1	57
KCNK6	353
KCNMB1	226
KDM5A	67
KDM6A	79
KDM6B	221
KDM7A	66
KHDRBS1	108
KIDINS220	214
KIF2A	29
KIF5B	127
KLF2	175
KLF3	138
KLF6	823
KLHL24	98
KLHL5	86
KMT2C	292
KMT2E	170
KPNA4	123
KPNB1	84
KRAS	64
KRBA2	157
KREMEN1	49
L1TD1	222
LAMP1	75
LAMTOR1	206
LAMTOR4	265
LAMTOR5	121
LAPTM5	867
LBR	54
LCOR	72
LCP1	877
LDLR	398
LIMS1	146
LITAF	150
LMBRD1	40
LNPEP	54
LPGAT1	115
LPIN2	20
LPP	152
LRP10	55
LRRC58	432
LRRFIP1	786
LRRFIP2	45
LSM3	70
LYPLA1	91
LYRM7	176
LYST	223
MAB21L3	849
MACF1	291
MACROH2A1	422
MAF1	57
MAP1LC3B	212
MAP2K2	79
MAP2K3	99
MAP3K11	87
MAP3K2	335
MAP3K8	162
MAP4K2	63
MAP4K4	135
MAPK1	81
MAPK1IP1L	81
MAPKAPK2	70
MAPRE1	79
MARCHF6	65
MARK3	84
MAVS	54
MAX	47
MBD2	197
MBD4	85
MBD5	22
MBNL1	262
MBP	112
MCL1	734
MDM2	46
MDM4	182
MECP2	63
MED11	47
MED12	105
MED13	79
MED13L	231
MED27	104
MED28	81
MEF2A	102
METTL9	213
MFN1	146
MFSD11	61
MGAT4A	219
MGLL	41
MICAL3	146
MID1	153
MIDN	326
MIER1	90
MIGA1	121
MINDY2	61
MKNK2	42
MKRN1	90
MLF2	61
MLH1	74
MLLT6-1	87
MLX	224
MMP24OS	46
MOB1A	197
MORC3	56
MORF4L1	259
MPC2	45
MPLKIP	28
MRFAP1	74
MRPL33	99
MRPL57	83
MS4A4E	179
MSL1	53
MSN	376
MT-ATP6	7505
MT-ATP8	229
MT-CO1	11218
MT-CO2	8990
MT-CO3	9956
MT-CYB	4987
MT-ND1	6100
MT-ND2	3651
MT-ND3	8759
MT-ND4	5323
MT-ND4L	481
MT-ND5	1419
MTATP6P1	3369
MTCH1	156
MTDH	244
MTHFD1	322
MTND1P23	164
MTND2P28	48
MTPN	247
MXI1	34
MYADM	516
MYCBP2	164
MYH7B	111
MYH9	240
MYL12A	414
MYL12B	323
MYL6	835
MYO5A	222
MYO9B	147
N4BP2L2	248
NAA60	55
NABP1	551
NACA	1399
NAMPT	2962
NAP1L1	282
NAPA	60
NAPG	51
NARF	35
NASP	73
NBPF10	323
NBPF14	115
NBPF19	214
NBR1	67
NCBP3	104
NCOA1	90
NCOA3	71
NCOA4	152
NCOR1	115
NDUFA1	229
NDUFA13	258
NDUFA2	100
NDUFA4	275
NDUFA5	27
NDUFB1	147
NDUFB11	133
NDUFB4	110
NDUFB9	123
NDUFC1	65
NDUFS2	66
NEDD8	160
NFAT5	68
NFE2L2	124
NFKB2	62
NFKBIA	1116
NFKBIB	31
NFKBIZ	251
NIN	96
NIPBL	131
NKTR	200
NMI	37
NMNAT3	489
NNT	100
NONO	122
NOP10	162
NOTCH2NLC	268
NPC2	390
NPEPPS	169
NR1H2	49
NR4A2	84
NRDC	45
NSD1	58
NSD3	94
NT5C3A	20
NUDC	45
NUDT3	169
NUFIP2	130
NUMB	159
OAZ1	1348
OAZ2	135
OCIAD1	53
ODC1	22
OGA	57
OGDH	32
OPHN1	117
OR11G2	29
ORAI1	44
ORAI2	124
ORC4	416
OSBPL8	151
OSER1	63
OST4	250
OSTF1	90
OTUB1	66
OTUD5	33
P2RX4	156
P2RX7	233
P4HB	225
PABPC1	1240
PABPN1	109
PACS1	21
PAFAH1B1	377
PAFAH1B2	61
PAIP2	163
PAK2	211
PANK2	42
PAPOLA	180
PARK7	232
PBRM1	71
PCBP1	362
PCBP2	403
PCGF5	48
PCM1	88
PCMTD1	33
PCSK7	373
PCYT1A	78
PDAP1	53
PDCD10	50
PDCD4	65
PDE4DIP	73
PDIA3	542
PDIA5	45
PELI1	79
PET100	173
PFDN5	931
PFN1	687
PGAM1	218
PGK1	351
PGLS	177
PHACTR1	380
PHF20	71
PHF20L1	98
PHF3	138
PHIP	168
PHKB	65
PIAS1	115
PIGN	393
PIK3C3	100
PIM1	75
PIP4K2A	42
PITHD1	29
PJA2	95
PKN2	81
PLA2G10CP	94
PLAT	196
PLEK	616
PLEKHB2	222
PLP2	164
PMAIP1	111
PNPLA2	52
PNPLA8	110
PNPT1	638
PNRC1	410
POC1B	101
POLR1D	122
POLR2E	85
POLR2J	78
POLR2J3-1	215
POMP	166
PPDPF	113
PPHLN1	152
PPIA	411
PPIG	172
PPM1A	48
PPP1CA	155
PPP1CB	235
PPP1R12A	111
PPP1R15A	426
PPP1R2	121
PPP2R2A	64
PPP2R5A	48
PPP2R5C	205
PPP3CA	62
PPP3R1	51
PPP4C	77
PPP4R2	57
PPP4R3B	58
PPP6R1	29
PPP6R3	51
PRDM2	91
PRDX5	123
PRDX6	92
PRELID1	425
PREX1	88
PRKACA	241
PRKAG2	202
PRKAR1A	111
PRKCB	232
PRKX	199
PRMT2	56
PRPSAP1	104
PRR11	84
PRR13	150
PRRC2C	318
PSAP	1686
PSIP1	31
PSMA4	140
PSMA6	154
PSMA7	304
PSMB1	162
PSMD13	50
PSMD4	62
PSMD6	48
PSME1	301
PSME4	63
PTBP3	121
PTEN	146
PTGES3	124
PTMA	2027
PTP4A2	495
PTPN1	69
PTPN11	108
PTPN18	66
PTPN6	127
PTPRC	707
PTPRJ	108
QKI	231
R3HDM2	43
R3HDM4	27
RAB11A	45
RAB14	55
RAB18	60
RAB1A	146
RAB21	91
RAB27A	123
RAB2A	165
RAB5A	62
RAB5C	146
RAB5IF	187
RAB7A	143
RAB8A	77
RAB8B	73
RABAC1	89
RABGAP1L	52
RAC1	451
RAC2	150
RACK1	996
RAD21	95
RAD23B	88
RAF1	154
RALBP1	60
RALY	56
RAP1A	175
RAP1B	416
RASGRP2	59
RB1CC1	136
RBBP6	110
RBM22P2	194
RBM3	385
