gene	count
ABHD17A	818
ABI1	295
ABTB1	138
ACAP2	612
ACER3	1004
ACP1	398
ACSL6	1488
ACTB	13320
ACTG1	6263
ACTN1	645
ACTR2	991
ACTR3	1042
ADAM10	347
ADAM17	2010
ADAR	1317
ADD1	417
ADD3	1234
ADIPOR1	115
ADSL	1037
AFF4	286
AGFG1	186
AGO2	221
AHCTF1	175
AK3	1938
AKAP13	1090
AKAP8L	256
AKAP9	1068
AKIRIN1	414
AKIRIN2	220
AKT3	1623
ALDH2	2387
ALDOA	653
AMD1	415
ANAPC16	1619
ANAPC5	870
ANK2	2230
ANKLE2	886
ANKRD11	1094
ANKRD12	2886
ANKRD13A	145
ANP32A	510
ANP32B	1677
ANXA11	616
ANXA5	376
ANXA7	398
AP1M1	1173
AP1S2	251
AP2A1	216
AP2M1	427
AP2S1	342
AP3S1	178
APH1A	231
APLP2	186
APOL1	1155
ARF1	759
ARF4	226
ARF5	359
ARFGAP2	611
ARGLU1	1679
ARHGAP4	310
ARHGAP45	701
ARHGDIA	672
ARHGDIB	3275
ARHGEF12	141
ARID1A	552
ARID1B	1120
ARID4B	1629
ARIH1	322
ARL2	385
ARL6IP1	611
ARL6IP5	1207
ARMC10-1	2121
ARPC1B	1929
ARPC2	2971
ARPC3	2327
ARPC4	593
ARPC5	1437
ARPP19	302
ASAH1	298
ASAP1	150
ASB8	235
ATE1	342
ATF4	471
ATG12	371
ATG2A	519
ATL1	4972
ATP11B	251
ATP1A1	520
ATP5F1B	669
ATP5F1D	1814
ATP5F1E	5764
ATP5ME	1132
ATP5MF	865
ATP5MG	3948
ATP5MJ	1206
ATP5MK	1283
ATP5PF	860
ATP6AP2	492
ATP6V0B	293
ATP6V0C	196
ATP6V0D1	182
ATP6V0E1	956
ATP6V1D	501
ATP6V1F	431
ATP6V1G1	1608
ATP7A	313
ATP9B	3028
ATRX	1246
ATXN2	677
ATXN7	719
AZIN1	189
B2M	39922
B2M-1	12703
B4GALT1	288
BACH1	109
BAG1	291
BAX	419
BAZ1A	511
BAZ2B	1157
BBLN	812
BCAP31	436
BECN1	172
BEND7	789
BIN2	878
BIRC2	323
BIRC6	527
BLOC1S1	432
BLOC1S6	2363
BLTP1	985
BNIP2	300
BNIP3L	290
BOD1L1	816
BORCS7	602
BPTF	955
BRAF	607
BRD4	480
BRI3	377
BRIP1	2957
BRK1	654
BROX	214
BRWD1	396
BSDC1	300
BSG	292
BTF3	4391
BTG1	9036
BTK	909
BUD31	321
C11orf58	2010
C15orf40	1976
C19orf53	940
C1GALT1	264
C21orf62	1694
C2CD3	6764
C2orf68	2183
C4orf3	974
C6orf62	430
C9orf78	1093
CAB39	225
CACUL1	252
CALM1	5548
CALM2	1756
CALM3	792
CAMLG	521
CAP1	718
CAPN1	168
CAPNS1	452
CAPZA1	618
CAPZA2	432
CAPZB	1264
CARD16	421
CARD8	420
CARHSP1	391
CASP4	467
CAST	1165
CBL	221
CBX3	920
CCDC157	348
CCDC186	421
CCDC30	421
CCDC57	1723
CCDC82	431
CCL5	5245
CCL5-1	5232
CCM2	602
CCND3	972
CCNDBP1	573
CCNI	2448
CCNL1	1891
CCNY	190
CCPG1	229
CD164	700
CD37	1742
CD46	713
CD47	789
CD55	675
CD63	686
CD74	1313
CD82	1937
CDC37	514
CDC42	3367
CDC42SE1	859
CDC42SE2	1407
CDKL5	268
CDKN1B	860
CDKN2D	451
CDS2	300
CDV3	771
CEACAM22P	618
CELF2	1777
CERCAM	850
CERT1	240
CFL1	4529
CFLAR	1568
CGGBP1	351
CHCHD2	2075
CHD1	747
CHD2	1095
CHD4	418
CHD9	251
CHFR	596
CHMP1B	318
CHMP2A	472
CHMP2B	254
CHMP4B	280
CHMP5	224
CHST12	6411
CHURC1	1018
CIR1	529
CIRBP	1668
CKLF	470
CLEC2B	835
CLINT1	368
CLIP1	1028
CLK1	489
CLTA	444
CLTC	209
CMBL	612
CMC2	438
CMIP	178
CMTM6	299
CNBP	1477
CNN2	714
CNPY3	232
COA1	485
COMMD6	2805
COPA	815
COPE	657
COPS2	288
COQ10B	229
CORO1A	2664
COTL1	915
COX17	401
COX4I1	3399
COX5B	1299
COX6A1	1083
COX6B1	1446
COX7A2	1467
COX7B	983
COX7C	4343
COX8A	1010
CPEB4	151
CPT1A	754
CRBN	627
CREB1	270
CREBRF	842
CSDE1	1228
CSK	385
CSNK1A1	879
CSNK1D	299
CSNK1G2	365
CSNK2A1	1268
CTBS	205
CTCF	477
CTDSP1	335
CTDSP2	198
CTSC	651
CTSS	666
CTSZ	122
CUL3	404
CUL4B	697
CUX1	231
CXCR4	2907
CYB561A3	1429
CYB5R3	216
CYB5R4	444
CYBA	2751
CYBC1	384
CYLD	1135
CYP20A1	742
CYRIB	839
CYTH2	1363
DAD1	836
DAPP1	260
DAZAP2	1075
DBI	832
DBNL	344
DCAKD	406
DCP2	368
DCUN1D1	138
DCUN1D2	1789
DDX17	2349
DDX21	1061
DDX3X	1646
DDX5	4490
DDX6	1227
DEK	1078
DESI1	377
DGKH	535
DGKZ	598
DHRS7	496
DIAPH1	601
DNAJA1	675
DNAJB1	1682
DNAJB6	660
DNAJC21	1155
DNAJC7	992
DNM1	232
DNM2	363
DR1	314
DRAP1	813
DSG3	1133
DUSP1	2458
DYNLL1	613
DYNLL2	226
DYNLRB1	588
DYNLT3	182
DYRK1A	297
E2F3P2	388
EEF1A1	49641
EEF2	2974
EHBP1L1	140
EHD1	236
EIF1	9236
EIF1B	507
EIF2AK1	222
EIF3I	781
EIF4A1	1498
EIF4A2	1780
EIF4B	1609
EIF4EBP2	221
EIF4G2	909
EIF4G3	142
EIF4H	446
EIF5	787
EIF5A	1119
ELAPOR1	1587
ELAVL1	648
ELF1	916
ELF2	388
ELMO1	352
ELOB	1366
EMC10	878
EMC3	274
EMD	197
EMP3	1954
ENO1	1082
ENSA	502
EP300	355
EPB41	1496
EPN1	308
EPS15	349
ERBIN	540
ERICH1	408
ERN1	637
ETV6	154
EVI2B	959
EWSR1	419
EXOC7	260
FAAP20	368
FAM107B	1476
FAM120AOS	933
FAM133B	1540
FAM177A1	619
FAM204A	409
FAM241A	959
FAM32A	230
FAM50A	212
FAM89B	268
FAU	15326
FAUP4	476
FAXC	876
FBRS	174
FBXL20	277
FBXL3	182
FBXO11	225
FBXO48	2706
FBXO7	280
FBXO9	304
FBXW7	264
FEM1A	2636
FERMT3	325
FGFR1OP2	503
FIS1	553
FKBP1A	553
FKBP8	497
FLNA	804
FLOT2	177
FMN1	1674
FMNL1	646
FNBP1	1154
FNIP1	219
FOS	3135
FOSB	830
FOXN3	480
FOXO3	163
FOXP1	2685
FTH1	6412
FTL	7550
FUS	2234
FXR1	508
FXR2	356
FXYD5	1431
FYTTD1	289
G3BP2	904
GABARAP	522
GABARAPL2	538
GABRD	381
GALNT1	257
GAPDH	3361
GAPVD1	180
GASK1A	10618
GATAD2A	353
GATD1	769
GBF1	641
GCC2	1714
GGNBP2	477
GHITM	820
GIT2	249
GLRX5	296
GLTP	357
GMFG	2156
GNA13	157
GNAI2	1385
GNAI3	365
GNAS	3308
GNB1	459
GNB2	328
GNB5	1008
GNG5	753
GNL3L	1002
GNPTG	611
GOLGA2	358
GOLGA4	715
GOLGB1	1217
GOLM2	217
GOSR1	710
GPATCH2L	304
GPBP1	879
GPBP1L1	250
GPCPD1	184
GPSM2	1072
GPX1	356
GPX4	876
GRB2	580
GRIPAP1	547
GRK2	457
GRK3	806
GRK6	361
GSK3B	293
GSPT1	424
GSTK1	1139
GSTO1	340
GTDC1	955
GTF2I	297
GTPBP4	1873
GUK1	945
GYPC	960
H1-2	299
H2AC18	141
H2AC19	141
H2AZ1	973
H2AZ2	1055
H3-3A	5049
H3-3B	3996
HADHB	235
HAPSTR1	329
HAT1	191
HBA1	5869
HBA2	15717
HBB	23366
HBP1	363
HCLS1	792
HCST	3295
HDGF	244
HECTD1	586
HELZ	405
HERC1	409
HIF1A	263
HINT1	3260
HIPK1	306
HIPK3	151
HLA-A-3	6340
HLA-A-6	6467
HLA-B-1	3540
HLA-B-2	3009
HLA-B-3	2855
HLA-B-5	2737
HLA-DQA1-2	2266
HLA-DQA1-4	2237
HLA-E	1298
HLA-E-1	3658
HLA-E-2	1543
HMGB1	4257
HMGB1P6	471
HMGB2	881
HMGN1	1572
HMGN2	1625
HNRNPA2B1	3960
HNRNPA3	2075
HNRNPC	1584
HNRNPD	941
HNRNPDL	1937
HNRNPF	854
HNRNPH2	206
HNRNPH3	627
HNRNPK	1599
HNRNPM	818
HNRNPU	2122
HNRNPUL1	1627
HOOK3	388
HP1BP3	966
HPCAL1	2029
HPS1	165
HSD17B12	912
HSP90AA1	3991
HSP90AB1	2808
HSPA4L	1303
HSPA9	717
HYCC2	813
ICAM3	857
IDH2	315
IDS	870
IER2	1504
IFI16	815
IFITM2	1488
IFRD1	159
IGBP1	531
IGF2R	1264
IK	739
IL2RG	1220
INTS6	468
IRAG2	160
IRAK4	229
IRF1	2105
IRF2	301
IRF9	742
IRS2	1418
ISCA1	273
ISCU	778
ISG20L2	1426
IST1	204
ITGA1	2613
ITGAL	691
ITM2B	3573
ITPR2	227
ITSN2	426
JAK1	1762
JARID2	179
JMJD1C	719
JOSD1	346
JTB	713
JUNB	3887
JUND	6498
KAT6A	727
KCMF1	418
KCNK6	1957
KCNMB1	845
KDM5A	588
KDM6A	405
KDM6B	315
KDM7A	156
KHDRBS1	726
KIDINS220	1090
KIF2A	1162
KIF5B	542
KLF2	4785
KLF3	741
KLF6	1858
KLHL24	417
KLHL5	442
KMT2C	814
KMT2E	1287
KPNA4	477
KPNB1	655
KRAS	496
KRBA2	1480
KREMEN1	343
L1TD1	1504
LAMP1	357
LAMTOR1	412
LAMTOR4	869
LAMTOR5	435
LAPTM5	1541
LBR	419
LCOR	320
LCP1	1565
LDLR	1464
LIMS1	772
LITAF	886
LMBRD1	241
LNPEP	630
LPGAT1	218
LPIN2	457
LPP	844
LRP10	459
LRRC58	2964
LRRFIP1	1502
LRRFIP2	127
LSM3	559
LYPLA1	282
LYRM7	1120
LYST	239
MAB21L3	10938
MACF1	1961
MACROH2A1	534
MAF1	344
MAP1LC3B	536
MAP2K2	528
MAP2K3	131
MAP3K11	249
MAP3K2	442
MAP3K8	140
MAP4K2	320
MAP4K4	382
MAPK1	203
MAPK1IP1L	322
MAPKAPK2	193
MAPRE1	290
MARCHF6	391
MARK3	700
MAVS	249
MAX	426
MBD2	315
MBD4	263
MBD5	320
MBNL1	1873
MBP	1132
MCL1	807
MDM2	228
MDM4	777
MECP2	548
MED11	356
MED12	514
MED13	256
MED13L	574
MED27	753
MED28	379
MEF2A	188
