gene	count
ABHD17A	6
ABI1	4
ABTB1	6
ACAP2	14
ACER3	22
ACP1	13
ACSL6	47
ACTB	375
ACTG1	128
ACTN1	6
ACTR2	19
ACTR3	26
ADAM10	6
ADAM17	76
ADAR	25
ADD1	16
ADD3	12
ADIPOR1	3
ADSL	28
AFF4	7
AGFG1	3
AGO2	1
AHCTF1	1
AK3	43
AKAP13	24
AKAP8L	3
AKAP9	14
AKIRIN1	10
AKIRIN2	7
AKT3	24
ALDH2	50
ALDOA	6
AMD1	7
ANAPC16	45
ANAPC5	23
ANK2	42
ANKLE2	17
ANKRD11	17
ANKRD12	59
ANKRD13A	6
ANP32A	15
ANP32B	26
ANXA11	13
ANXA5	7
ANXA7	10
AP1M1	30
AP1S2	10
AP2A1	4
AP2M1	6
AP2S1	9
AP3S1	5
APH1A	5
APLP2	4
APOL1	28
ARF1	20
ARF4	6
ARF5	7
ARFGAP2	16
ARGLU1	29
ARHGAP4	7
ARHGAP45	8
ARHGDIA	18
ARHGDIB	60
ARHGEF12	6
ARID1A	10
ARID1B	39
ARID4B	22
ARIH1	10
ARL2	20
ARL6IP1	4
ARL6IP5	20
ARMC10-1	26
ARPC1B	57
ARPC2	80
ARPC3	98
ARPC4	16
ARPC5	15
ARPP19	8
ASAH1	5
ASAP1	4
ASB8	4
ATE1	4
ATF4	15
ATG12	9
ATG2A	10
ATL1	107
ATP11B	2
ATP1A1	9
ATP5F1B	16
ATP5F1D	49
ATP5F1E	119
ATP5ME	17
ATP5MF	18
ATP5MG	78
ATP5MJ	23
ATP5MK	23
ATP5PF	22
ATP6AP2	4
ATP6V0B	12
ATP6V0C	4
ATP6V0D1	2
ATP6V0E1	20
ATP6V1D	4
ATP6V1F	12
ATP6V1G1	32
ATP7A	9
ATP9B	51
ATRX	22
ATXN2	14
ATXN7	10
AZIN1	4
B2M	341
B2M-1	404
B4GALT1	11
BACH1	5
BAG1	3
BAX	10
BAZ1A	4
BAZ2B	39
BBLN	12
BCAP31	8
BECN1	1
BEND7	28
BIN2	4
BIRC2	0
BIRC6	7
BLOC1S1	12
BLOC1S6	51
BLTP1	10
BNIP2	10
BNIP3L	5
BOD1L1	18
BORCS7	12
BPTF	9
BRAF	15
BRD4	12
BRI3	7
BRIP1	88
BRK1	16
BROX	10
BRWD1	7
BSDC1	4
BSG	7
BTF3	66
BTG1	95
BTK	25
BUD31	13
C11orf58	44
C15orf40	39
C19orf53	15
