gene	count
ABHD17A	277
ABI1	88
ABTB1	32
ACAP2	184
ACER3	211
ACP1	105
ACSL6	321
ACTB	2635
ACTG1	1260
ACTN1	163
ACTR2	255
ACTR3	196
ADAM10	150
ADAM17	353
ADAR	405
ADD1	111
ADD3	294
ADIPOR1	43
ADSL	210
AFF4	106
AGFG1	44
AGO2	57
AHCTF1	39
AK3	595
AKAP13	338
AKAP8L	81
AKAP9	298
AKIRIN1	128
AKIRIN2	65
AKT3	415
ALDH2	670
ALDOA	159
AMD1	115
ANAPC16	456
ANAPC5	314
ANK2	764
ANKLE2	288
ANKRD11	367
ANKRD12	866
ANKRD13A	49
ANP32A	150
ANP32B	404
ANXA11	174
ANXA5	119
ANXA7	104
AP1M1	334
AP1S2	61
AP2A1	37
AP2M1	127
AP2S1	92
AP3S1	65
APH1A	63
APLP2	82
APOL1	369
ARF1	294
ARF4	97
ARF5	121
ARFGAP2	175
ARGLU1	432
ARHGAP4	78
ARHGAP45	138
ARHGDIA	237
ARHGDIB	822
ARHGEF12	54
ARID1A	143
ARID1B	372
ARID4B	548
ARIH1	168
ARL2	73
ARL6IP1	180
ARL6IP5	361
ARMC10-1	749
ARPC1B	461
ARPC2	805
ARPC3	645
ARPC4	191
ARPC5	265
ARPP19	101
ASAH1	66
ASAP1	47
ASB8	72
ATE1	103
ATF4	162
ATG12	131
ATG2A	177
ATL1	1538
ATP11B	106
ATP1A1	172
ATP5F1B	194
ATP5F1D	518
ATP5F1E	1478
ATP5ME	264
ATP5MF	203
ATP5MG	1069
ATP5MJ	314
ATP5MK	330
ATP5PF	238
ATP6AP2	148
ATP6V0B	112
ATP6V0C	86
ATP6V0D1	51
ATP6V0E1	196
ATP6V1D	189
ATP6V1F	111
ATP6V1G1	464
ATP7A	74
ATP9B	747
ATRX	283
ATXN2	194
ATXN7	239
AZIN1	66
B2M	7714
B2M-1	10170
B4GALT1	70
BACH1	50
BAG1	79
BAX	137
BAZ1A	129
BAZ2B	275
BBLN	214
BCAP31	109
BECN1	78
BEND7	237
BIN2	236
BIRC2	123
BIRC6	122
BLOC1S1	100
BLOC1S6	753
BLTP1	236
BNIP2	127
BNIP3L	82
BOD1L1	198
BORCS7	221
BPTF	233
BRAF	248
BRD4	120
BRI3	113
BRIP1	597
BRK1	173
BROX	87
BRWD1	129
BSDC1	105
BSG	109
BTF3	1147
BTG1	2825
BTK	296
BUD31	122
C11orf58	614
C15orf40	593
C19orf53	234
C1GALT1	82
C21orf62	506
C2CD3	1670
C2orf68	357
C4orf3	214
C6orf62	101
C9orf78	321
CAB39	59
CACUL1	61
CALM1	1894
CALM2	514
CALM3	174
CAMLG	130
CAP1	174
CAPN1	61
CAPNS1	116
CAPZA1	129
CAPZA2	120
CAPZB	299
CARD16	91
CARD8	80
CARHSP1	85
CASP4	119
CAST	458
CBL	41
CBX3	198
CCDC157	84
CCDC186	129
CCDC30	125
CCDC57	534
CCDC82	117
CCL5	1442
CCL5-1	1442
CCM2	203
CCND3	208
CCNDBP1	156
CCNI	664
CCNL1	691
CCNY	79
CCPG1	55
CD164	176
CD37	437
CD46	163
CD47	192
CD55	202
CD63	190
CD74	464
CD82	691
CDC37	141
CDC42	987
CDC42SE1	173
CDC42SE2	530
CDKL5	91
CDKN1B	268
CDKN2D	204
CDS2	111
CDV3	248
CEACAM22P	213
CELF2	577
CERCAM	298
CERT1	73
CFL1	1013
CFLAR	494
CGGBP1	105
CHCHD2	653
CHD1	341
CHD2	333
CHD4	124
CHD9	61
CHFR	193
CHMP1B	115
CHMP2A	103
CHMP2B	67
CHMP4B	100
CHMP5	48
CHST12	1777
CHURC1	230
CIR1	226
CIRBP	655
CKLF	158
CLEC2B	374
CLINT1	122
CLIP1	262
CLK1	186
CLTA	84
CLTC	60
CMBL	188
CMC2	133
CMIP	74
CMTM6	101
CNBP	417
CNN2	156
CNPY3	74
COA1	114
COMMD6	774
COPA	351
COPE	218
COPS2	110
COQ10B	87
CORO1A	491
COTL1	232
COX17	100
COX4I1	990
COX5B	396
COX6A1	282
COX6B1	424
COX7A2	475
COX7B	268
COX7C	1156
COX8A	327
CPEB4	66
CPT1A	134
CRBN	162
CREB1	69
CREBRF	329
CSDE1	363
CSK	69
CSNK1A1	228
CSNK1D	99
CSNK1G2	105
CSNK2A1	389
CTBS	51
CTCF	107
CTDSP1	86
CTDSP2	45
CTSC	195
CTSS	188
CTSZ	32
CUL3	116
CUL4B	168
CUX1	53
CXCR4	1541
CYB561A3	460
CYB5R3	62
CYB5R4	123
CYBA	712
CYBC1	79
CYLD	398
CYP20A1	177
CYRIB	162
CYTH2	386
DAD1	242
DAPP1	50
DAZAP2	384
DBI	242
DBNL	86
DCAKD	158
DCP2	55
DCUN1D1	34
DCUN1D2	606
DDX17	632
DDX21	378
DDX3X	654
DDX5	1564
DDX6	405
DEK	282
DESI1	100
DGKH	98
DGKZ	154
DHRS7	133
DIAPH1	172
DNAJA1	365
DNAJB1	876
DNAJB6	309
DNAJC21	244
DNAJC7	269
DNM1	69
DNM2	126
DR1	143
DRAP1	212
DSG3	333
DUSP1	1229
DYNLL1	135
DYNLL2	110
DYNLRB1	169
DYNLT3	44
DYRK1A	115
E2F3P2	91
EEF1A1	13312
EEF2	895
EHBP1L1	45
EHD1	87
EIF1	4374
EIF1B	160
EIF2AK1	68
EIF3I	221
EIF4A1	537
EIF4A2	512
EIF4B	452
EIF4EBP2	72
EIF4G2	299
EIF4G3	39
EIF4H	135
EIF5	381
EIF5A	384
ELAPOR1	397
ELAVL1	198
ELF1	264
ELF2	150
ELMO1	86
ELOB	390
EMC10	165
EMC3	96
EMD	90
EMP3	511
ENO1	301
ENSA	151
EP300	135
EPB41	386
EPN1	92
EPS15	166
ERBIN	134
ERICH1	104
ERN1	231
ETV6	35
EVI2B	187
EWSR1	133
EXOC7	64
FAAP20	81
FAM107B	442
FAM120AOS	242
FAM133B	452
FAM177A1	319
FAM204A	104
FAM241A	280
FAM32A	60
FAM50A	72
FAM89B	59
FAU	4222
FAUP4	126
FAXC	266
FBRS	58
FBXL20	100
FBXL3	66
FBXO11	92
FBXO48	570
FBXO7	74
FBXO9	62
FBXW7	108
FEM1A	814
FERMT3	69
FGFR1OP2	90
FIS1	174
FKBP1A	164
FKBP8	143
FLNA	347
FLOT2	55
FMN1	421
FMNL1	192
FNBP1	316
FNIP1	65
FOS	1495
FOSB	403
FOXN3	142
FOXO3	35
FOXP1	546
FTH1	2478
FTL	2221
FUS	646
FXR1	135
FXR2	162
FXYD5	362
FYTTD1	67
G3BP2	281
GABARAP	89
GABARAPL2	178
GABRD	135
GALNT1	70
GAPDH	836
GAPVD1	34
GASK1A	3160
GATAD2A	107
GATD1	272
GBF1	200
GCC2	444
GGNBP2	155
GHITM	226
GIT2	61
GLRX5	79
GLTP	100
GMFG	558
GNA13	47
GNAI2	343
GNAI3	125
GNAS	968
