gene	count
ABHD17A	665
ABI1	217
ABTB1	89
ACAP2	293
ACER3	574
ACP1	345
ACSL6	871
ACTB	10075
ACTG1	4593
ACTN1	263
ACTR2	660
ACTR3	673
ADAM10	201
ADAM17	1047
ADAR	896
ADD1	256
ADD3	509
ADIPOR1	111
ADSL	540
AFF4	240
AGFG1	122
AGO2	152
AHCTF1	112
AK3	1289
AKAP13	788
AKAP8L	147
AKAP9	585
AKIRIN1	328
AKIRIN2	134
AKT3	773
ALDH2	1619
ALDOA	489
AMD1	307
ANAPC16	863
ANAPC5	640
ANK2	1579
ANKLE2	617
ANKRD11	730
ANKRD12	2112
ANKRD13A	116
ANP32A	389
ANP32B	1035
ANXA11	436
ANXA5	486
ANXA7	280
AP1M1	724
AP1S2	106
AP2A1	146
AP2M1	291
AP2S1	292
AP3S1	208
APH1A	174
APLP2	124
APOL1	873
ARF1	659
ARF4	165
ARF5	346
ARFGAP2	492
ARGLU1	1076
ARHGAP4	233
ARHGAP45	402
ARHGDIA	549
ARHGDIB	2532
ARHGEF12	87
ARID1A	325
ARID1B	622
ARID4B	1290
ARIH1	238
ARL2	203
ARL6IP1	538
ARL6IP5	682
ARMC10-1	1312
ARPC1B	1416
ARPC2	2460
ARPC3	1648
ARPC4	552
ARPC5	743
ARPP19	265
ASAH1	148
ASAP1	128
ASB8	195
ATE1	227
ATF4	475
ATG12	305
ATG2A	413
ATL1	3185
ATP11B	216
ATP1A1	420
ATP5F1B	610
ATP5F1D	1238
ATP5F1E	3690
ATP5ME	779
ATP5MF	684
ATP5MG	2712
ATP5MJ	963
ATP5MK	875
ATP5PF	548
ATP6AP2	271
ATP6V0B	238
ATP6V0C	230
ATP6V0D1	123
ATP6V0E1	435
ATP6V1D	464
ATP6V1F	309
ATP6V1G1	940
ATP7A	179
ATP9B	1751
ATRX	596
ATXN2	350
ATXN7	616
AZIN1	144
B2M	26454
B2M-1	7162
B4GALT1	160
BACH1	103
BAG1	253
BAX	446
BAZ1A	313
BAZ2B	698
BBLN	551
