gene	count
ABHD17A	18
ABI1	75
ABTB1	77
ACAP2	210
ACER3	89
ACP1	12
ACSL6	167
ACTB	2482
ACTG1	159
ACTN1	230
ACTR2	338
ACTR3	438
ADAM10	72
ADAM17	222
ADAR	149
ADD1	28
ADD3	59
ADIPOR1	38
ADSL	28
AFF4	67
AGFG1	82
AGO2	50
AHCTF1	83
AK3	185
AKAP13	99
AKAP8L	10
AKAP9	14
AKIRIN1	59
AKIRIN2	87
AKT3	21
ALDH2	323
ALDOA	40
AMD1	14
ANAPC16	45
ANAPC5	47
ANK2	217
ANKLE2	100
ANKRD11	123
ANKRD12	276
ANKRD13A	85
ANP32A	563
ANP32B	24
ANXA11	114
ANXA5	61
ANXA7	43
AP1M1	116
AP1S2	36
AP2A1	51
AP2M1	44
AP2S1	26
AP3S1	55
APH1A	15
APLP2	220
APOL1	97
ARF1	115
ARF4	74
ARF5	39
ARFGAP2	20
ARGLU1	63
ARHGAP4	45
ARHGAP45	46
ARHGDIA	97
ARHGDIB	368
ARHGEF12	17
ARID1A	90
ARID1B	34
ARID4B	247
ARIH1	98
ARL2	8
ARL6IP1	27
ARL6IP5	178
ARMC10-1	42
ARPC1B	185
ARPC2	559
ARPC3	468
ARPC4	81
ARPC5	393
ARPP19	25
ASAH1	419
ASAP1	159
ASB8	26
ATE1	11
ATF4	35
ATG12	58
ATG2A	173
ATL1	557
ATP11B	81
ATP1A1	55
ATP5F1B	22
ATP5F1D	63
ATP5F1E	1050
ATP5ME	38
ATP5MF	19
ATP5MG	214
ATP5MJ	185
ATP5MK	49
ATP5PF	27
ATP6AP2	27
ATP6V0B	234
ATP6V0C	109
ATP6V0D1	119
ATP6V0E1	192
ATP6V1D	87
ATP6V1F	44
ATP6V1G1	145
ATP7A	25
ATP9B	84
ATRX	60
ATXN2	63
ATXN7	53
AZIN1	86
B2M	5957
B2M-1	2188
B4GALT1	108
BACH1	202
BAG1	39
BAX	14
BAZ1A	137
BAZ2B	147
BBLN	35
BCAP31	37
BECN1	13
BEND7	58
BIN2	73
BIRC2	49
BIRC6	37
BLOC1S1	100
BLOC1S6	182
BLTP1	83
BNIP2	141
BNIP3L	77
BOD1L1	198
BORCS7	46
BPTF	43
BRAF	80
BRD4	128
BRI3	613
BRIP1	163
