gene	count
ABHD17A	127
ABI1	73
ABTB1	38
ACAP2	181
ACER3	159
ACP1	76
ACSL6	154
ACTB	8202
ACTG1	2214
ACTN1	79
ACTR2	567
ACTR3	337
ADAM10	198
ADAM17	299
ADAR	228
ADD1	79
ADD3	96
ADIPOR1	64
ADSL	89
AFF4	127
AGFG1	259
AGO2	48
AHCTF1	100
AK3	299
AKAP13	241
AKAP8L	64
AKAP9	129
AKIRIN1	111
AKIRIN2	185
AKT3	107
ALDH2	454
ALDOA	583
AMD1	79
ANAPC16	176
ANAPC5	127
ANK2	283
ANKLE2	161
ANKRD11	243
ANKRD12	383
ANKRD13A	85
ANP32A	156
ANP32B	275
ANXA11	173
ANXA5	596
ANXA7	82
AP1M1	166
AP1S2	340
AP2A1	105
AP2M1	161
AP2S1	372
AP3S1	98
APH1A	83
APLP2	897
APOL1	173
ARF1	358
ARF4	107
ARF5	223
ARFGAP2	112
ARGLU1	238
ARHGAP4	120
ARHGAP45	93
ARHGDIA	305
ARHGDIB	879
ARHGEF12	34
ARID1A	73
ARID1B	103
ARID4B	271
ARIH1	78
ARL2	41
ARL6IP1	124
ARL6IP5	399
ARMC10-1	214
ARPC1B	1192
ARPC2	1355
ARPC3	1608
ARPC4	315
ARPC5	653
ARPP19	75
ASAH1	1008
ASAP1	130
ASB8	64
ATE1	38
ATF4	321
ATG12	83
ATG2A	57
ATL1	655
ATP11B	70
ATP1A1	197
ATP5F1B	239
ATP5F1D	297
ATP5F1E	1839
ATP5ME	212
ATP5MF	378
ATP5MG	839
ATP5MJ	462
ATP5MK	355
ATP5PF	252
ATP6AP2	237
ATP6V0B	548
ATP6V0C	557
ATP6V0D1	252
ATP6V0E1	365
ATP6V1D	115
ATP6V1F	375
ATP6V1G1	427
ATP7A	39
ATP9B	290
ATRX	120
ATXN2	59
ATXN7	79
AZIN1	120
B2M	9869
B2M-1	1513
B4GALT1	96
BACH1	484
BAG1	112
BAX	210
BAZ1A	111
BAZ2B	160
BBLN	132
BCAP31	171
BECN1	66
BEND7	102
BIN2	183
BIRC2	71
BIRC6	102
BLOC1S1	368
BLOC1S6	414
BLTP1	111
BNIP2	283
BNIP3L	152
BOD1L1	318
BORCS7	180
BPTF	82
BRAF	102
BRD4	125
BRI3	1168
BRIP1	194
BRK1	262
BROX	74
BRWD1	36
BSDC1	53
BSG	133
BTF3	749
BTG1	744
BTK	185
BUD31	128
C11orf58	298
C15orf40	352
C19orf53	166
C1GALT1	55
C21orf62	198
C2CD3	1287
C2orf68	142
C4orf3	229
C6orf62	96
C9orf78	248
CAB39	72
CACUL1	79
CALM1	1162
CALM2	868
CALM3	295
CAMLG	61
CAP1	469
CAPN1	63
CAPNS1	247
