gene	count
ABHD17A	8
ABI1	8
ABTB1	71
ACAP2	12
ACER3	2
ACP1	331
ACSL6	116
ACTB	428
ACTG1	31
ACTN1	12
ACTR2	4
ACTR3	121
ADAM10	10
ADAM17	5
ADAR	30
ADD1	63
ADD3	14
ADIPOR1	651
ADSL	6
AFF4	7
AGFG1	7
AGO2	33
AHCTF1	5
AK3	27
AKAP13	11
AKAP8L	72
AKAP9	73
AKIRIN1	26
AKIRIN2	37
AKT3	20
ALDH2	27
ALDOA	12
AMD1	14
ANAPC16	39
ANAPC5	5
ANK2	28
ANKLE2	2
ANKRD11	17
ANKRD12	39
ANKRD13A	7
ANP32A	5
ANP32B	502
ANXA11	6
ANXA5	1
ANXA7	75
AP1M1	11
AP1S2	4
AP2A1	86
AP2M1	151
AP2S1	130
AP3S1	0
APH1A	3
APLP2	29
APOL1	12
ARF1	174
ARF4	137
ARF5	8
ARFGAP2	15
ARGLU1	31
ARHGAP4	3
ARHGAP45	3
ARHGDIA	6
ARHGDIB	28
ARHGEF12	146
ARID1A	11
ARID1B	11
ARID4B	56
ARIH1	35
ARL2	5
ARL6IP1	166
ARL6IP5	20
ARMC10-1	21
ARPC1B	29
ARPC2	30
ARPC3	75
ARPC4	17
ARPC5	17
ARPP19	9
ASAH1	53
ASAP1	86
ASB8	20
ATE1	4
ATF4	39
ATG12	9
ATG2A	10
ATL1	40
ATP11B	9
ATP1A1	7
ATP5F1B	211
ATP5F1D	41
ATP5F1E	2427
ATP5ME	21
ATP5MF	141
ATP5MG	331
ATP5MJ	22
ATP5MK	37
ATP5PF	82
ATP6AP2	28
ATP6V0B	42
ATP6V0C	288
ATP6V0D1	13
ATP6V0E1	55
ATP6V1D	115
ATP6V1F	17
ATP6V1G1	25
ATP7A	24
ATP9B	16
ATRX	51
ATXN2	7
ATXN7	20
AZIN1	12
B2M	646
B2M-1	125
B4GALT1	2
BACH1	26
BAG1	327
BAX	10
BAZ1A	11
BAZ2B	15
BBLN	21
BCAP31	4
BECN1	17
BEND7	11
BIN2	5
BIRC2	297
BIRC6	3
BLOC1S1	45
BLOC1S6	67
BLTP1	5
BNIP2	8
BNIP3L	2735
BOD1L1	9
BORCS7	11
BPTF	60
BRAF	17
