gene	count
ABHD17A	33
ABI1	41
ABTB1	16
ACAP2	68
ACER3	110
ACP1	52
ACSL6	133
ACTB	868
ACTG1	375
ACTN1	19
ACTR2	115
ACTR3	122
ADAM10	35
ADAM17	227
ADAR	124
ADD1	75
ADD3	84
ADIPOR1	12
ADSL	104
AFF4	48
AGFG1	17
AGO2	25
AHCTF1	17
AK3	172
AKAP13	138
AKAP8L	18
AKAP9	132
AKIRIN1	29
AKIRIN2	24
AKT3	170
ALDH2	255
ALDOA	37
AMD1	26
ANAPC16	181
ANAPC5	92
ANK2	254
ANKLE2	100
ANKRD11	95
ANKRD12	299
ANKRD13A	39
ANP32A	71
ANP32B	108
ANXA11	44
ANXA5	35
ANXA7	41
AP1M1	105
AP1S2	43
AP2A1	14
AP2M1	37
AP2S1	23
AP3S1	18
APH1A	35
APLP2	38
APOL1	148
ARF1	60
ARF4	21
ARF5	21
ARFGAP2	89
ARGLU1	203
ARHGAP4	26
ARHGAP45	52
ARHGDIA	37
ARHGDIB	264
ARHGEF12	22
ARID1A	55
ARID1B	188
ARID4B	160
ARIH1	45
ARL2	50
ARL6IP1	37
ARL6IP5	96
ARMC10-1	205
ARPC1B	164
ARPC2	278
ARPC3	396
ARPC4	72
ARPC5	101
ARPP19	36
ASAH1	49
ASAP1	13
ASB8	27
ATE1	29
ATF4	49
ATG12	36
ATG2A	41
ATL1	521
ATP11B	24
ATP1A1	36
ATP5F1B	61
ATP5F1D	186
ATP5F1E	494
ATP5ME	95
ATP5MF	71
ATP5MG	297
ATP5MJ	92
ATP5MK	98
ATP5PF	69
ATP6AP2	26
ATP6V0B	44
ATP6V0C	22
ATP6V0D1	32
ATP6V0E1	88
ATP6V1D	46
ATP6V1F	45
ATP6V1G1	176
ATP7A	48
ATP9B	305
ATRX	120
ATXN2	73
ATXN7	48
AZIN1	16
B2M	2587
B2M-1	881
B4GALT1	49
BACH1	37
BAG1	28
BAX	31
BAZ1A	41
BAZ2B	107
BBLN	50
BCAP31	38
BECN1	16
BEND7	91
BIN2	38
BIRC2	17
BIRC6	42
BLOC1S1	68
BLOC1S6	322
BLTP1	97
BNIP2	42
BNIP3L	21
BOD1L1	128
BORCS7	64
BPTF	125
BRAF	83
BRD4	63
BRI3	22
BRIP1	299
BRK1	90
BROX	19
BRWD1	25
BSDC1	39
BSG	22
BTF3	383
BTG1	797
BTK	144
BUD31	39
C11orf58	216
C15orf40	212
C19orf53	82
C1GALT1	28
C21orf62	180
C2CD3	717
C2orf68	235
C4orf3	87
C6orf62	47
C9orf78	60
CAB39	18
CACUL1	20
CALM1	246
CALM2	185
CALM3	32
CAMLG	47
CAP1	67
CAPN1	22
CAPNS1	33
CAPZA1	80
CAPZA2	39
CAPZB	88
CARD16	30
CARD8	16
CARHSP1	33
CASP4	58
CAST	128
CBL	29
CBX3	60
CCDC157	25
CCDC186	53
CCDC30	38
CCDC57	155
CCDC82	46
CCL5	259
CCL5-1	259
CCM2	56
CCND3	49
CCNDBP1	66
CCNI	270
CCNL1	166
CCNY	21
CCPG1	25
CD164	65
CD37	986
CD46	55
CD47	78
CD55	96
CD63	40
CD74	2826
CD82	274
CDC37	49
CDC42	285
CDC42SE1	78
CDC42SE2	84
CDKL5	16
CDKN1B	52
CDKN2D	51
CDS2	25
CDV3	65
CEACAM22P	74
CELF2	133
CERCAM	82
CERT1	28
CFL1	277
CFLAR	120
CGGBP1	38
CHCHD2	182
CHD1	81
CHD2	150
CHD4	53
CHD9	46
CHFR	38
CHMP1B	34
CHMP2A	34
CHMP2B	35
CHMP4B	43
CHMP5	26
CHST12	777
CHURC1	78
CIR1	71
CIRBP	183
CKLF	20
CLEC2B	28
CLINT1	40
CLIP1	102
CLK1	48
CLTA	40
CLTC	20
CMBL	53
CMC2	38
CMIP	15
CMTM6	74
CNBP	135
CNN2	72
CNPY3	51
COA1	53
COMMD6	281
COPA	62
COPE	50
COPS2	22
COQ10B	26
CORO1A	220
COTL1	77
COX17	54
COX4I1	304
COX5B	129
COX6A1	99
COX6B1	126
COX7A2	109
COX7B	72
COX7C	359
COX8A	71
CPEB4	13
CPT1A	75
CRBN	44
CREB1	40
CREBRF	77
CSDE1	110
CSK	59
CSNK1A1	79
CSNK1D	31
CSNK1G2	33
CSNK2A1	119
CTBS	12
CTCF	35
CTDSP1	35
CTDSP2	24
CTSC	12
