gene	count
ABHD17A	0
ABI1	2
ABTB1	33
ACAP2	1
ACER3	2
ACP1	78
ACSL6	7
ACTB	135
ACTG1	2
ACTN1	0
ACTR2	3
ACTR3	16
ADAM10	3
ADAM17	2
ADAR	13
ADD1	23
ADD3	0
ADIPOR1	268
ADSL	0
AFF4	1
AGFG1	1
AGO2	23
AHCTF1	0
AK3	6
AKAP13	2
AKAP8L	16
AKAP9	23
AKIRIN1	12
AKIRIN2	5
AKT3	4
ALDH2	9
ALDOA	2
AMD1	0
ANAPC16	12
ANAPC5	1
ANK2	2
ANKLE2	3
ANKRD11	1
ANKRD12	10
ANKRD13A	2
ANP32A	1
ANP32B	74
ANXA11	0
ANXA5	0
ANXA7	27
AP1M1	6
AP1S2	2
AP2A1	36
AP2M1	49
AP2S1	49
AP3S1	0
APH1A	0
APLP2	19
APOL1	3
ARF1	58
ARF4	36
ARF5	4
ARFGAP2	2
ARGLU1	2
ARHGAP4	2
ARHGAP45	0
ARHGDIA	1
ARHGDIB	3
ARHGEF12	65
ARID1A	2
ARID1B	1
ARID4B	14
ARIH1	11
ARL2	1
ARL6IP1	36
ARL6IP5	2
ARMC10-1	0
ARPC1B	0
ARPC2	1
ARPC3	20
ARPC4	7
ARPC5	4
ARPP19	2
ASAH1	10
ASAP1	17
ASB8	2
ATE1	2
ATF4	6
ATG12	1
ATG2A	15
ATL1	4
ATP11B	0
ATP1A1	1
ATP5F1B	66
ATP5F1D	12
ATP5F1E	983
ATP5ME	14
ATP5MF	65
ATP5MG	71
ATP5MJ	3
ATP5MK	6
ATP5PF	19
ATP6AP2	10
ATP6V0B	15
ATP6V0C	101
ATP6V0D1	2
ATP6V0E1	5
ATP6V1D	36
ATP6V1F	14
ATP6V1G1	7
ATP7A	3
ATP9B	10
ATRX	17
ATXN2	2
ATXN7	2
AZIN1	2
B2M	34
B2M-1	17
B4GALT1	0
BACH1	3
BAG1	157
BAX	0
BAZ1A	3
BAZ2B	3
BBLN	6
BCAP31	2
BECN1	13
BEND7	0
BIN2	2
BIRC2	39
BIRC6	2
BLOC1S1	23
BLOC1S6	18
BLTP1	4
BNIP2	1
BNIP3L	852
BOD1L1	2
BORCS7	3
BPTF	22
BRAF	4
BRD4	32
BRI3	3
BRIP1	9
BRK1	12
BROX	10
BRWD1	0
BSDC1	20
BSG	292
BTF3	219
BTG1	5
BTK	1
BUD31	5
C11orf58	24
C15orf40	8
C19orf53	5
C1GALT1	6
C21orf62	3
C2CD3	22
C2orf68	5
C4orf3	8
C6orf62	39
C9orf78	166
CAB39	2
CACUL1	1
CALM1	11
CALM2	20
CALM3	16
CAMLG	0
CAP1	1
CAPN1	0
CAPNS1	3
CAPZA1	0
CAPZA2	7
CAPZB	3
CARD16	0
CARD8	1
CARHSP1	6
CASP4	0
CAST	1
CBL	0
CBX3	1
CCDC157	1
CCDC186	7
CCDC30	0
CCDC57	2
CCDC82	0
CCL5	2
CCL5-1	2
CCM2	1
CCND3	1
CCNDBP1	170
CCNI	154
CCNL1	6
CCNY	1
CCPG1	2
CD164	10
CD37	3
CD46	2
CD47	1
CD55	18
CD63	1
CD74	6
CD82	6
CDC37	5
CDC42	18
CDC42SE1	0
CDC42SE2	0
CDKL5	4
CDKN1B	25
CDKN2D	55
CDS2	1
CDV3	14
CEACAM22P	1
CELF2	0
CERCAM	1
CERT1	0
CFL1	4
CFLAR	0
CGGBP1	10
CHCHD2	65
CHD1	1
CHD2	20
CHD4	1
CHD9	2
CHFR	3
CHMP1B	0
CHMP2A	21
CHMP2B	0
CHMP4B	16
CHMP5	8
CHST12	12
CHURC1	5
CIR1	13
CIRBP	5
CKLF	0
CLEC2B	4
CLINT1	2
CLIP1	1
CLK1	5
CLTA	1
CLTC	10
CMBL	3
CMC2	4
CMIP	2
CMTM6	0
CNBP	28
CNN2	1
CNPY3	1
COA1	0
COMMD6	0
COPA	3
COPE	17
COPS2	12
COQ10B	3
CORO1A	2
COTL1	2
COX17	18
COX4I1	6
COX5B	19
COX6A1	23
COX6B1	58
COX7A2	33
COX7B	54
COX7C	51
COX8A	2
CPEB4	114
CPT1A	13
CRBN	2
CREB1	5
CREBRF	10
CSDE1	59
CSK	0
CSNK1A1	20
CSNK1D	3
CSNK1G2	0
CSNK2A1	8
CTBS	0
CTCF	2
CTDSP1	2
CTDSP2	12
CTSC	0
CTSS	4
CTSZ	6
CUL3	5
CUL4B	1
CUX1	0
CXCR4	5
CYB561A3	3
CYB5R3	17
CYB5R4	3
CYBA	3
CYBC1	0
CYLD	9
CYP20A1	1
CYRIB	3
CYTH2	3
DAD1	9
DAPP1	0
DAZAP2	12
DBI	1
DBNL	0
DCAKD	0
DCP2	7
DCUN1D1	58
DCUN1D2	11
DDX17	12
DDX21	2
DDX3X	40
DDX5	16
DDX6	17
DEK	2
DESI1	11
DGKH	1
DGKZ	0
DHRS7	0
DIAPH1	1
DNAJA1	26
DNAJB1	6
DNAJB6	15
DNAJC21	4
DNAJC7	0
DNM1	0
DNM2	2
DR1	9
DRAP1	14
DSG3	2
DUSP1	3
DYNLL1	58
DYNLL2	7
DYNLRB1	19
DYNLT3	0
DYRK1A	9
E2F3P2	2
EEF1A1	60
EEF2	52
EHBP1L1	9
EHD1	2
EIF1	236
EIF1B	209
EIF2AK1	190
EIF3I	2
EIF4A1	1
EIF4A2	5
EIF4B	6
EIF4EBP2	6
EIF4G2	8
EIF4G3	0
EIF4H	0
EIF5	47
EIF5A	45
ELAPOR1	2
ELAVL1	2
ELF1	3
ELF2	3
ELMO1	0
ELOB	220
EMC10	1
EMC3	133
EMD	0
EMP3	2
ENO1	1
ENSA	7
EP300	15
EPB41	356
EPN1	8
EPS15	0
ERBIN	5
ERICH1	0
ERN1	1
ETV6	0
EVI2B	0
EWSR1	2
EXOC7	5
FAAP20	1
FAM107B	1
FAM120AOS	6
FAM133B	7
FAM177A1	2
FAM204A	10
FAM241A	1
FAM32A	0
FAM50A	3
FAM89B	5
FAU	70
FAUP4	4
FAXC	0
FBRS	4
FBXL20	8
FBXL3	0
FBXO11	2
FBXO48	5
FBXO7	351
FBXO9	172
FBXW7	3
FEM1A	15
FERMT3	0
FGFR1OP2	102
FIS1	153
FKBP1A	0
FKBP8	579
FLNA	2
FLOT2	6
FMN1	5
FMNL1	0
FNBP1	1
FNIP1	1
FOS	13
FOSB	2
FOXN3	9
FOXO3	125
FOXP1	18
FTH1	941
FTL	1187
FUS	3
FXR1	7
FXR2	2
FXYD5	1
FYTTD1	1
G3BP2	5
GABARAP	101
GABARAPL2	486
GABRD	0
GALNT1	2
GAPDH	10
GAPVD1	34
GASK1A	35
GATAD2A	6
GATD1	3
GBF1	2
GCC2	4
GGNBP2	0
GHITM	77
GIT2	0
GLRX5	604
GLTP	0
GMFG	2
GNA13	1
GNAI2	2
GNAI3	4
GNAS	198
GNB1	0
GNB2	11
GNB5	0
GNG5	12
GNL3L	7
GNPTG	2
GOLGA2	0
GOLGA4	16
GOLGB1	8
GOLM2	0
GOSR1	2
GPATCH2L	1
GPBP1	3
GPBP1L1	16
GPCPD1	12
GPSM2	1
GPX1	428
GPX4	7
GRB2	3
GRIPAP1	2
GRK2	0
GRK3	1
GRK6	8
GSK3B	0
GSPT1	315
GSTK1	7
GSTO1	15
GTDC1	1
GTF2I	14
GTPBP4	2
GUK1	705
GYPC	703
H1-2	36
H2AC18	0
H2AC19	0
H2AZ1	1
H2AZ2	7
H3-3A	59
H3-3B	13
HADHB	7
HAPSTR1	3
HAT1	0
HBA1	244837
HBA2	450645
HBB	572811
HBP1	10
HCLS1	1
HCST	0
HDGF	64
HECTD1	6
HELZ	8
HERC1	24
HIF1A	0
HINT1	4
HIPK1	32
HIPK3	1
HLA-A-3	19
HLA-A-6	19
HLA-B-1	0
HLA-B-2	1
HLA-B-3	1
HLA-B-5	0
HLA-DQA1-2	6
HLA-DQA1-4	6
HLA-E	1
HLA-E-1	1
HLA-E-2	1
HMGB1	14
HMGB1P6	2
HMGB2	8
HMGN1	0
HMGN2	3
HNRNPA2B1	19
HNRNPA3	11
HNRNPC	11
HNRNPD	5
HNRNPDL	1
HNRNPF	3
HNRNPH2	0
HNRNPH3	2
HNRNPK	56
HNRNPM	4
HNRNPU	5
HNRNPUL1	6
HOOK3	0
HP1BP3	3
HPCAL1	5
HPS1	30
HSD17B12	5
HSP90AA1	19
HSP90AB1	48
HSPA4L	2
HSPA9	1
HYCC2	3
ICAM3	1
IDH2	2
IDS	1
IER2	3
IFI16	1
IFITM2	2
IFRD1	2
IGBP1	6
