gene	count
ABHD17A	29
ABI1	10
ABTB1	13
ACAP2	1
ACER3	8
ACP1	18
ACSL6	0
ACTB	1253
ACTG1	303
ACTN1	79
ACTR2	7
ACTR3	24
ADAM10	4
ADAM17	3
ADAR	1
ADD1	3
ADD3	26
ADIPOR1	29
ADSL	0
AFF4	1
AGFG1	2
AGO2	0
AHCTF1	18
AK3	4
AKAP13	1
AKAP8L	4
AKAP9	18
AKIRIN1	9
AKIRIN2	32
AKT3	0
ALDH2	1
ALDOA	32
AMD1	21
ANAPC16	8
ANAPC5	25
ANK2	0
ANKLE2	2
ANKRD11	10
ANKRD12	1
ANKRD13A	2
ANP32A	4
ANP32B	30
ANXA11	14
ANXA5	3
ANXA7	12
AP1M1	2
AP1S2	20
AP2A1	1
AP2M1	22
AP2S1	38
AP3S1	3
APH1A	4
APLP2	1
APOL1	0
ARF1	74
ARF4	16
ARF5	22
ARFGAP2	2
ARGLU1	4
ARHGAP4	2
ARHGAP45	12
ARHGDIA	8
ARHGDIB	90
ARHGEF12	10
ARID1A	5
ARID1B	2
ARID4B	3
ARIH1	0
ARL2	8
ARL6IP1	8
ARL6IP5	71
ARMC10-1	2
ARPC1B	311
ARPC2	57
ARPC3	34
ARPC4	54
ARPC5	88
ARPP19	8
ASAH1	29
ASAP1	24
ASB8	9
ATE1	8
ATF4	34
ATG12	0
ATG2A	0
ATL1	9
ATP11B	2
ATP1A1	2
ATP5F1B	6
ATP5F1D	10
ATP5F1E	95
ATP5ME	5
ATP5MF	9
ATP5MG	14
ATP5MJ	34
ATP5MK	9
ATP5PF	13
ATP6AP2	8
ATP6V0B	4
ATP6V0C	10
ATP6V0D1	5
ATP6V0E1	43
ATP6V1D	1
ATP6V1F	9
ATP6V1G1	7
ATP7A	0
ATP9B	2
ATRX	1
ATXN2	2
ATXN7	1
AZIN1	2
B2M	1199
B2M-1	84
B4GALT1	5
BACH1	4
BAG1	3
BAX	7
BAZ1A	2
BAZ2B	3
BBLN	59
BCAP31	23
BECN1	2
BEND7	1
BIN2	58
BIRC2	2
BIRC6	2
BLOC1S1	11
BLOC1S6	19
BLTP1	1
BNIP2	24
BNIP3L	19
BOD1L1	1
BORCS7	0
BPTF	4
BRAF	0
BRD4	1
BRI3	1
BRIP1	2
BRK1	42
BROX	8
BRWD1	4
BSDC1	4
BSG	8
BTF3	7
BTG1	1
BTK	18
BUD31	1
C11orf58	13
C15orf40	2
C19orf53	3
C1GALT1	8
C21orf62	1
C2CD3	16
C2orf68	5
C4orf3	22
C6orf62	9
C9orf78	3
CAB39	9
CACUL1	1
CALM1	101
CALM2	33
CALM3	155
CAMLG	2
CAP1	40
CAPN1	23
CAPNS1	33
CAPZA1	7
CAPZA2	72
CAPZB	68
CARD16	4
CARD8	2
CARHSP1	0
CASP4	13
CAST	1
CBL	5
CBX3	7
CCDC157	1
CCDC186	0
CCDC30	2
CCDC57	14
CCDC82	2
CCL5	185
CCL5-1	185
CCM2	5
CCND3	58
CCNDBP1	8
