gene	count
ABHD17A	87
ABI1	18
ABTB1	18
ACAP2	46
ACER3	108
ACP1	58
ACSL6	159
ACTB	1860
ACTG1	753
ACTN1	31
ACTR2	88
ACTR3	125
ADAM10	30
ADAM17	284
ADAR	131
ADD1	39
ADD3	99
ADIPOR1	12
ADSL	122
AFF4	28
AGFG1	13
AGO2	19
AHCTF1	7
AK3	222
AKAP13	79
AKAP8L	20
AKAP9	95
AKIRIN1	39
AKIRIN2	19
AKT3	140
ALDH2	187
ALDOA	101
AMD1	35
ANAPC16	150
ANAPC5	85
ANK2	207
ANKLE2	73
ANKRD11	79
ANKRD12	284
ANKRD13A	13
ANP32A	48
ANP32B	152
ANXA11	75
ANXA5	66
ANXA7	47
AP1M1	93
AP1S2	28
AP2A1	21
AP2M1	58
AP2S1	34
AP3S1	17
APH1A	32
APLP2	12
APOL1	107
ARF1	103
ARF4	34
ARF5	36
ARFGAP2	42
ARGLU1	146
ARHGAP4	28
ARHGAP45	50
ARHGDIA	77
ARHGDIB	361
ARHGEF12	12
ARID1A	33
ARID1B	99
ARID4B	95
ARIH1	21
ARL2	57
ARL6IP1	65
ARL6IP5	177
ARMC10-1	123
ARPC1B	232
ARPC2	359
ARPC3	276
ARPC4	66
ARPC5	115
ARPP19	25
ASAH1	23
ASAP1	19
ASB8	20
ATE1	27
ATF4	37
ATG12	41
ATG2A	44
ATL1	399
ATP11B	16
ATP1A1	64
ATP5F1B	106
ATP5F1D	172
ATP5F1E	611
ATP5ME	161
ATP5MF	128
ATP5MG	372
ATP5MJ	125
ATP5MK	158
ATP5PF	94
ATP6AP2	53
ATP6V0B	44
ATP6V0C	20
ATP6V0D1	22
ATP6V0E1	96
ATP6V1D	31
ATP6V1F	48
ATP6V1G1	142
ATP7A	30
ATP9B	254
ATRX	79
ATXN2	56
ATXN7	50
AZIN1	6
B2M	2565
B2M-1	2894
B4GALT1	25
BACH1	2
BAG1	34
BAX	42
BAZ1A	40
BAZ2B	137
BBLN	62
BCAP31	48
BECN1	21
BEND7	91
BIN2	83
BIRC2	21
BIRC6	49
BLOC1S1	54
BLOC1S6	156
BLTP1	77
BNIP2	31
BNIP3L	26
BOD1L1	57
BORCS7	50
BPTF	84
BRAF	35
BRD4	34
BRI3	35
BRIP1	302
BRK1	69
BROX	27
BRWD1	34
BSDC1	17
BSG	43
BTF3	456
BTG1	376
BTK	70
BUD31	20
C11orf58	218
C15orf40	120
C19orf53	116
C1GALT1	18
C21orf62	137
C2CD3	623
C2orf68	228
C4orf3	100
C6orf62	44
C9orf78	106
CAB39	22
CACUL1	16
CALM1	565
CALM2	155
CALM3	75
CAMLG	48
CAP1	75
CAPN1	21
CAPNS1	45
CAPZA1	69
CAPZA2	47
CAPZB	141
CARD16	41
CARD8	36
CARHSP1	47
CASP4	40
CAST	153
CBL	11
CBX3	91
CCDC157	22
CCDC186	34
CCDC30	37
CCDC57	173
CCDC82	20
CCL5	419
CCL5-1	419
CCM2	46
CCND3	91
CCNDBP1	43
CCNI	218
CCNL1	179
CCNY	18
CCPG1	15
CD164	64
CD37	139
CD46	44
CD47	88
CD55	30
CD63	74
CD74	91
CD82	134
CDC37	57
CDC42	341
CDC42SE1	76
CDC42SE2	154
CDKL5	24
CDKN1B	67
CDKN2D	83
CDS2	25
CDV3	80
CEACAM22P	59
CELF2	133
CERCAM	56
CERT1	16
CFL1	504
CFLAR	139
CGGBP1	39
CHCHD2	283
CHD1	37
CHD2	73
CHD4	32
CHD9	29
CHFR	58
CHMP1B	18
CHMP2A	56
CHMP2B	16
CHMP4B	30
CHMP5	23
CHST12	646
CHURC1	89
CIR1	39
CIRBP	159
CKLF	58
CLEC2B	88
CLINT1	37
CLIP1	101
CLK1	45
CLTA	41
CLTC	22
CMBL	32
CMC2	22
CMIP	11
CMTM6	38
CNBP	164
CNN2	106
CNPY3	26
COA1	31
