miRNA	raw_p_value	t_statistic	bonferroni_adj_p	BY_adj_p	significant_bonferroni	significant_BY
hsa-let-7a	0.0660510700148134	-1.98220052658135	1	0.897357172022713	no	no
hsa-let-7b	0.0416025494776501	-2.19819262702665	1	0.721122676518273	no	no
hsa-let-7b*	0.101715382121869	-1.75793241488318	1	1	no	no
hsa-let-7c	0.0800761229769024	-1.88216989067515	1	0.988819563145073	no	no
hsa-let-7d	0.0108749326559905	-2.8395541530967	1	0.341659733938976	no	no
hsa-let-7d*	0.0541963826251382	-2.13272003331744	1	0.813228701607221	no	no
hsa-let-7e	0.00995186075776381	-3.04519983668124	1	0.333503377599659	no	no
hsa-let-7f	0.0996288594618474	-1.75061992730109	1	1	no	no
hsa-let-7g	0.0123643122128435	-2.87285445594148	1	0.355155969755687	no	no
hsa-let-7i	0.00900194449805661	-2.98986932119395	1	0.312072524006969	no	no
hsa-let-7i*	0.125563057765306	-1.63333208814011	1	1	no	no
hsa-miR-1	0.274935807561811	-1.12836253813433	1	1	no	no
hsa-miR-101	0.113723966572786	-1.66479711885744	1	1	no	no
hsa-miR-103	0.00449861354921257	-3.36902400208978	0.787257371112199	0.240847545799728	no	no
hsa-miR-103-2*	0.494606703798868	-0.705201453993586	1	1	no	no
hsa-miR-106a	0.00387779746604439	-3.43571614419039	0.678614556557768	0.240847545799728	no	no
hsa-miR-106b	0.170142335675942	-1.43116218046523	1	1	no	no
hsa-miR-106b*	0.00167019727393111	-3.77253269550192	0.292284522937945	0.202375263235428	no	no
hsa-miR-107	0.00292561447268394	-3.53625877757965	0.51198253271969	0.240847545799728	no	no
hsa-miR-10a	0.0480130223123482	2.13093018581104	1	0.779508336353024	no	no
hsa-miR-10b	0.420136193849309	-0.825139699792001	1	1	no	no
hsa-miR-122	0.581165303351477	-0.563414278579126	1	1	no	no
hsa-miR-125a-5p	0.0699394883377235	-1.92688107380659	1	0.925179623081227	no	no
hsa-miR-125b	0.0166321589707881	-2.64244932215001	1	0.398122330267661	no	no
hsa-miR-126	0.035017609540513	-2.2954274132763	1	0.664244285271901	no	no
hsa-miR-127-3p	0.0838481197636788	-1.83028085996267	1	1	no	no
hsa-miR-128	0.00590959275443427	-3.34516918909399	1	0.247550331517746	no	no
hsa-miR-130a	0.00160722558962776	-3.85480638058162	0.281264478184857	0.202375263235428	no	no
hsa-miR-132	0.169443218891333	-1.43152774789805	1	1	no	no
hsa-miR-133a	0.243466654574362	-1.21096668311604	1	1	no	no
hsa-miR-133b	0.361447213737299	-0.937215874832656	1	1	no	no
hsa-miR-136	0.236046003126455	1.2482034196969	1	1	no	no
hsa-miR-139-5p	0.208179893588242	-1.3123556211756	1	1	no	no
hsa-miR-140-3p	0.0149544242446582	-2.71121419012634	1	0.379650107616689	no	no
hsa-miR-140-5p	0.291600880274775	-1.08666128357761	1	1	no	no
hsa-miR-142-3p	0.674280123469104	-0.427761521360149	1	1	no	no
hsa-miR-142-5p	0.0213946935298966	-2.69901179708389	1	0.488844342914623	no	no
hsa-miR-143	0.189096716684106	-1.37420080125402	1	1	no	no
hsa-miR-144	0.341906388796688	-0.976398976314399	1	1	no	no
hsa-miR-144*	0.626910540881644	-0.494746453357489	1	1	no	no
hsa-miR-145	0.074141637652668	-1.94895116022898	1	0.955618991949854	no	no
hsa-miR-146a	0.0651665675163594	-1.9735261113648	1	0.897357172022713	no	no
hsa-miR-148a	0.0578516446045922	-2.03140938780362	1	0.819170985161145	no	no
hsa-miR-148b	0.074045662211035	-1.90015829505485	1	0.955618991949854	no	no
hsa-miR-150	0.722222098714736	0.361913152986409	1	1	no	no
hsa-miR-151-3p	0.627065000980714	-0.496844913179408	1	1	no	no
hsa-miR-151-5p	0.0378859448179618	-2.26015780051332	1	0.70286147417076	no	no
hsa-miR-152	0.234165043245797	-1.23179529351223	1	1	no	no
hsa-miR-154	0.416320228677193	-0.83358489550055	1	1	no	no
hsa-miR-155	0.18845804394124	-1.37246716491011	1	1	no	no
hsa-miR-15a	0.0104277115068005	-2.92789509910731	1	0.338177348013236	no	no
hsa-miR-15b	0.118520164275333	-1.66389626423782	1	1	no	no
hsa-miR-15b*	0.012288637637511	-2.83167583986734	1	0.355155969755687	no	no
hsa-miR-16	0.0070114458868259	-3.08511244429292	1	0.251748421228245	no	no
hsa-miR-16-2*	0.0669631826851018	-1.95052582115076	1	0.897618973733414	no	no
hsa-miR-17	0.00634607045127492	-3.23998547881191	1	0.251748421228245	no	no
hsa-miR-181a	0.0786210378870105	-1.86612347437126	1	0.988020569366386	no	no
hsa-miR-182	0.868578723082985	-0.168372404919928	1	1	no	no
hsa-miR-185	0.248378725380588	-1.19374978788209	1	1	no	no
hsa-miR-186	0.261192363842462	-1.16028733477689	1	1	no	no
hsa-miR-18a	0.0550215865361834	-2.05191059778364	1	0.813469729461235	no	no
hsa-miR-18a*	0.0153977559086391	-2.69986314787513	1	0.379650107616689	no	no
hsa-miR-18b	0.140924340907884	-1.54397240236961	1	1	no	no
hsa-miR-191	0.525771584720312	-0.648025779690649	1	1	no	no
hsa-miR-192	0.238094684766787	-1.22132286321849	1	1	no	no
hsa-miR-193b	0.255318431015299	-1.18508959568052	1	1	no	no
hsa-miR-194	0.134005237742045	-1.57002773940267	1	1	no	no
hsa-miR-195	0.490971498615539	-0.703911808787907	1	1	no	no
hsa-miR-197	0.0574302463911885	-2.07973603284574	1	0.819170985161145	no	no
hsa-miR-1974	0.00098803067024472	-4.00607023378888	0.172905367292826	0.202375263235428	no	no
hsa-miR-199a-3p	0.0118365689235552	-2.95548176339501	1	0.355155969755687	no	no
hsa-miR-199a-5p	0.0292929317099957	-2.44587432885989	1	0.588992866934457	no	no
hsa-miR-19a	0.247361115447323	-1.19599658437254	1	1	no	no
hsa-miR-19b	0.597626131829893	0.541587249157629	1	1	no	no
hsa-miR-200c	0.7127756134687	-0.375125498398859	1	1	no	no
hsa-miR-205	0.863199164526634	0.174793131083515	1	1	no	no
hsa-miR-20a	0.0065275473119098	-3.1639953523073	1	0.251748421228245	no	no
hsa-miR-20a*	0.0874525339060506	-1.82991484440699	1	1	no	no
hsa-miR-20b	0.000470954811750958	-4.43039062394747	0.0824170920564177	0.202375263235428	no	no
hsa-miR-21	0.194029676340892	1.35803759764522	1	1	no	no
hsa-miR-210	0.431574316578661	-0.807083887643272	1	1	no	no
hsa-miR-2110	0.127834822450355	-1.60107065605219	1	1	no	no
hsa-miR-215	0.279994190546699	-1.11387389003035	1	1	no	no
hsa-miR-22	0.375053595641513	-0.909927326039534	1	1	no	no
hsa-miR-22*	0.0142777092706393	-2.77710622894274	1	0.379650107616689	no	no
hsa-miR-221	0.00540653978779189	-3.38327286867122	0.946144462863581	0.247066534167612	no	no
hsa-miR-222	0.00140278786719431	-4.01143902592296	0.245487876759004	0.202375263235428	no	no
hsa-miR-223	0.214978380588497	-1.31298623787617	1	1	no	no
hsa-miR-223*	0.740861948200933	0.340861772626702	1	1	no	no
hsa-miR-23a	0.0763196744978112	-1.94392457333267	1	0.971240130403101	no	no
hsa-miR-23b	0.0325379286864587	-2.3626845712709	1	0.641411773380887	no	no
hsa-miR-24	0.0395126548610159	-2.28542357472292	1	0.709357858590024	no	no
