study_accession	study_title	experiment_accession	experiment_title	experiment_desc	organism_taxid	organism_name	library_name	library_strategy	library_source	library_selection	library_layout	sample_accession	sample_title	biosample	bioproject	instrument	instrument_model	instrument_model_desc	total_spots	total_size	run_accession	run_total_spots	run_total_bases
SRP630949	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	SRX30813164	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	11320	Influenza A virus	T7544-mock-NT-2-4	AMPLICON	VIRAL RNA	PCR	PAIRED	SRS26825019		SAMN52624397	PRJNA1339024	Illumina iSeq 100	Illumina iSeq 100	ILLUMINA	79346	7566572	SRR35763863	79346	21133174
SRP630949	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	SRX30813163	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	11320	Influenza A virus	T7544-mock-LG-2-4	AMPLICON	VIRAL RNA	PCR	PAIRED	SRS26825021		SAMN52624396	PRJNA1339024	Illumina iSeq 100	Illumina iSeq 100	ILLUMINA	63845	6323853	SRR35763864	63845	17520803
SRP630949	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	SRX30813162	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	11320	Influenza A virus	T7543-24hr-OST-NT-7-4	AMPLICON	VIRAL RNA	PCR	PAIRED	SRS26825022		SAMN52624395	PRJNA1339024	Illumina iSeq 100	Illumina iSeq 100	ILLUMINA	87173	8472207	SRR35763865	87173	23623090
SRP630949	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	SRX30813161	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	11320	Influenza A virus	T7542-48hr-OST-NT-13-5	AMPLICON	VIRAL RNA	PCR	PAIRED	SRS26825023		SAMN52624394	PRJNA1339024	Illumina iSeq 100	Illumina iSeq 100	ILLUMINA	100257	9872695	SRR35763866	100257	27559454
SRP630949	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	SRX30813160	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	11320	Influenza A virus	T7538-mock-NT-4-5	AMPLICON	VIRAL RNA	PCR	PAIRED	SRS26825020		SAMN52624393	PRJNA1339024	Illumina iSeq 100	Illumina iSeq 100	ILLUMINA	97618	9333348	SRR35763867	97618	26084593
SRP630949	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	SRX30813159	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	11320	Influenza A virus	T7535-24hr-OST-NT-6-5	AMPLICON	VIRAL RNA	PCR	PAIRED	SRS26825017		SAMN52624392	PRJNA1339024	Illumina iSeq 100	Illumina iSeq 100	ILLUMINA	75238	7432269	SRR35763868	75238	20867346
SRP630949	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	SRX30813158	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	11320	Influenza A virus	T7535-24hr-OST-LG-6-5	AMPLICON	VIRAL RNA	PCR	PAIRED	SRS26825015		SAMN52624391	PRJNA1339024	Illumina iSeq 100	Illumina iSeq 100	ILLUMINA	69223	6737024	SRR35763869	69223	18905752
SRP630949	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	SRX30813157	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	11320	Influenza A virus	T7534-48hr-OST-NT-15-5	AMPLICON	VIRAL RNA	PCR	PAIRED	SRS26825014		SAMN52624390	PRJNA1339024	Illumina iSeq 100	Illumina iSeq 100	ILLUMINA	71826	7171168	SRR35763870	71826	20140533
SRP630949	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	SRX30813156	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	11320	Influenza A virus	T7550-mock-NT-3-5	AMPLICON	VIRAL RNA	PCR	PAIRED	SRS26825016		SAMN52624399	PRJNA1339024	Illumina iSeq 100	Illumina iSeq 100	ILLUMINA	85476	8486164	SRR35763871	85476	23646927
SRP630949	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	SRX30813155	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	Oseltamivir and baloxavir monotherapy and combination therapy efficacy against clade 2.3.4.4b A(H5N1) influenza virus infection in ferrets	11320	Influenza A virus	T7545-48hr-OST-NT-14-4	AMPLICON	VIRAL RNA	PCR	PAIRED	SRS26825018		SAMN52624398	PRJNA1339024	Illumina iSeq 100	Illumina iSeq 100	ILLUMINA	77527	7603691	SRR35763872	77527	21268792
