cluster	ref	rank	genes	scores	logfoldchanges	pvals	pvals_adj
NT-I1	rest	0	CBX3	3.7736976	2.0660212	0.000203936149663698	0.9979090553361432
NT-I1	rest	1	LSM5	3.7443202	2.6735816	0.0002289741665344137	0.9979090553361432
NT-I1	rest	2	RAN	3.4773755	5.2652073	0.0006029696177803761	0.9979090553361432
NT-I1	rest	3	WDR77	3.4264467	1.194237	0.0007297423076236691	0.9979090553361432
NT-I1	rest	4	SNRPE	3.3736017	3.475504	0.0008675215108510135	0.9979090553361432
NT-I1	rest	5	UQCRQ	3.354417	3.0870671	0.000929128743476126	0.9979090553361432
NT-I1	rest	6	HMGB1	3.2541065	4.348281	0.0013042339770865078	0.9979090553361432
NT-I1	rest	7	TPI1	3.251471	2.5762749	0.0013195785711964014	0.9979090553361432
NT-I1	rest	8	RPL27	3.1848438	6.0221615	0.0016435111858108236	0.9979090553361432
NT-I1	rest	9	HNRNPA2B1	3.1440482	3.0461729	0.001882311230091657	0.9979090553361432
NT-I2	rest	0	RANBP1	4.2249126	6.211982	3.056612641317487e-05	0.16216430664193074
NT-I2	rest	1	TIMM50	4.0565214	1.0844114	6.158503733919229e-05	0.16216430664193074
NT-I2	rest	2	MRPL12	4.0409875	1.3794545	6.571617558601227e-05	0.16216430664193074
NT-I2	rest	3	TOMM5	3.979755	3.161374	8.402337349248728e-05	0.16216430664193074
NT-I2	rest	4	RAN	3.923026	5.0600142	0.00010537621770665697	0.16216430664193074
NT-I2	rest	5	PARK7	3.9202757	2.0363615	0.00010659473338302358	0.16216430664193074
NT-I2	rest	6	HSPD1	3.8765423	2.9965472	0.0001266530554970492	0.16216430664193074
NT-I2	rest	7	TOMM6	3.872658	3.7047672	0.00012862759025606264	0.16216430664193074
NT-I2	rest	8	SELENOH	3.8349893	1.3773284	0.00014991434333547476	0.16216430664193074
NT-I2	rest	9	PSMG1	3.7982254	1.4813914	0.00017242379156142795	0.16216430664193074
NT-I3	rest	0	PTMA	5.5731688	12.309316	5.574033886082987e-08	0.0006626968887164064
NT-I3	rest	1	SSB	4.99256	3.5533235	1.0108965474346115e-06	0.006009274526225048
NT-I3	rest	2	NME2	4.541579	7.174652	8.079324781089414e-06	0.03149838334683789
NT-I3	rest	3	RPL17	4.4386983	10.784347	1.2705334676720519e-05	0.03149838334683789
NT-I3	rest	4	RPL27	4.429075	7.386296	1.3246859848110812e-05	0.03149838334683789
NT-I3	rest	5	SNRPG	4.3773503	4.0328617	1.6618147810067035e-05	0.03191361753057091
NT-I3	rest	6	RAN	4.2905545	5.660316	2.40781690796947e-05	0.03191361753057091
NT-I3	rest	7	RPL35A	4.258361	10.029434	2.7707440906225518e-05	0.03191361753057091
NT-I3	rest	8	LDHA	4.256019	3.1347456	2.7813428159489453e-05	0.03191361753057091
NT-I3	rest	9	HMGB1	4.254266	4.8852	2.8020252802402814e-05	0.03191361753057091
NT-I4	rest	0	RPL27A	3.8331933	9.608928	0.0001762925635075784	0.7948180979420243
NT-I4	rest	1	RPS13	3.809681	14.576526	0.00019144996587775793	0.7948180979420243
NT-I4	rest	2	RPL4	3.7974324	6.884314	0.00020055970172647597	0.7948180979420243
NT-I4	rest	3	RPLP2	3.5856853	18.553102	0.0004341549458918311	0.9988385474736858
NT-I4	rest	4	PSMA1	3.3833547	1.870816	0.0008810762662240374	0.9988385474736858
NT-I4	rest	5	NAP1L1	3.3577876	3.5094392	0.0009609100391730247	0.9988385474736858
NT-I4	rest	6	SEM1	3.3398368	2.4589956	0.001021631686557738	0.9988385474736858
NT-I4	rest	7	LSM5	3.328034	2.6854713	0.0010669968815735763	0.9988385474736858
NT-I4	rest	8	UQCRQ	3.2962065	3.466993	0.0011862032245765826	0.9988385474736858
NT-I4	rest	9	RBM3	3.2655444	1.4714197	0.0013175276012346573	0.9988385474736858
NT-I5	rest	0	PAOX	2.9334025	1.9837576	0.003783140948311552	0.9994558076658048
NT-I5	rest	1	UTP20	2.765415	1.2161463	0.0062277996713767025	0.9994558076658048
NT-I5	rest	2	MED27	2.7471924	0.99652225	0.006513655651242703	0.9994558076658048
NT-I5	rest	3	VTI1A	2.7431915	1.3468248	0.006628445653038288	0.9994558076658048
NT-I5	rest	4	MRPL12	2.7246685	1.049141	0.006930507438689458	0.9994558076658048
NT-I5	rest	5	SNRPD1	2.6690893	2.194782	0.008143052463075668	0.9994558076658048
NT-I5	rest	6	RPS2	2.6393359	13.184551	0.008887810302160673	0.9994558076658048
NT-I5	rest	7	HMGB1	2.5646296	3.25703	0.010967154625067824	0.9994558076658048
NT-I5	rest	8	KMT2C	2.5503304	0.91388214	0.011448794136128478	0.9994558076658048
NT-I5	rest	9	DDOST	2.5342162	0.83266455	0.011945997218031855	0.9994558076658048
NT-I6	rest	0	HSPE1	4.379506	4.7134814	1.630469342773968e-05	0.12849295981977027
NT-I6	rest	1	CACYBP	4.3147597	2.309524	2.1615436087100728e-05	0.12849295981977027
